"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127"
"X1" 539.799411485002 195.460553794892 195.460553794892 539.799411485002 539.799411485002 539.799411485002 539.799411485002 442.997382172634 539.799411485002 539.799411485002 539.799411485002 539.799411485002 442.997382172634 442.997382172634 550.567681352254 550.567681352254 539.799411485002 539.799411485002 539.799411485002 539.799411485002 442.997382172634 442.997382172634 465.585174253291 247.370756225938 545.365027606089 545.365027606089 533.754858033614 533.754858033614 533.754858033614 533.754858033614 435.732754269151 435.732754269151 460.879276454494 460.879276454494 460.879276454494 247.370756225938 247.370756225938 247.370756225938 545.365027606089 545.365027606089 533.754858033614 533.754858033614 533.754858033614 533.754858033614 435.732754269151 435.732754269151 460.879276454494 460.879276454494 460.879276454494 239.025343663089 239.025343663089 239.025343663089 446.267358799616 446.267358799616 430.069530676438 430.069530676438 533.754858033614 533.754858033614 435.732754269151 435.732754269151 460.879276454494 460.879276454494 460.879276454494 460.879276454494 192.694730295865 239.025343663089 446.267358799616 446.267358799616 430.069530676438 430.069530676438 430.069530676438 430.069530676438 373.807702105492 373.807702105492 398.931151557981 398.931151557981 398.931151557981 398.931151557981 223.455487625767 223.455487625767 246.418264983743 239.025343663089 446.267358799616 446.267358799616 430.069530676438 430.069530676438 430.069530676438 430.069530676438 373.807702105492 373.807702105492 398.931151557981 398.931151557981 398.931151557981 398.931151557981 223.455487625767 223.455487625767 246.418264983743 246.418264983743 239.025343663089 446.267358799616 446.267358799616 430.069530676438 430.069530676438 430.069530676438 430.069530676438 373.807702105492 373.807702105492 398.931151557981 398.931151557981 398.931151557981 398.931151557981 223.455487625767 223.455487625767 246.418264983743 246.418264983743 262.61918783516 262.61918783516 464.389220800538 464.389220800538 463.649851140704 463.649851140704 463.649851140704 463.649851140704 262.61918783516 262.61918783516 262.61918783516 464.389220800538
"X2" 459.467478503264 177.656384906551 177.656384906551 459.467478503264 459.467478503264 459.467478503264 459.467478503264 378.644996420012 459.467478503264 459.467478503264 459.467478503264 459.467478503264 378.644996420012 378.644996420012 454.646836145413 454.646836145413 459.467478503264 459.467478503264 459.467478503264 459.467478503264 378.644996420012 378.644996420012 369.246926088291 213.518511820035 456.977374688059 456.977374688059 462.175185980523 462.175185980523 462.175185980523 462.175185980523 381.224575413317 381.224575413317 372.572423745517 372.572423745517 372.572423745517 213.518511820035 213.518511820035 213.518511820035 456.977374688059 456.977374688059 462.175185980523 462.175185980523 462.175185980523 462.175185980523 381.224575413317 381.224575413317 372.572423745517 372.572423745517 372.572423745517 204.921035465126 204.921035465126 204.921035465126 371.262339987798 371.262339987798 378.240362069791 378.240362069791 462.175185980523 462.175185980523 381.224575413317 381.224575413317 372.572423745517 372.572423745517 372.572423745517 372.572423745517 157.214011541093 204.921035465126 371.262339987798 371.262339987798 378.240362069791 378.240362069791 378.240362069791 378.240362069791 327.125611875995 327.125611875995 316.272616931065 316.272616931065 316.272616931065 316.272616931065 175.453480104656 175.453480104656 166.990571920446 204.921035465126 371.262339987798 371.262339987798 378.240362069791 378.240362069791 378.240362069791 378.240362069791 327.125611875995 327.125611875995 316.272616931065 316.272616931065 316.272616931065 316.272616931065 175.453480104656 175.453480104656 166.990571920446 166.990571920446 204.921035465126 371.262339987798 371.262339987798 378.240362069791 378.240362069791 378.240362069791 378.240362069791 327.125611875995 327.125611875995 316.272616931065 316.272616931065 316.272616931065 316.272616931065 175.453480104656 175.453480104656 166.990571920446 166.990571920446 194.518186428681 194.518186428681 359.986754465308 359.986754465308 360.299341187851 360.299341187851 360.299341187851 360.299341187851 194.518186428681 194.518186428681 194.518186428681 359.986754465308
"X3" 391.816361702365 173.76242658392 173.76242658392 391.816361702365 391.816361702365 391.816361702365 391.816361702365 327.054757297582 391.816361702365 391.816361702365 391.816361702365 391.816361702365 327.054757297582 327.054757297582 372.055092913325 372.055092913325 391.816361702365 391.816361702365 391.816361702365 391.816361702365 327.054757297582 327.054757297582 286.915450826999 190.792140188718 381.60210879295 381.60210879295 402.904858664922 402.904858664922 402.904858664922 402.904858664922 338.929653241731 338.929653241731 297.794610729682 297.794610729682 297.794610729682 190.792140188718 190.792140188718 190.792140188718 381.60210879295 381.60210879295 402.904858664922 402.904858664922 402.904858664922 402.904858664922 338.929653241731 338.929653241731 297.794610729682 297.794610729682 297.794610729682 181.381609613688 181.381609613688 181.381609613688 308.877630683518 308.877630683518 338.120756019369 338.120756019369 402.904858664922 402.904858664922 338.929653241731 338.929653241731 297.794610729682 297.794610729682 297.794610729682 297.794610729682 134.340548681908 181.381609613688 308.877630683518 308.877630683518 338.120756019369 338.120756019369 338.120756019369 338.120756019369 294.503807767679 294.503807767679 249.10773240844 249.10773240844 249.10773240844 249.10773240844 143.009407765142 143.009407765142 103.663449906048 181.381609613688 308.877630683518 308.877630683518 338.120756019369 338.120756019369 338.120756019369 338.120756019369 294.503807767679 294.503807767679 249.10773240844 249.10773240844 249.10773240844 249.10773240844 143.009407765142 143.009407765142 103.663449906048 103.663449906048 181.381609613688 308.877630683518 308.877630683518 338.120756019369 338.120756019369 338.120756019369 338.120756019369 294.503807767679 294.503807767679 249.10773240844 249.10773240844 249.10773240844 249.10773240844 143.009407765142 143.009407765142 103.663449906048 103.663449906048 138.27483977192 138.27483977192 269.432188774647 269.432188774647 270.757808652135 270.757808652135 270.757808652135 270.757808652135 138.27483977192 138.27483977192 138.27483977192 269.432188774647
"X4" 353.770154473934 197.730551859561 197.730551859561 353.770154473934 353.770154473934 353.770154473934 353.770154473934 303.66991196584 353.770154473934 353.770154473934 353.770154473934 353.770154473934 303.66991196584 303.66991196584 321.32481188758 321.32481188758 353.770154473934 353.770154473934 353.770154473934 353.770154473934 303.66991196584 303.66991196584 237.274978064793 191.630694437387 336.989845183711 336.989845183711 371.959112072243 371.959112072243 371.959112072243 371.959112072243 323.210499334172 323.210499334172 254.415787747607 254.415787747607 254.415787747607 191.630694437387 191.630694437387 191.630694437387 336.989845183711 336.989845183711 371.959112072243 371.959112072243 371.959112072243 371.959112072243 323.210499334172 323.210499334172 254.415787747607 254.415787747607 254.415787747607 180.026632591372 180.026632591372 180.026632591372 275.845280540498 275.845280540498 323.970867881178 323.970867881178 371.959112072243 371.959112072243 323.210499334172 323.210499334172 254.415787747607 254.415787747607 254.415787747607 254.415787747607 139.023141542799 180.026632591372 275.845280540498 275.845280540498 323.970867881178 323.970867881178 323.970867881178 323.970867881178 291.534299940764 291.534299940764 217.039938407516 217.039938407516 217.039938407516 217.039938407516 144.014152512543 144.014152512543 77.9354896683215 180.026632591372 275.845280540498 275.845280540498 323.970867881178 323.970867881178 323.970867881178 323.970867881178 291.534299940764 291.534299940764 217.039938407516 217.039938407516 217.039938407516 217.039938407516 144.014152512543 144.014152512543 77.9354896683215 77.9354896683215 180.026632591372 275.845280540498 275.845280540498 323.970867881178 323.970867881178 323.970867881178 323.970867881178 291.534299940764 291.534299940764 217.039938407516 217.039938407516 217.039938407516 217.039938407516 144.014152512543 144.014152512543 77.9354896683215 77.9354896683215 109.520078121745 109.520078121745 212.615687225642 212.615687225642 214.801816712869 214.801816712869 214.801816712869 214.801816712869 109.520078121745 109.520078121745 109.520078121745 212.615687225642
"X5" 356.086909845329 256.726675082602 256.726675082602 356.086909845329 356.086909845329 356.086909845329 356.086909845329 317.969981618748 356.086909845329 356.086909845329 356.086909845329 356.086909845329 317.969981618748 317.969981618748 314.48299173165 314.48299173165 356.086909845329 356.086909845329 356.086909845329 356.086909845329 317.969981618748 317.969981618748 232.378349606209 222.932712267122 334.552183804314 334.552183804314 379.381352080427 379.381352080427 379.381352080427 379.381352080427 342.748902961127 342.748902961127 253.89313230149 253.89313230149 253.89313230149 222.932712267122 222.932712267122 222.932712267122 334.552183804314 334.552183804314 379.381352080427 379.381352080427 379.381352080427 379.381352080427 342.748902961127 342.748902961127 253.89313230149 253.89313230149 253.89313230149 207.318128877328 207.318128877328 207.318128877328 282.538869433781 282.538869433781 344.22102245718 344.22102245718 379.381352080427 379.381352080427 342.748902961127 342.748902961127 253.89313230149 253.89313230149 253.89313230149 253.89313230149 179.707658619832 207.318128877328 282.538869433781 282.538869433781 344.22102245718 344.22102245718 344.22102245718 344.22102245718 326.97314498939 326.97314498939 231.94116227553 231.94116227553 231.94116227553 231.94116227553 188.59260551716 188.59260551716 102.816702448753 207.318128877328 282.538869433781 282.538869433781 344.22102245718 344.22102245718 344.22102245718 344.22102245718 326.97314498939 326.97314498939 231.94116227553 231.94116227553 231.94116227553 231.94116227553 188.59260551716 188.59260551716 102.816702448753 102.816702448753 207.318128877328 282.538869433781 282.538869433781 344.22102245718 344.22102245718 344.22102245718 344.22102245718 326.97314498939 326.97314498939 231.94116227553 231.94116227553 231.94116227553 231.94116227553 188.59260551716 188.59260551716 102.816702448753 102.816702448753 117.740002368542 117.740002368542 202.379861717404 202.379861717404 205.184529920261 205.184529920261 205.184529920261 205.184529920261 117.740002368542 117.740002368542 117.740002368542 202.379861717404
"X6" 404.25184906179 353.0267200013 353.0267200013 404.25184906179 404.25184906179 404.25184906179 404.25184906179 374.515459355996 404.25184906179 404.25184906179 404.25184906179 404.25184906179 374.515459355996 374.515459355996 357.864631276439 357.864631276439 404.25184906179 404.25184906179 404.25184906179 404.25184906179 374.515459355996 374.515459355996 278.520141281417 287.424960448344 380.212884142307 380.212884142307 430.179745683161 430.179745683161 430.179745683161 430.179745683161 401.600669057162 401.600669057162 302.147327378682 302.147327378682 302.147327378682 287.424960448344 287.424960448344 287.424960448344 380.212884142307 380.212884142307 430.179745683161 430.179745683161 430.179745683161 430.179745683161 401.600669057162 401.600669057162 302.147327378682 302.147327378682 302.147327378682 265.832409182027 265.832409182027 265.832409182027 334.061410336238 334.061410336238 402.676120335838 402.676120335838 430.179745683161 430.179745683161 401.600669057162 401.600669057162 302.147327378682 302.147327378682 302.147327378682 302.147327378682 259.84380415569 265.832409182027 334.061410336238 334.061410336238 402.676120335838 402.676120335838 402.676120335838 402.676120335838 404.383922683462 404.383922683462 299.435436243547 299.435436243547 299.435436243547 299.435436243547 280.903077380381 280.903077380381 184.435991993637 265.832409182027 334.061410336238 334.061410336238 402.676120335838 402.676120335838 402.676120335838 402.676120335838 404.383922683462 404.383922683462 299.435436243547 299.435436243547 299.435436243547 299.435436243547 280.903077380381 280.903077380381 184.435991993637 184.435991993637 265.832409182027 334.061410336238 334.061410336238 402.676120335838 402.676120335838 402.676120335838 402.676120335838 404.383922683462 404.383922683462 299.435436243547 299.435436243547 299.435436243547 299.435436243547 280.903077380381 280.903077380381 184.435991993637 184.435991993637 167.462578943995 167.462578943995 245.468240813145 245.468240813145 248.58960615492 248.58960615492 248.58960615492 248.58960615492 167.462578943995 167.462578943995 167.462578943995 245.468240813145
"X7" 489.14864640488 476.236703592916 476.236703592916 489.14864640488 489.14864640488 489.14864640488 489.14864640488 464.415727960842 489.14864640488 489.14864640488 489.14864640488 489.14864640488 464.415727960842 464.415727960842 441.920051945038 441.920051945038 489.14864640488 489.14864640488 489.14864640488 489.14864640488 464.415727960842 464.415727960842 365.965286363973 376.828937064067 464.635093799317 464.635093799317 515.486670472702 515.486670472702 515.486670472702 515.486670472702 491.228670147721 491.228670147721 389.715529825546 389.715529825546 389.715529825546 376.828937064067 376.828937064067 376.828937064067 464.635093799317 464.635093799317 515.486670472702 515.486670472702 515.486670472702 515.486670472702 491.228670147721 491.228670147721 389.715529825546 389.715529825546 389.715529825546 347.892600554607 347.892600554607 347.892600554607 421.087933273793 421.087933273793 490.681922253102 490.681922253102 515.486670472702 515.486670472702 491.228670147721 491.228670147721 389.715529825546 389.715529825546 389.715529825546 389.715529825546 369.588064432841 347.892600554607 421.087933273793 421.087933273793 490.681922253102 490.681922253102 490.681922253102 490.681922253102 513.582590478461 513.582590478461 408.2046590748 408.2046590748 408.2046590748 408.2046590748 409.227878006469 409.227878006469 310.23940108435 347.892600554607 421.087933273793 421.087933273793 490.681922253102 490.681922253102 490.681922253102 490.681922253102 513.582590478461 513.582590478461 408.2046590748 408.2046590748 408.2046590748 408.2046590748 409.227878006469 409.227878006469 310.23940108435 310.23940108435 347.892600554607 421.087933273793 421.087933273793 490.681922253102 490.681922253102 490.681922253102 490.681922253102 513.582590478461 513.582590478461 408.2046590748 408.2046590748 408.2046590748 408.2046590748 409.227878006469 409.227878006469 310.23940108435 310.23940108435 249.78396895961 249.78396895961 331.676059627423 331.676059627423 334.842719757785 334.842719757785 334.842719757785 334.842719757785 249.78396895961 249.78396895961 249.78396895961 331.676059627423
"X8" 598.039292099241 612.815403322753 612.815403322753 598.039292099241 598.039292099241 598.039292099241 598.039292099241 575.443285337581 598.039292099241 598.039292099241 598.039292099241 598.039292099241 575.443285337581 575.443285337581 553.160356295931 553.160356295931 598.039292099241 598.039292099241 598.039292099241 598.039292099241 575.443285337581 575.443285337581 481.003803121078 480.133838059418 574.697183302192 574.697183302192 622.992428846457 622.992428846457 622.992428846457 622.992428846457 599.971372094497 599.971372094497 503.319852738179 503.319852738179 503.319852738179 480.133838059418 480.133838059418 480.133838059418 574.697183302192 574.697183302192 622.992428846457 622.992428846457 622.992428846457 622.992428846457 599.971372094497 599.971372094497 503.319852738179 503.319852738179 503.319852738179 443.276643023185 443.276643023185 443.276643023185 530.714102843703 530.714102843703 596.492152649779 596.492152649779 622.992428846457 622.992428846457 599.971372094497 599.971372094497 503.319852738179 503.319852738179 503.319852738179 503.319852738179 495.796166829006 443.276643023185 530.714102843703 530.714102843703 596.492152649779 596.492152649779 596.492152649779 596.492152649779 640.972529746019 640.972529746019 542.727274891405 542.727274891405 542.727274891405 542.727274891405 557.907894070984 557.907894070984 463.036448288012 443.276643023185 530.714102843703 530.714102843703 596.492152649779 596.492152649779 596.492152649779 596.492152649779 640.972529746019 640.972529746019 542.727274891405 542.727274891405 542.727274891405 542.727274891405 557.907894070984 557.907894070984 463.036448288012 463.036448288012 443.276643023185 530.714102843703 530.714102843703 596.492152649779 596.492152649779 596.492152649779 596.492152649779 640.972529746019 640.972529746019 542.727274891405 542.727274891405 542.727274891405 542.727274891405 557.907894070984 557.907894070984 463.036448288012 463.036448288012 352.467826046538 352.467826046538 446.595353814384 446.595353814384 449.588701018149 449.588701018149 449.588701018149 449.588701018149 352.467826046538 352.467826046538 352.467826046538 446.595353814384
"X9" 718.212749802923 749.236886814192 749.236886814192 718.212749802923 718.212749802923 718.212749802923 718.212749802923 695.394368513351 718.212749802923 718.212749802923 718.212749802923 718.212749802923 695.394368513351 695.394368513351 678.127238720576 678.127238720576 718.212749802923 718.212749802923 718.212749802923 718.212749802923 695.394368513351 695.394368513351 609.95684279544 586.344627856349 697.306363416038 697.306363416038 740.412261392062 740.412261392062 740.412261392062 740.412261392062 716.188750067849 716.188750067849 629.711731328664 629.711731328664 629.711731328664 586.344627856349 586.344627856349 586.344627856349 697.306363416038 697.306363416038 740.412261392062 740.412261392062 740.412261392062 740.412261392062 716.188750067849 716.188750067849 629.711731328664 629.711731328664 629.711731328664 541.777719379488 541.777719379488 541.777719379488 650.061022066353 650.061022066353 708.380562225866 708.380562225866 740.412261392062 740.412261392062 716.188750067849 716.188750067849 629.711731328664 629.711731328664 629.711731328664 629.711731328664 625.342442507643 541.777719379488 650.061022066353 650.061022066353 708.380562225866 708.380562225866 708.380562225866 708.380562225866 772.977705865817 772.977705865817 687.510830213967 687.510830213967 687.510830213967 687.510830213967 711.307126352474 711.307126352474 625.667114837332 541.777719379488 650.061022066353 650.061022066353 708.380562225866 708.380562225866 708.380562225866 708.380562225866 772.977705865817 772.977705865817 687.510830213967 687.510830213967 687.510830213967 687.510830213967 711.307126352474 711.307126352474 625.667114837332 625.667114837332 541.777719379488 650.061022066353 650.061022066353 708.380562225866 708.380562225866 708.380562225866 708.380562225866 772.977705865817 772.977705865817 687.510830213967 687.510830213967 687.510830213967 687.510830213967 711.307126352474 711.307126352474 625.667114837332 625.667114837332 463.300947712984 463.300947712984 575.850502108849 575.850502108849 578.504477264107 578.504477264107 578.504477264107 578.504477264107 463.300947712984 463.300947712984 463.300947712984 575.850502108849
"X10" 836.970508707414 871.975134645575 871.975134645575 836.970508707414 836.970508707414 836.970508707414 836.970508707414 812.075076770002 836.970508707414 836.970508707414 836.970508707414 836.970508707414 812.075076770002 812.075076770002 803.37768977313 803.37768977313 836.970508707414 836.970508707414 836.970508707414 836.970508707414 812.075076770002 812.075076770002 739.161140315504 684.469541416951 819.383804153448 819.383804153448 855.47238261741 855.47238261741 855.47238261741 855.47238261741 828.249052309455 828.249052309455 755.656862147455 755.656862147455 755.656862147455 684.469541416951 684.469541416951 684.469541416951 819.383804153448 819.383804153448 855.47238261741 855.47238261741 855.47238261741 855.47238261741 828.249052309455 828.249052309455 755.656862147455 755.656862147455 755.656862147455 633.192652865475 633.192652865475 633.192652865475 766.260596289798 766.260596289798 814.627599033634 814.627599033634 855.47238261741 855.47238261741 828.249052309455 828.249052309455 755.656862147455 755.656862147455 755.656862147455 755.656862147455 745.104910806071 633.192652865475 766.260596289798 766.260596289798 814.627599033634 814.627599033634 814.627599033634 814.627599033634 896.027233522716 896.027233522716 827.074366384702 827.074366384702 827.074366384702 827.074366384702 853.794918450769 853.794918450769 780.982349449863 633.192652865475 766.260596289798 766.260596289798 814.627599033634 814.627599033634 814.627599033634 814.627599033634 896.027233522716 896.027233522716 827.074366384702 827.074366384702 827.074366384702 827.074366384702 853.794918450769 853.794918450769 780.982349449863 780.982349449863 633.192652865475 766.260596289798 766.260596289798 814.627599033634 814.627599033634 814.627599033634 814.627599033634 896.027233522716 896.027233522716 827.074366384702 827.074366384702 827.074366384702 827.074366384702 853.794918450769 853.794918450769 780.982349449863 780.982349449863 570.079399712172 570.079399712172 705.081892490076 705.081892490076 707.282798605016 707.282798605016 707.282798605016 707.282798605016 570.079399712172 570.079399712172 570.079399712172 705.081892490076
