"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X11" 2841.80150433013 2841.80150433013 2571.63857300855 2571.63857300855 2841.80150433013 2841.80150433013 2564.97375125245 2564.97375125245 2571.63857300855 2571.63857300855 2571.63857300855 2571.63857300855 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2564.97375125245 2564.97375125245 2564.97375125245 2571.63857300855 2571.63857300855 2571.63857300855 2571.63857300855 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2564.97375125245 2564.97375125245 2564.97375125245 3017.86640736436 3017.86640736436 3017.86640736436 3017.86640736436 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2841.80150433013 2564.97375125245 2564.97375125245 3175.25906664898 3175.25906664898 3175.25906664898 3175.25906664898 3175.25906664898 3175.25906664898 2979.40890255759 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959 2889.0109457959
"X12" 2707.48629246418 2707.48629246418 2392.83424101312 2392.83424101312 2707.48629246418 2707.48629246418 2508.46590555198 2508.46590555198 2392.83424101312 2392.83424101312 2392.83424101312 2392.83424101312 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2508.46590555198 2508.46590555198 2508.46590555198 2392.83424101312 2392.83424101312 2392.83424101312 2392.83424101312 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2508.46590555198 2508.46590555198 2508.46590555198 2835.13481440549 2835.13481440549 2835.13481440549 2835.13481440549 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2707.48629246418 2508.46590555198 2508.46590555198 3062.1117158382 3062.1117158382 3062.1117158382 3062.1117158382 3062.1117158382 3062.1117158382 2986.9639423915 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712 2856.37258893712
"X13" 2566.82085214335 2566.82085214335 2228.91853475807 2228.91853475807 2566.82085214335 2566.82085214335 2434.5005110296 2434.5005110296 2228.91853475807 2228.91853475807 2228.91853475807 2228.91853475807 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2434.5005110296 2434.5005110296 2434.5005110296 2228.91853475807 2228.91853475807 2228.91853475807 2228.91853475807 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2434.5005110296 2434.5005110296 2434.5005110296 2636.24180689286 2636.24180689286 2636.24180689286 2636.24180689286 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2566.82085214335 2434.5005110296 2434.5005110296 2921.19087395318 2921.19087395318 2921.19087395318 2921.19087395318 2921.19087395318 2921.19087395318 2946.56733845079 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823 2793.52457286823
"X14" 2424.18218167423 2424.18218167423 2092.14555028513 2092.14555028513 2424.18218167423 2424.18218167423 2338.46116795793 2338.46116795793 2092.14555028513 2092.14555028513 2092.14555028513 2092.14555028513 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2338.46116795793 2338.46116795793 2338.46116795793 2092.14555028513 2092.14555028513 2092.14555028513 2092.14555028513 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2338.46116795793 2338.46116795793 2338.46116795793 2431.49586940258 2431.49586940258 2431.49586940258 2431.49586940258 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2424.18218167423 2338.46116795793 2338.46116795793 2752.46174575419 2752.46174575419 2752.46174575419 2752.46174575419 2752.46174575419 2752.46174575419 2841.19253913641 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008 2692.53554856008
"X15" 2289.29387682059 2289.29387682059 1995.99410876734 1995.99410876734 2289.29387682059 2289.29387682059 2224.25501019783 2224.25501019783 1995.99410876734 1995.99410876734 1995.99410876734 1995.99410876734 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2224.25501019783 2224.25501019783 2224.25501019783 1995.99410876734 1995.99410876734 1995.99410876734 1995.99410876734 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2224.25501019783 2224.25501019783 2224.25501019783 2236.73785773532 2236.73785773532 2236.73785773532 2236.73785773532 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2289.29387682059 2224.25501019783 2224.25501019783 2564.83690905747 2564.83690905747 2564.83690905747 2564.83690905747 2564.83690905747 2564.83690905747 2667.41413266843 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641 2555.41039828641
"X16" 2193.27931086388 2193.27931086388 1958.6181155247 1958.6181155247 2193.27931086388 2193.27931086388 2129.96176035187 2129.96176035187 1958.6181155247 1958.6181155247 1958.6181155247 1958.6181155247 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2129.96176035187 2129.96176035187 2129.96176035187 1958.6181155247 1958.6181155247 1958.6181155247 1958.6181155247 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2129.96176035187 2129.96176035187 2129.96176035187 2089.765038637 2089.765038637 2089.765038637 2089.765038637 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2193.27931086388 2129.96176035187 2129.96176035187 2403.15648018024 2403.15648018024 2403.15648018024 2403.15648018024 2403.15648018024 2403.15648018024 2476.43495523314 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929 2424.0356156929
"X17" 2169.3212046152 2169.3212046152 1994.87621266619 1994.87621266619 2169.3212046152 2169.3212046152 2099.75833832986 2099.75833832986 1994.87621266619 1994.87621266619 1994.87621266619 1994.87621266619 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2099.75833832986 2099.75833832986 2099.75833832986 1994.87621266619 1994.87621266619 1994.87621266619 1994.87621266619 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2099.75833832986 2099.75833832986 2099.75833832986 2028.87468441202 2028.87468441202 2028.87468441202 2028.87468441202 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2169.3212046152 2099.75833832986 2099.75833832986 2318.40771303641 2318.40771303641 2318.40771303641 2318.40771303641 2318.40771303641 2318.40771303641 2331.4275573211 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485 2348.57711729485
"X18" 2232.1398382975 2232.1398382975 2097.20832438538 2097.20832438538 2232.1398382975 2232.1398382975 2161.95856876665 2161.95856876665 2097.20832438538 2097.20832438538 2097.20832438538 2097.20832438538 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2161.95856876665 2161.95856876665 2161.95856876665 2097.20832438538 2097.20832438538 2097.20832438538 2097.20832438538 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2161.95856876665 2161.95856876665 2161.95856876665 2065.58575235966 2065.58575235966 2065.58575235966 2065.58575235966 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2232.1398382975 2161.95856876665 2161.95856876665 2343.694190961 2343.694190961 2343.694190961 2343.694190961 2343.694190961 2343.694190961 2281.61468253362 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993 2366.53159928993
"X19" 2368.14822168159 2368.14822168159 2234.61863372713 2234.61863372713 2368.14822168159 2368.14822168159 2312.25227897789 2312.25227897789 2234.61863372713 2234.61863372713 2234.61863372713 2234.61863372713 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2312.25227897789 2312.25227897789 2312.25227897789 2234.61863372713 2234.61863372713 2234.61863372713 2234.61863372713 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2312.25227897789 2312.25227897789 2312.25227897789 2175.68258430362 2175.68258430362 2175.68258430362 2175.68258430362 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2368.14822168159 2312.25227897789 2312.25227897789 2476.68033235196 2476.68033235196 2476.68033235196 2476.68033235196 2476.68033235196 2476.68033235196 2337.41131093702 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801 2483.52797878801
"X20" 2541.08287905378 2541.08287905378 2367.67257561473 2367.67257561473 2541.08287905378 2541.08287905378 2513.3856217331 2513.3856217331 2367.67257561473 2367.67257561473 2367.67257561473 2367.67257561473 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2513.3856217331 2513.3856217331 2513.3856217331 2367.67257561473 2367.67257561473 2367.67257561473 2367.67257561473 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2513.3856217331 2513.3856217331 2513.3856217331 2310.83272953006 2310.83272953006 2310.83272953006 2310.83272953006 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2541.08287905378 2513.3856217331 2513.3856217331 2678.92161646282 2678.92161646282 2678.92161646282 2678.92161646282 2678.92161646282 2678.92161646282 2465.01871681371 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385 2669.05667884385
