"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 3585.16389949632 3585.16389949632 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3597.42552560658 3055.02161398337 3055.02161398337 3055.02161398337 3055.02161398337 3055.02161398337 3736.87921350422 3055.02161398337 3055.02161398337 3055.02161398337 3055.02161398337 3055.02161398337 3736.87921350422 3055.02161398337 3055.02161398337 3055.02161398337 3736.87921350422 3736.87921350422 3692.11440715408
"X2" 3650.13579694346 3650.13579694346 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3631.51673131627 3054.64410833232 3054.64410833232 3054.64410833232 3054.64410833232 3054.64410833232 3607.95873207711 3054.64410833232 3054.64410833232 3054.64410833232 3054.64410833232 3054.64410833232 3607.95873207711 3054.64410833232 3054.64410833232 3054.64410833232 3607.95873207711 3607.95873207711 3720.9304856013
"X3" 3497.12622356239 3497.12622356239 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3500.39992683842 3052.13535317224 3052.13535317224 3052.13535317224 3052.13535317224 3052.13535317224 3481.62999808499 3052.13535317224 3052.13535317224 3052.13535317224 3052.13535317224 3052.13535317224 3481.62999808499 3052.13535317224 3052.13535317224 3052.13535317224 3481.62999808499 3481.62999808499 3743.84496866061
"X4" 3234.37282570736 3234.37282570736 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3285.27668137398 3043.2414143719 3043.2414143719 3043.2414143719 3043.2414143719 3043.2414143719 3364.51418196844 3043.2414143719 3043.2414143719 3043.2414143719 3043.2414143719 3043.2414143719 3364.51418196844 3043.2414143719 3043.2414143719 3043.2414143719 3364.51418196844 3364.51418196844 3752.78755600616
"X5" 2959.55886911766 2959.55886911766 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3059.43607386627 3024.08789315443 3024.08789315443 3024.08789315443 3024.08789315443 3024.08789315443 3262.24279281049 3024.08789315443 3024.08789315443 3024.08789315443 3024.08789315443 3024.08789315443 3262.24279281049 3024.08789315443 3024.08789315443 3024.08789315443 3262.24279281049 3262.24279281049 3741.75566582938
"X6" 2748.69023554946 2748.69023554946 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2879.99275405985 2992.02307232057 2992.02307232057 2992.02307232057 2992.02307232057 2992.02307232057 3179.02334052441 2992.02307232057 2992.02307232057 2992.02307232057 2992.02307232057 2992.02307232057 3179.02334052441 2992.02307232057 2992.02307232057 2992.02307232057 3179.02334052441 3179.02334052441 3707.15671852634
"X7" 2607.78283664765 2607.78283664765 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2751.9399273451 2948.70462654538 2948.70462654538 2948.70462654538 2948.70462654538 2948.70462654538 3114.60533377742 2948.70462654538 2948.70462654538 2948.70462654538 2948.70462654538 2948.70462654538 3114.60533377742 2948.70462654538 2948.70462654538 2948.70462654538 3114.60533377742 3114.60533377742 3652.73165578926
"X8" 2525.2957490282 2525.2957490282 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2667.18613920488 2896.85832346994 2896.85832346994 2896.85832346994 2896.85832346994 2896.85832346994 3067.64019843609 2896.85832346994 2896.85832346994 2896.85832346994 2896.85832346994 2896.85832346994 3067.64019843609 2896.85832346994 2896.85832346994 2896.85832346994 3067.64019843609 3067.64019843609 3584.0387775265
"X9" 2489.59239830366 2489.59239830366 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2617.55552560066 2839.20014000879 2839.20014000879 2839.20014000879 2839.20014000879 2839.20014000879 3036.79973378886 2839.20014000879 2839.20014000879 2839.20014000879 2839.20014000879 2839.20014000879 3036.79973378886 2839.20014000879 2839.20014000879 2839.20014000879 3036.79973378886 3036.79973378886 3506.6200599823
"X10" 2488.92758615613 2488.92758615613 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2594.77858794646 2778.43934801181 2778.43934801181 2778.43934801181 2778.43934801181 2778.43934801181 3020.77460768182 2778.43934801181 2778.43934801181 2778.43934801181 2778.43934801181 2778.43934801181 3020.77460768182 2778.43934801181 2778.43934801181 2778.43934801181 3020.77460768182 3020.77460768182 3426.00745842773
