"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X1" 2826.08851320977 2796.44577793947 2795.96506723131 2386.06229758039 2386.73092429071 2119.66191879671 2120.02774588436 2544.8003843128 2950.5105749272 2943.60691188141 2386.06229758039 2386.73092429071 2119.66191879671 2120.02774588436 2544.8003843128 2447.49312721784 2704.27306744265 2697.87023701187 2301.58056733742 2305.24549481473 2147.43130902488 2156.66323879767 2108.82805780698 2099.62140342813 2278.75655481224 2218.71989620929 2718.48762744267 2704.27306744265 2697.87023701187 2301.58056733742 2305.24549481473 2147.43130902488 2156.66323879767 2108.82805780698 2099.62140342813 2278.75655481224 2218.71989620929 3046.23637453235 2442.44120564198 2259.3775566632 2314.84083648743 2200.41668415062 2212.14048517576 2241.87327349453 2235.94892639598 2320.40147175363 2330.5135921625 3087.25550636167 2975.68333279511 2200.41668415062 2212.14048517576 2241.87327349453 2235.94892639598 2320.40147175363 2330.5135921625 2800.95313556055 2692.23220813851
"X2" 2604.71436187566 2653.53591493631 2610.68034281801 2243.71394661675 2246.05258548756 1970.31384100009 1970.13912585683 2273.61444807461 2668.46636844257 2671.7343109385 2243.71394661675 2246.05258548756 1970.31384100009 1970.13912585683 2273.61444807461 2345.54518381267 2460.01083364073 2465.54690387654 2154.11545376628 2150.09694116341 2016.01425725794 2010.64792827098 1975.99529042738 1980.56487992259 2100.79247785675 2126.80873776837 2510.38722608981 2460.01083364073 2465.54690387654 2154.11545376628 2150.09694116341 2016.01425725794 2010.64792827098 1975.99529042738 1980.56487992259 2100.79247785675 2126.80873776837 2783.74177506454 2344.9102730283 2200.06493750451 2205.53457267441 2114.95566821905 2107.58633594144 2118.96471364361 2122.16481047429 2169.80610542923 2164.58013994475 2765.63439715536 2813.41620553925 2114.95566821905 2107.58633594144 2118.96471364361 2122.16481047429 2169.80610542923 2164.58013994475 2500.14543219449 2551.48744188829
"X3" 2389.10638280233 2512.10784056169 2432.25623723177 2105.80150485562 2109.89178356958 1834.5540243745 1833.86507125366 2019.26078011607 2394.01049584372 2406.90991720992 2105.80150485562 2109.89178356958 1834.5540243745 1833.86507125366 2019.26078011607 2250.1879835393 2224.89635707128 2241.75633133114 2015.82482422871 2004.24116601883 1895.84431135798 1876.35565457907 1854.79771542923 1872.53976057031 1937.07008739052 2043.43188469731 2308.28956103679 2224.89635707128 2241.75633133114 2015.82482422871 2004.24116601883 1895.84431135798 1876.35565457907 1854.79771542923 1872.53976057031 1937.07008739052 2043.43188469731 2531.01127111246 2253.97635316597 2146.87596145466 2104.13679827715 2037.10067792363 2011.07072160105 2005.48109928974 2017.58465426772 2029.84074720783 2010.00326326983 2457.14436846594 2654.78977616689 2037.10067792363 2011.07072160105 2005.48109928974 2017.58465426772 2029.84074720783 2010.00326326983 2216.04724611218 2418.15529215415
"X4" 2192.09947211137 2378.02695238095 2273.20553603825 1982.50052494057 1988.35596073966 1728.65425709942 1727.53263365069 1805.18284046221 2144.05261189367 2165.1255204515 1982.50052494057 1988.35596073966 1728.65425709942 1727.53263365069 1805.18284046221 2168.26295099813 2016.0680906083 2042.48953733833 1899.73557889416 1881.36367286412 1799.40729486323 1767.75049161093 1758.23174562287 1787.12001703156 1803.22058611892 1976.08811448503 2123.86785911952 2016.0680906083 2042.48953733833 1899.73557889416 1881.36367286412 1799.40729486323 1767.75049161093 1758.23174562287 1787.12001703156 1803.22058611892 1976.08811448503 2305.63573902203 2178.25856977046 2105.90789172303 2021.66556624668 1975.56225355249 1932.80998601094 1912.86939978721 1932.82135144016 1912.76937217525 1880.51748340684 2184.78002449839 2508.32255263053 1975.56225355249 1932.80998601094 1912.86939978721 1932.82135144016 1912.76937217525 1880.51748340684 1971.25758404255 2299.10008810855
"X5" 2024.33396738932 2256.56311707641 2143.2782065372 1882.16991221043 1889.72455906762 1663.15483487219 1661.72477558343 1648.51850659427 1932.92201782168 1959.99754467916 1882.16991221043 1889.72455906762 1663.15483487219 1661.72477558343 1648.51850659427 2104.37849360652 1847.55043044026 1880.86418282068 1815.90433061603 1792.08122125879 1735.58812700737 1694.97254061162 1695.1665242216 1732.06011634641 1710.05669509341 1929.51321517974 1966.84399498737 1847.55043044026 1880.86418282068 1815.90433061603 1792.08122125879 1735.58812700737 1694.97254061162 1695.1665242216 1732.06011634641 1710.05669509341 1929.51321517974 2121.69052601151 2123.61240330321 2081.07822721573 1965.77032228803 1935.90973171162 1879.73636504716 1849.27146847942 1875.22978122975 1827.72200120422 1786.36207124081 1966.85656878019 2381.22057516246 1935.90973171162 1879.73636504716 1849.27146847942 1875.22978122975 1827.72200120422 1786.36207124081 1783.09451736612 2199.77115547991
"X6" 1893.59833136954 2151.95055361092 2049.16549360141 1810.87886023449 1819.99386186655 1644.08156550043 1642.49539935933 1560.20289118658 1771.22727353265 1801.66126869801 1810.87886023449 1819.99386186655 1644.08156550043 1642.49539935933 1560.20289118658 2061.38902935799 1729.32912280319 1766.26103707607 1771.12184364244 1743.58669580579 1710.00169418273 1664.51338359489 1671.04590365056 1712.06130480064 1664.23484454765 1906.47993169308 1844.31969445425 1729.32912280319 1766.26103707607 1771.12184364244 1743.58669580579 1710.00169418273 1664.51338359489 1671.04590365056 1712.06130480064 1664.23484454765 1906.47993169308 1989.00139924845 2093.69764948402 2074.68885937918 1941.22348891476 1921.44484978209 1856.15899277001 1819.90956508973 1849.45173374965 1780.75859193485 1734.32181281738 1816.02563332837 2278.84965395302 1921.44484978209 1856.15899277001 1819.90956508973 1849.45173374965 1780.75859193485 1734.32181281738 1663.13377529045 2124.08215164522
"X7" 1798.92284283963 2065.11688358291 1988.47460690599 1767.70855231972 1778.20492581882 1665.42464451406 1663.8188590016 1533.28296401764 1657.90383200812 1689.3033152606 1767.70855231972 1778.20492581882 1665.42464451406 1663.8188590016 1533.28296401764 2037.49290159144 1658.94322598904 1696.54226131932 1762.47458470577 1732.8613189511 1719.07414835696 1672.44420500022 1682.00407254305 1723.64860299883 1660.93853480766 1904.77399500577 1755.28397247473 1658.94322598904 1696.54226131932 1762.47458470577 1732.8613189511 1719.07414835696 1672.44420500022 1682.00407254305 1723.64860299883 1660.93853480766 1904.77399500577 1904.49110766694 2086.32905224743 2084.85513077729 1944.90367137215 1929.67774720832 1859.3838340951 1821.89761545018 1852.75804336459 1769.11256591617 1721.22230517015 1727.71784854593 2200.84079233463 1929.67774720832 1859.3838340951 1821.89761545018 1852.75804336459 1769.11256591617 1721.22230517015 1605.92396348888 2071.41472452715
"X8" 1737.17958709238 1996.1790692382 1956.57033350829 1750.01751659023 1761.68416863078 1718.19859424417 1716.68296396652 1556.38522315477 1589.01088199221 1619.41314968181 1750.01751659023 1761.68416863078 1718.19859424417 1716.68296396652 1556.38522315477 2029.74087010561 1630.86119402573 1666.72896306398 1784.65340883435 1754.36526262126 1756.96344221436 1712.26318407813 1721.87706337909 1761.32934473037 1692.5187571516 1920.95258660405 1696.72670534406 1630.86119402573 1666.72896306398 1784.65340883435 1754.36526262126 1756.96344221436 1712.26318407813 1721.87706337909 1761.32934473037 1692.5187571516 1920.95258660405 1861.89797221034 2097.87888910819 2108.65945368162 1971.73942309247 1956.68941184852 1884.98831860477 1850.34879203579 1880.60123380776 1787.84085210954 1741.43247958765 1693.11193368936 2145.41268959896 1956.68941184852 1884.98831860477 1850.34879203579 1880.60123380776 1787.84085210954 1741.43247958765 1601.81039039584 2040.03805002947
"X9" 1705.27910825441 1945.27511889355 1948.85104863844 1755.19396581652 1767.78743180533 1793.45407306231 1792.1117847786 1618.19428646525 1560.65934162706 1588.52969940101 1755.19396581652 1767.78743180533 1793.45407306231 1792.1117847786 1618.19428646525 2035.20284515351 1639.60065340336 1671.88865236242 1832.38466822771 1802.59583524665 1817.86070005565 1777.5051813464 1784.53419131556 1819.64092785544 1751.36703391545 1951.59397920743 1665.67330026111 1639.60065340336 1671.88865236242 1832.38466822771 1802.59583524665 1817.86070005565 1777.5051813464 1784.53419131556 1819.64092785544 1751.36703391545 1951.59397920743 1855.00922817263 2124.74108932564 2143.19982548247 2016.68576717545 1998.58219965077 1928.57540665645 1900.40675070962 1928.46211576272 1832.03581965335 1789.36004637001 1703.44911426934 2110.81058919147 1998.58219965077 1928.57540665645 1900.40675070962 1928.46211576272 1832.03581965335 1789.36004637001 1641.20043995574 2028.24684746971
"X10" 1700.1669043591 1912.56425089899 1960.74348973174 1780.6528352422 1793.8969808604 1882.26768669395 1881.15543416049 1707.44001830262 1569.00744281403 1593.23742478486 1780.6528352422 1793.8969808604 1882.26768669395 1881.15543416049 1707.44001830262 2050.96454573484 1679.7221714008 1707.12963465942 1900.42420327355 1872.08121430905 1895.98358808924 1861.73436502816 1863.87106072194 1893.14457875168 1829.90674236538 1993.29362587184 1659.18131388279 1679.7221714008 1707.12963465942 1900.42420327355 1872.08121430905 1895.98358808924 1861.73436502816 1863.87106072194 1893.14457875168 1829.90674236538 1993.29362587184 1877.65396605237 2163.32712480835 2185.58651332103 2074.7184532821 2051.47538803394 1985.76857711129 1967.24009189307 1991.84463035417 1896.81967670291 1859.44511626941 1750.02316739329 2095.30429038425 2051.47538803394 1985.76857711129 1967.24009189307 1991.84463035417 1896.81967670291 1859.44511626941 1714.55264881078 2034.35941977871
