"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 1050.93278003877 1050.93278003877 1843.67711662673 1747.8385299506 1722.04658116709 1722.04658116709 1501.48155264814 1501.48155264814 2470.20422635965 2470.20422635965 2057.14404170377 2057.14404170377 1333.86230578748 1418.46090289782 1668.63410146909 1668.63410146909 1410.08627880894 1410.08627880894 950.559247227796 2470.20422635965 2470.20422635965 2057.14404170377 2057.14404170377 1762.88634173061 1762.88634173061 1744.24457343645 1744.24457343645 2093.78900766349 2093.78900766349 1786.54786527351 1786.54786527351 1368.47117235893 1423.56712118155 1423.56712118155 1251.77992052095 1251.77992052095 1786.23156677903 1786.23156677903 1711.53271925181 1711.53271925181 2068.20965103351 2068.20965103351 1758.59035503609 1758.59035503609 1763.04739575782 1763.04739575782 2190.37131319966 2190.37131319966 2061.8288714369 2061.8288714369 1626.67427915917 1766.29400803092 2162.47814230208 2162.47814230208 2082.72597103077 2082.72597103077 2112.05310104683 2112.05310104683 1422.16040636384 2138.3610629903 2138.3610629903 1506.66117768224 1514.04368020874
"X2" 1071.17631879192 1071.17631879192 1788.06361526572 1736.78645426027 1617.48528919249 1617.48528919249 1358.83392565632 1358.83392565632 2584.58150956023 2584.58150956023 2178.05663226151 2178.05663226151 1444.56598110979 1436.6528746505 1653.31275953967 1653.31275953967 1392.7253482681 1392.7253482681 941.708378745319 2584.58150956023 2584.58150956023 2178.05663226151 2178.05663226151 1782.43328996604 1782.43328996604 1715.82855833008 1715.82855833008 2025.90465649608 2025.90465649608 1719.96323934762 1719.96323934762 1271.51678943229 1568.35407287853 1568.35407287853 1301.09655092818 1301.09655092818 1763.53307414379 1763.53307414379 1735.56983801647 1735.56983801647 2058.33631668363 2058.33631668363 1737.40930448874 1737.40930448874 1761.65253249789 1761.65253249789 2140.73010218101 2140.73010218101 2069.50019351067 2069.50019351067 1645.03632467146 1759.65458096681 2177.22401981317 2177.22401981317 2025.650484514 2025.650484514 2150.17400572225 2150.17400572225 1459.62444483352 2093.816869154 2093.816869154 1393.95105670701 1556.78131466157
"X3" 1096.1791487158 1096.1791487158 1740.88975380438 1727.07550509542 1521.34964814762 1521.34964814762 1231.23785172571 1231.23785172571 2695.03697077408 2695.03697077408 2293.6348269207 2293.6348269207 1555.04221965631 1458.02442449235 1642.86637161495 1642.86637161495 1385.07788284069 1385.07788284069 948.497760143589 2695.03697077408 2695.03697077408 2293.6348269207 2293.6348269207 1806.08162149134 1806.08162149134 1690.49661955246 1690.49661955246 1964.09468975161 1964.09468975161 1663.91196743782 1663.91196743782 1192.3561839742 1705.73866793648 1705.73866793648 1348.60874230996 1348.60874230996 1746.90944555262 1746.90944555262 1761.24149825065 1761.24149825065 2052.19434219894 2052.19434219894 1724.37704061921 1724.37704061921 1762.84904398258 1762.84904398258 2094.29022426586 2094.29022426586 2080.29001552683 2080.29001552683 1670.23856105197 1755.8782485386 2191.68275090848 2191.68275090848 1974.4160495297 1974.4160495297 2187.41668311648 2187.41668311648 1501.86723800735 2052.59481650118 2052.59481650118 1293.91966583605 1601.14426971253
"X4" 1128.13201759367 1128.13201759367 1709.89414616194 1721.24003040543 1447.22489414524 1447.22489414524 1138.62507591076 1138.62507591076 2793.59547289638 2793.59547289638 2396.56396098766 2396.56396098766 1658.90899061574 1483.68368311894 1642.99427335112 1642.99427335112 1394.4280270716 1394.4280270716 979.746791073011 2793.59547289638 2793.59547289638 2396.56396098766 2396.56396098766 1836.85174095771 1836.85174095771 1674.31458893264 1674.31458893264 1919.57221385497 1919.57221385497 1633.68271751785 1633.68271751785 1151.06888166115 1824.78977498085 1824.78977498085 1392.86375936826 1392.86375936826 1743.79707896327 1743.79707896327 1790.56095400845 1790.56095400845 2056.14534401886 2056.14534401886 1730.41496755741 1730.41496755741 1770.06858763397 1770.06858763397 2058.32328301105 2058.32328301105 2098.96480848027 2098.96480848027 1709.53815250917 1758.9059914464 2207.28478955269 2207.28478955269 1939.33933390679 1939.33933390679 2223.7504320047 2223.7504320047 1554.12216883531 2022.0805942988 2022.0805942988 1225.81438202944 1648.22069225314
"X5" 1167.02206249414 1167.02206249414 1699.26800718948 1721.73477103168 1404.90350362442 1404.90350362442 1093.96367574332 1093.96367574332 2872.95810668516 2872.95810668516 2481.8185948055 2481.8185948055 1749.90364024121 1513.22753736317 1656.92357139207 1656.92357139207 1423.81237597391 1423.81237597391 1038.26288286877 2872.95810668516 2872.95810668516 2481.8185948055 2481.8185948055 1875.93220430904 1875.93220430904 1671.62243769361 1671.62243769361 1900.39642137935 1900.39642137935 1639.90586648853 1639.90586648853 1159.43373887634 1916.07846126976 1916.07846126976 1431.74225787221 1431.74225787221 1758.80888128158 1758.80888128158 1823.93953361383 1823.93953361383 2074.11892624744 2074.11892624744 1762.73659827891 1762.73659827891 1784.96656767863 1784.96656767863 2038.16428194489 2038.16428194489 2128.17899676458 2128.17899676458 1766.96305761763 1770.7899652656 2224.83253053635 2224.83253053635 1927.72042799679 1927.72042799679 2258.73015497275 2258.73015497275 1618.84367428205 2007.79349902777 2007.79349902777 1203.05558500406 1697.63464058111
"X6" 1211.73747522303 1211.73747522303 1710.70965863417 1730.36895607104 1400.34407215494 1400.34407215494 1104.3601387949 1104.3601387949 2927.74438274763 2927.74438274763 2546.43191524856 2546.43191524856 1822.98084903081 1545.58187767169 1686.02845793884 1686.02845793884 1473.69398461757 1473.69398461757 1123.43552847725 2927.74438274763 2927.74438274763 2546.43191524856 2546.43191524856 1923.375307987 1923.375307987 1685.03651934302 1685.03651934302 1911.48071502517 1911.48071502517 1688.6978547141 1688.6978547141 1222.93876015515 1972.93566673017 1972.93566673017 1463.386175032 1463.386175032 1794.25978764543 1794.25978764543 1860.9907909891 1860.9907909891 2108.08825051203 2108.08825051203 1825.19099478225 1825.19099478225 1808.03455329209 1808.03455329209 2037.21496730992 2037.21496730992 2169.10790385409 2169.10790385409 1844.081156965 1792.28453811159 2244.72074115286 2244.72074115286 1944.00305194122 1944.00305194122 2291.83380689954 2291.83380689954 1696.62065711693 2013.2636214735 2013.2636214735 1233.5220708254 1748.39334175434
"X7" 1258.87971979565 1258.87971979565 1739.55702309341 1746.57912255914 1428.32738554829 1428.32738554829 1160.83018836298 1160.83018836298 2959.21044572006 2959.21044572006 2593.21545585718 2593.21545585718 1877.51771344353 1578.41453007727 1726.81381799878 1726.81381799878 1538.46144767816 1538.46144767816 1226.87018413856 2959.21044572006 2959.21044572006 2593.21545585718 2593.21545585718 1976.50494405866 1976.50494405866 1712.16829214692 1712.16829214692 1948.61070717325 1948.61070717325 1773.15421712117 1773.15421712117 1330.48124587669 1997.797560657 1997.797560657 1487.51206438759 1487.51206438759 1846.22347090342 1846.22347090342 1899.69774058028 1899.69774058028 2154.74612844673 2154.74612844673 1912.11201562283 1912.11201562283 1836.90241864856 1836.90241864856 2053.2851944871 2053.2851944871 2219.17681576931 2219.17681576931 1935.93181629836 1820.87552336357 2266.36269420078 2266.36269420078 1984.48418342489 1984.48418342489 2322.61068700163 2322.61068700163 1783.37797073246 2036.14968416317 2036.14968416317 1309.22561494107 1798.42323655621
"X8" 1304.47979082558 1304.47979082558 1779.57180686641 1769.21495002693 1480.86631399854 1480.86631399854 1250.40385110816 1250.40385110816 2970.25147232908 2970.25147232908 2626.41030767357 2626.41030767357 1913.98062730422 1609.07838414643 1774.57609732731 1774.57609732731 1610.99594020116 1610.99594020116 1338.23969190428 2970.25147232908 2970.25147232908 2626.41030767357 2626.41030767357 2031.96679370974 2031.96679370974 1749.38904636375 1749.38904636375 2005.31136576568 2005.31136576568 1883.14391867252 1883.14391867252 1466.84517794498 1995.34930964364 1995.34930964364 1504.22329981051 1504.22329981051 1909.22611304697 1909.22611304697 1937.6363165368 1937.6363165368 2209.47517086713 2209.47517086713 2015.47404990861 2015.47404990861 1868.48871375226 1868.48871375226 2082.80094458759 2082.80094458759 2274.88054811902 2274.88054811902 2035.93337548564 1853.23677584177 2288.92758951387 2288.92758951387 2043.44398226377 2043.44398226377 2350.62565215893 2350.62565215893 1873.88089579548 2072.65693487107 2072.65693487107 1418.24796605492 1845.37909225948
"X9" 1344.56702788677 1344.56702788677 1824.52877789771 1797.13339863343 1550.00180388391 1550.00180388391 1360.14883838578 1360.14883838578 2963.73874089347 2963.73874089347 2650.24138290913 2650.24138290913 1932.81508050964 1634.92361407554 1824.61947740723 1824.61947740723 1684.18747355392 1684.18747355392 1447.22602289329 2963.73874089347 2963.73874089347 2650.24138290913 2650.24138290913 2086.40886872692 2086.40886872692 1793.08150499091 1793.08150499091 2075.13013769834 2075.13013769834 2008.56499148785 2008.56499148785 1616.84693976594 1970.24424476165 1970.24424476165 1513.61440521711 1513.61440521711 1977.8061413901 1977.8061413901 1972.3811728939 1972.3811728939 2267.66708304441 2267.66708304441 2127.27010871755 2127.27010871755 1899.71479826242 1899.71479826242 2122.20366752856 2122.20366752856 2332.72022696805 2332.72022696805 2137.51325157314 1886.04616979992 2311.58562792982 2311.58562792982 2115.18385448011 2115.18385448011 2375.44020454115 2375.44020454115 1962.89880718182 2119.00624916498 2119.00624916498 1548.70903205944 1886.9118071149
"X10" 1375.16459529045 1375.16459529045 1868.20867987965 1829.19740671195 1627.79383480706 1627.79383480706 1477.1558413494 1477.1558413494 2942.52289415435 2942.52289415435 2668.9222132813 2668.9222132813 1934.44615203534 1653.29465834644 1872.25053594604 1872.25053594604 1750.92679631609 1750.92679631609 1543.50850878991 2942.52289415435 2942.52289415435 2668.9222132813 2668.9222132813 2136.47769187597 2136.47769187597 1839.6357186488 1839.6357186488 2151.6296256597 2151.6296256597 2139.33305291896 2139.33305291896 1765.31804186807 1927.10916169492 1927.10916169492 1515.77117411026 1515.77117411026 2046.50801497772 2046.50801497772 2001.50293042767 2001.50293042767 2324.71743574752 2324.71743574752 2239.50272329032 2239.50272329032 1927.5013446946 1927.5013446946 2167.94624797397 2167.94624797397 2389.19931760285 2389.19931760285 2234.10046359989 1915.98182557751 2333.50707886464 2333.50707886464 2194.01998335565 2194.01998335565 2396.61200218812 2396.61200218812 2045.19923093527 2171.42984467812 2171.42984467812 1688.75338129646 1920.66574187318
