"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99"
"X1" 3465.6567147415 3465.6567147415 3465.6567147415 3465.6567147415 3465.6567147415 3465.6567147415 3669.47093192796 3224.17871604368 3006.20654362864 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 3566.48506316257 3555.29005665216 3224.17871604368 3224.17871604368 3006.20654362864 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 3566.48506316257 3555.29005665216 3555.29005665216 3224.17871604368 3006.20654362864 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 2956.8208157147 3566.48506316257 3555.29005665216 3555.29005665216 4295.64454099608 4334.0394252509 4210.17355958973 4210.17355958973 3098.66881429305 3098.66881429305 3098.66881429305 3098.66881429305 3500.41056698674 3574.2789917959 3574.2789917959 3574.2789917959 3574.2789917959 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4225.43817532743 4255.27542288803 4255.27542288803 4255.27542288803 3098.66881429305 3098.66881429305 3098.66881429305 3098.66881429305 3500.41056698674 3574.2789917959 3574.2789917959 3574.2789917959 3574.2789917959 3574.2789917959 4293.78193381469 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4225.43817532743 4255.27542288803 4255.27542288803 4255.27542288803 3574.2789917959 3574.2789917959 3574.2789917959 3574.2789917959 3574.2789917959 4293.78193381469 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4225.43817532743 4255.27542288803 4255.27542288803 4293.78193381469 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264 4199.73443923264
"X2" 3201.02661083685 3201.02661083685 3201.02661083685 3201.02661083685 3201.02661083685 3201.02661083685 3399.41203508492 2793.14905038163 2957.30346465611 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 3481.63191229291 3486.64682850323 2793.14905038163 2793.14905038163 2957.30346465611 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 3481.63191229291 3486.64682850323 3486.64682850323 2793.14905038163 2957.30346465611 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 2995.28628277155 3481.63191229291 3486.64682850323 3486.64682850323 4022.73983461796 4097.40480664688 4171.73260655371 4171.73260655371 2884.86951939741 2884.86951939741 2884.86951939741 2884.86951939741 3523.88247310789 3478.17988610015 3478.17988610015 3478.17988610015 3478.17988610015 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4165.35097621148 4152.79493724133 4152.79493724133 4152.79493724133 2884.86951939741 2884.86951939741 2884.86951939741 2884.86951939741 3523.88247310789 3478.17988610015 3478.17988610015 3478.17988610015 3478.17988610015 3478.17988610015 4023.59245910952 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4165.35097621148 4152.79493724133 4152.79493724133 4152.79493724133 3478.17988610015 3478.17988610015 3478.17988610015 3478.17988610015 3478.17988610015 4023.59245910952 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4165.35097621148 4152.79493724133 4152.79493724133 4023.59245910952 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755 4057.69157573755
"X3" 3110.37655352106 3110.37655352106 3110.37655352106 3110.37655352106 3110.37655352106 3110.37655352106 3241.70718240598 2705.14097795857 2963.41829294428 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3400.48240177936 3420.93877651652 2705.14097795857 2705.14097795857 2963.41829294428 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3400.48240177936 3420.93877651652 3420.93877651652 2705.14097795857 2963.41829294428 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3035.34530362414 3400.48240177936 3420.93877651652 3420.93877651652 3754.02201433872 3857.35267171846 4119.20322218593 4119.20322218593 2687.41304298949 2687.41304298949 2687.41304298949 2687.41304298949 3205.59089149008 3386.24483172822 3386.24483172822 3386.24483172822 3386.24483172822 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 4092.04800367526 4039.22362961615 4039.22362961615 4039.22362961615 2687.41304298949 2687.41304298949 2687.41304298949 2687.41304298949 3205.59089149008 3386.24483172822 3386.24483172822 3386.24483172822 3386.24483172822 3386.24483172822 3757.47756321514 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 4092.04800367526 4039.22362961615 4039.22362961615 4039.22362961615 3386.24483172822 3386.24483172822 3386.24483172822 3386.24483172822 3386.24483172822 3757.47756321514 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 4092.04800367526 4039.22362961615 4039.22362961615 3757.47756321514 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035 3955.01938677035
"X4" 3120.35076051203 3120.35076051203 3120.35076051203 3120.35076051203 3120.35076051203 3120.35076051203 3162.31480560306 2818.75288936935 3001.42935474374 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3330.74084302445 3364.22165583321 2818.75288936935 2818.75288936935 3001.42935474374 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3330.74084302445 3364.22165583321 3364.22165583321 2818.75288936935 3001.42935474374 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3073.11494731157 3330.74084302445 3364.22165583321 3364.22165583321 3503.66643172694 3622.39495398695 4041.20636697455 4041.20636697455 2528.13503673351 2528.13503673351 2528.13503673351 2528.13503673351 2746.09725388121 3307.39380376972 3307.39380376972 3307.39380376972 3307.39380376972 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3996.63039181089 3910.14718501934 3910.14718501934 3910.14718501934 2528.13503673351 2528.13503673351 2528.13503673351 2528.13503673351 2746.09725388121 3307.39380376972 3307.39380376972 3307.39380376972 3307.39380376972 3307.39380376972 3509.32475910645 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3996.63039181089 3910.14718501934 3910.14718501934 3910.14718501934 3307.39380376972 3307.39380376972 3307.39380376972 3307.39380376972 3307.39380376972 3509.32475910645 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3996.63039181089 3910.14718501934 3910.14718501934 3509.32475910645 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894 3868.55100517894
"X5" 3160.89704945913 3160.89704945913 3160.89704945913 3160.89704945913 3160.89704945913 3160.89704945913 3124.57210929349 2997.80985878741 3047.18815966815 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3275.25132266584 3318.05723421777 2997.80985878741 2997.80985878741 3047.18815966815 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3275.25132266584 3318.05723421777 3318.05723421777 2997.80985878741 3047.18815966815 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3102.45221480296 3275.25132266584 3318.05723421777 3318.05723421777 3282.96271917378 3401.07065849571 3931.31915452907 3931.31915452907 2420.27125050589 2420.27125050589 2420.27125050589 2420.27125050589 2319.53529256913 3245.41171350278 3245.41171350278 3245.41171350278 3245.41171350278 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3874.51242650199 3764.35452871909 3764.35452871909 3764.35452871909 2420.27125050589 2420.27125050589 2420.27125050589 2420.27125050589 2319.53529256913 3245.41171350278 3245.41171350278 3245.41171350278 3245.41171350278 3245.41171350278 3290.19874470486 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3874.51242650199 3764.35452871909 3764.35452871909 3764.35452871909 3245.41171350278 3245.41171350278 3245.41171350278 3245.41171350278 3245.41171350278 3290.19874470486 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3874.51242650199 3764.35452871909 3764.35452871909 3290.19874470486 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613 3777.70861321613
"X6" 3175.94637109022 3175.94637109022 3175.94637109022 3175.94637109022 3175.94637109022 3175.94637109022 3097.19377142552 3132.62122033129 3080.41648370151 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3234.38923557069 3281.97199235522 3132.62122033129 3132.62122033129 3080.41648370151 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3234.38923557069 3281.97199235522 3281.97199235522 3132.62122033129 3080.41648370151 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3117.66616529682 3234.38923557069 3281.97199235522 3281.97199235522 3100.10640898882 3200.75873470795 3787.2753369893 3787.2753369893 2370.60121034896 2370.60121034896 2370.60121034896 2370.60121034896 2057.38846565035 3201.29624545845 3201.29624545845 3201.29624545845 3201.29624545845 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3724.61274684108 3602.94051838316 3602.94051838316 3602.94051838316 2370.60121034896 2370.60121034896 2370.60121034896 2370.60121034896 2057.38846565035 3201.29624545845 3201.29624545845 3201.29624545845 3201.29624545845 3201.29624545845 3108.14537519598 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3724.61274684108 3602.94051838316 3602.94051838316 3602.94051838316 3201.29624545845 3201.29624545845 3201.29624545845 3201.29624545845 3201.29624545845 3108.14537519598 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3724.61274684108 3602.94051838316 3602.94051838316 3108.14537519598 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531 3667.31292853531
"X7" 3157.50900904585 3157.50900904585 3157.50900904585 3157.50900904585 3157.50900904585 3157.50900904585 3070.39667622236 3205.23974623836 3095.98421722003 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3203.46283251042 3251.73920048825 3205.23974623836 3205.23974623836 3095.98421722003 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3203.46283251042 3251.73920048825 3251.73920048825 3205.23974623836 3095.98421722003 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3116.70131114818 3203.46283251042 3251.73920048825 3251.73920048825 2954.26259344052 3024.61586079911 3618.33562259749 3618.33562259749 2369.01068377884 2369.01068377884 2369.01068377884 2369.01068377884 1957.16283049941 3170.01799098883 3170.01799098883 3170.01799098883 3170.01799098883 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3555.48274801174 3433.08308551323 3433.08308551323 3433.08308551323 2369.01068377884 2369.01068377884 2369.01068377884 2369.01068377884 1957.16283049941 3170.01799098883 3170.01799098883 3170.01799098883 3170.01799098883 3170.01799098883 2962.40868755605 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3555.48274801174 3433.08308551323 3433.08308551323 3433.08308551323 3170.01799098883 3170.01799098883 3170.01799098883 3170.01799098883 3170.01799098883 2962.40868755605 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3555.48274801174 3433.08308551323 3433.08308551323 2962.40868755605 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423 3540.02146993423
"X8" 3109.63991495764 3109.63991495764 3109.63991495764 3109.63991495764 3109.63991495764 3109.63991495764 3039.79959178341 3220.72157623406 3092.48465901524 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3176.52043578735 3222.19732112641 3220.72157623406 3220.72157623406 3092.48465901524 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3176.52043578735 3222.19732112641 3222.19732112641 3220.72157623406 3092.48465901524 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3098.3964674086 3176.52043578735 3222.19732112641 3222.19732112641 2842.37029290378 2874.76477988679 3436.62322614157 3436.62322614157 2401.20031993978 2401.20031993978 2401.20031993978 2401.20031993978 1982.88044807476 3145.05000067742 3145.05000067742 3145.05000067742 3145.05000067742 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3378.06742742861 3263.47530023066 3263.47530023066 3263.47530023066 2401.20031993978 2401.20031993978 2401.20031993978 2401.20031993978 1982.88044807476 3145.05000067742 3145.05000067742 3145.05000067742 3145.05000067742 3145.05000067742 2850.0632275705 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3378.06742742861 3263.47530023066 3263.47530023066 3263.47530023066 3145.05000067742 3145.05000067742 3145.05000067742 3145.05000067742 3145.05000067742 2850.0632275705 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3378.06742742861 3263.47530023066 3263.47530023066 2850.0632275705 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933 3402.93073642933
"X9" 3036.43518833118 3036.43518833118 3036.43518833118 3036.43518833118 3036.43518833118 3036.43518833118 3001.05517766797 3184.22630948407 3068.42612146004 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3147.61444692601 3188.18515801713 3184.22630948407 3184.22630948407 3068.42612146004 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3147.61444692601 3188.18515801713 3188.18515801713 3184.22630948407 3068.42612146004 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3061.57055880201 3147.61444692601 3188.18515801713 3188.18515801713 2761.40726033185 2753.35824186686 3254.24621860431 3254.24621860431 2452.90912783539 2452.90912783539 2452.90912783539 2452.90912783539 2098.53574017365 3119.87202818669 3119.87202818669 3119.87202818669 3119.87202818669 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3203.30173030436 3102.81002150592 3102.81002150592 3102.81002150592 2452.90912783539 2452.90912783539 2452.90912783539 2452.90912783539 2098.53574017365 3119.87202818669 3119.87202818669 3119.87202818669 3119.87202818669 3119.87202818669 2768.22163538747 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3203.30173030436 3102.81002150592 3102.81002150592 3102.81002150592 3119.87202818669 3119.87202818669 3119.87202818669 3119.87202818669 3119.87202818669 2768.22163538747 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3203.30173030436 3102.81002150592 3102.81002150592 2768.22163538747 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665 3263.11732862665
"X10" 2942.03598978356 2942.03598978356 2942.03598978356 2942.03598978356 2942.03598978356 2942.03598978356 2949.84452677272 3101.02166550059 3022.22905578507 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3110.79461370164 3144.53601601027 3101.02166550059 3101.02166550059 3022.22905578507 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3110.79461370164 3144.53601601027 3144.53601601027 3101.02166550059 3022.22905578507 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3005.02127533963 3110.79461370164 3144.53601601027 3144.53601601027 2708.38656203859 2662.58148403229 3083.31130870564 3083.31130870564 2509.89826730393 2509.89826730393 2509.89826730393 2509.89826730393 2268.05605795119 3087.96314784233 3087.96314784233 3087.96314784233 3087.96314784233 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3042.12300218754 2959.78980654282 2959.78980654282 2959.78980654282 2509.89826730393 2509.89826730393 2509.89826730393 2509.89826730393 2268.05605795119 3087.96314784233 3087.96314784233 3087.96314784233 3087.96314784233 3087.96314784233 2714.03137924982 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3042.12300218754 2959.78980654282 2959.78980654282 2959.78980654282 3087.96314784233 3087.96314784233 3087.96314784233 3087.96314784233 3087.96314784233 2714.03137924982 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3042.12300218754 2959.78980654282 2959.78980654282 2714.03137924982 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146 3127.64549615146
