"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 3880.82549676932 3821.88135811307 4236.08487190508 4410.70508265757 3229.37387023184 3151.01950863821 3218.05361536366 3713.97190808265 4197.18338298947 3988.78728592454 3731.13258296632 3798.79152535188 5214.94441228453 3149.7314607886 2786.07986519733 2703.49248007303 2617.15103950887 2940.65283160734 3034.33994967087 3779.00568987124 3569.06718951359 3044.17083205747 2903.78739119277 4420.91337446169 4342.00761693213 3218.5234768284 2657.8747584151 2833.93513175505 2851.12578505273 2746.50760141227 2558.75605309337 2303.735744391 2890.6745553048 2572.64309699916 2076.00755436583 2136.15001159341 3019.79157116598 2896.53939483264 2779.5693389608 2743.45811232019 2940.0079525877 3008.78110969467 3090.5707188742 3133.11255125482 2500.02239805181 2768.97764752447 2878.85124690799 2974.23552236677 3076.62778792453 3193.40614741759 3720.68627810069 2808.77411894545 3021.03213942167 3171.24109187165 2986.37287463349 3852.6505459263 3265.73905247175 3135.70482627951 2468.53545780143 3170.55280261242 2790.48984858887 1975.69730963208 2688.11373135099
"X2" 3780.70037189435 3815.66971682422 4377.66452409273 4489.17194826907 3189.3820879916 3116.40427690338 3173.63684371226 3367.91274771511 4329.69379125209 4028.06772935865 3887.48359161288 4019.64886441222 4672.65598855412 3084.74144653898 2667.49533047233 2578.82751647822 2576.94298803101 2994.40969885027 3114.88381345336 3850.63847831665 3647.55994403863 3198.34355494312 3142.81723479931 4573.44410127374 4360.12958658405 3127.78156097458 2557.89002250485 2666.49345188549 2708.57003143532 2625.04592211489 2442.24612667624 2282.49315123479 2980.05528428764 2653.89999042793 2106.77476460804 2141.69485304251 2915.1667419911 2819.35669029495 2649.64555057412 2596.77072754242 2783.51797667876 2897.96109186654 2978.91741383493 2885.51857459722 2393.4846699752 2684.57328159495 2788.2169277274 2840.26504224536 2937.50535514225 3072.25553232581 3557.9051602606 2741.99994881869 2961.26646898253 3013.33151268705 2798.67595136698 3735.46827113334 3213.28383001695 3006.22817134031 2335.61352905128 3131.4471435069 2759.59707233163 1952.37603099271 2689.78686758687
"X3" 3841.82201090969 3808.09659905252 4505.37360070004 4730.30746116495 3151.99748356322 3083.49337572298 3132.0276497266 3146.53262247442 4453.84372379821 4066.05795110452 4036.56367294063 4227.56928630056 4761.04168412474 3022.94615270206 2558.8127413214 2463.59014532879 2541.12804786713 3044.76118195439 3191.57956978936 3917.65287421228 3722.94220642176 3345.05957683022 3370.41037204301 4714.48601294049 4372.42112873495 3040.49009616003 2463.04842841804 2513.70814710563 2579.24634313356 2516.60135977769 2339.48768814891 2266.63344397356 3063.99530575955 2726.43848611247 2135.81005988073 2150.85235004638 2816.918872611 2746.2048772021 2528.01902977463 2457.29427664669 2637.04076475617 2797.80673561352 2877.15881225073 2657.78438031248 2291.4763975134 2604.78723300729 2704.32452224784 2712.17840913116 2806.80277607182 2962.07801732322 3404.77842966957 2677.56441019436 2905.07622374777 2862.06996553006 2621.07348115365 3631.54483244637 3162.67901107002 2884.09559941083 2214.95035059035 3095.50655093792 2733.77482953001 1938.66373571283 2692.70452837888
"X4" 3974.04367386104 3791.0616390234 4599.65368088903 5015.99021066829 3121.53726668961 3054.7588200105 3095.14226723332 3017.33332073099 4555.06099711236 4101.0301116917 4165.38654942793 4399.89729731562 5162.84325409413 2969.72404579171 2473.07334292912 2371.34290654507 2516.02988133967 3086.55393804674 3257.57782905321 3972.85876954353 3788.10254687784 3468.27308667418 3561.00708214561 4825.42915245214 4372.86959988895 2964.12257717576 2381.84391407335 2394.70195237428 2480.30581239944 2438.00179915673 2266.6373626837 2262.70335653481 3131.31215013031 2777.07608560457 2159.29696079871 2162.5636285847 2736.01667186436 2683.99808734807 2427.02568215355 2337.38137465271 2516.12893989155 2722.31681392158 2799.20451024127 2478.3457889039 2202.61800311948 2537.03860987324 2636.54983375208 2600.69726979923 2698.22757118494 2878.30635548752 3275.97373105629 2619.65831739536 2857.76733101001 2729.97979705719 2470.49107254746 3554.61420511798 3117.33970610013 2781.48547439405 2123.59393495888 3067.14168371197 2719.57791061834 1945.22481488242 2698.26670433215
"X5" 4095.25014425801 3757.21000816773 4645.94987978483 5244.8208784352 3098.94565470169 3030.65623587692 3063.09763480467 2945.69503833359 4621.02734220678 4131.3882642356 4263.71793441514 4519.38739279016 5592.15880855342 2927.21788254631 2418.43956402962 2311.31566862268 2505.56172064357 3114.99386354169 3306.048197368 4010.27140565196 3836.87296585756 3555.09783777618 3694.16008188786 4891.90886417783 4356.44375625306 2903.60867042296 2320.35965163286 2321.50458067549 2422.86514216356 2400.27860381281 2233.84548242856 2274.04521062725 3171.82130603191 2795.47195672166 2173.00223909796 2173.77564604595 2680.47264862503 2637.96473738693 2355.3954195312 2246.12024462072 2431.87661181829 2680.74062380037 2754.87905955963 2367.98463980399 2133.25001938823 2486.57522792611 2591.08064199494 2513.83189054332 2621.59276705163 2831.68013871244 3182.75582626314 2571.0481934098 2823.05302436057 2626.77119472919 2359.10607047537 3512.53254075032 3079.97261859627 2707.59773592629 2072.9250318557 3048.98429279052 2721.7891016019 1978.65389618968 2707.7451185606
"X6" 4141.86567752522 3701.33232192465 4635.16038954517 5341.48756839808 3083.80055674332 3010.86113818226 3035.37975717941 2901.89711719056 4643.14972729563 4156.02416360266 4324.85297888416 4575.01026489347 5827.49131888521 2896.00108694985 2399.36373974961 2289.00386405967 2511.81863037332 3126.63369827218 3331.79740996864 4025.77219510844 3865.15451955998 3597.22848078609 3756.4232255571 4904.58850583178 4319.80282082682 2861.93351563963 2282.48735169962 2300.65330568187 2413.143968445 2409.61795274754 2246.608342258 2301.92239720276 3178.34839007406 2775.33913482823 2173.83285028081 2181.53854155856 2655.46313223881 2611.61740498827 2318.60903035412 2189.51414322496 2391.22163723408 2678.36580328282 2750.15662727637 2339.69992452161 2087.60805145933 2456.76086049381 2571.56853954357 2456.98190692757 2583.11900137451 2828.64669861853 3132.55440051707 2533.47369117917 2803.31059798859 2559.10290870994 2294.79185217684 3508.97596026396 3052.53143178517 2668.55775373495 2069.57097079669 3042.37405554126 2743.43468443976 2042.21970239252 2722.13226594098
"X7" 4111.61836345481 3625.66889181383 4574.43121591052 5312.84382915701 3073.48768733686 2993.87725256068 3010.66626037652 2875.50829088555 4624.92182415194 4175.56591543384 4353.01661351688 4574.49231919018 5856.39764311741 2873.57239590197 2410.55077069396 2299.59417962507 2532.13530818518 3122.81054387954 3335.79555911194 4021.23547527187 3875.87177870397 3600.94059492395 3756.33719443087 4869.41158177814 4265.16173361398 2836.99556474769 2265.97555581875 2324.13199003932 2444.12960548869 2458.9520614521 2298.07817193402 2342.52615968019 3154.24339618097 2723.30724796351 2163.40989513712 2185.0344995545 2658.06752140814 2603.48934548814 2313.05396518738 2164.8194143316 2389.32442138755 2709.66174476603 2780.03607614089 2383.77932430078 2064.01668167377 2445.77064382436 2574.88961952581 2428.11161631576 2578.8962384345 2863.54051553219 3121.30559482029 2506.06984138825 2797.28670167339 2524.6251090033 2273.38021067302 3536.92863457547 3034.77284862045 2661.52172162498 2107.16504281587 3045.3234925703 2782.45931840036 2130.13494188884 2741.48905410879
"X8" 4017.51312740982 3534.30641438356 4474.9288529228 5186.17588224691 3064.84749319163 2977.91726320691 2987.43508649913 2860.93342550956 4572.82462499189 4191.07136458563 4355.13869948989 4530.20225215126 5718.6636165622 2856.66855916466 2444.29341291666 2335.72332848992 2562.66780238433 3106.04443003059 3320.53474388871 4000.01689423663 3873.69054469073 3576.12333239295 3707.8879522784 4796.10158079041 4196.109222844 2825.43546696763 2267.05499259125 2380.32217144014 2505.53451813623 2537.93224741007 2378.35264212234 2390.78963661467 3105.46113768028 2649.20909107188 2144.52371893259 2183.97491811618 2683.36399202957 2610.88437813703 2332.87044766703 2167.13270424153 2418.43336028406 2766.42087977483 2836.80106284254 2484.89280121997 2059.34146611668 2450.49844336104 2596.24509543369 2423.35034152349 2602.51048259893 2927.69912291456 3142.10498827565 2487.32922747111 2802.83193160549 2518.76414628674 2287.728674219 3586.72733435819 3025.91272489895 2681.43058612516 2176.12576703677 3055.02100593078 2835.55166966409 2234.36751531079 2765.64778901279
"X9" 3872.50531520853 3431.31412548234 4347.77479786173 4988.65380332735 3054.72149218719 2961.19491377432 2964.16614753753 2852.59304194533 4493.29958115042 4203.59355545711 4338.118886241 4454.45804733253 5454.08036112943 2842.0324281145 2492.91043872708 2390.0575709878 2599.58397242138 3078.84028643391 3288.48453648923 3965.45275727791 3863.26140571089 3532.63275150386 3625.00594700474 4694.33766991502 4116.21718210424 2823.90925550463 2281.9768200563 2457.64298311289 2587.10619359296 2636.24395032517 2477.56246669867 2441.65480140064 3037.92708077762 2562.85171813736 2119.95492317963 2178.06614220565 2726.4567633118 2631.12424719283 2372.22805013917 2191.58200671806 2470.83279448734 2840.46500305852 2912.76632250119 2627.77629014939 2070.46989980313 2467.8563749837 2630.85711092936 2438.85545622711 2647.58002246507 3012.49381588182 3188.08540196077 2475.75461329986 2817.81032461248 2536.97966774204 2330.73618720394 3648.73441532632 3025.17727382126 2723.25651729411 2266.90792614618 3068.6627218012 2899.41653660848 2346.90380485028 2794.44626839147
"X10" 3689.51412178104 3320.74841066427 4204.05819802321 4747.36064261029 3039.94869137882 2941.92298450145 2939.3395971816 2844.91595820328 4392.75592462779 4214.18193026633 4308.83444705509 4359.54096293718 5102.48569473907 2826.40926495112 2548.73790495985 2455.28437932486 2639.05913688388 3043.69079552567 3242.09479555301 3920.86382339232 3849.22501001879 3480.30299629208 3521.58191542114 4573.76569289516 4029.04474611841 2829.08455872001 2307.00836752575 2544.53798719114 2678.61548255583 2743.59500250857 2585.8601706826 2490.06671764087 2957.54406731113 2474.02758275275 2092.47752666599 2167.00911383084 2782.47053473538 2661.54557746924 2425.31906466434 2233.32112833428 2538.83424186005 2923.63597240756 3000.26893011088 2797.21434044588 2094.30788399652 2494.77129652224 2673.96330867562 2470.80802182287 2707.74818142227 3109.31984051765 3252.40908931666 2469.85724601477 2840.09692920291 2574.75946150921 2395.33504315508 3713.3268535148 3031.8021859293 2781.99719372367 2369.99171630008 3083.44930541319 2970.7710962101 2459.73955485276 2827.72759085564
