"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X1" 555.545199949291 594.783562815091 536.742917078163 507.804500814577 657.890901056736 679.71532538859 666.147007888799 650.727230460157 562.3972723057 682.666254332941 717.064803783218 783.265819757304 773.816310277624 751.101936411651 729.943695471932 603.129961939634 538.57449281821 789.046180871653 844.191208307756 869.197415925979 873.289132022829 861.210647144998 858.318968639526 835.221378248285 798.539350538914 695.317622245612 572.504112778816 706.489443027985 786.658561539324 809.936867402433 888.028616197363 926.947196620799 894.040815357982 904.650390237972 891.531501971717 846.52725260362 758.465917227655 499.867548303892 841.995958020471 888.879981729665 896.702142541303 891.319959593627 893.883897438175 896.069707555238 902.061341374553 867.673011651376 778.85917749693 575.444593812436 444.577518878645 946.527787905246 929.986398432445 919.298060395731 912.256314257314 922.145907556982 895.882541991953 711.499309791196 492.736639639026
"X2" 475.816643445649 526.582034311415 503.987778205427 461.557057516057 618.395049856937 696.693719723929 688.147495823185 640.251051256394 493.354924600628 639.49377776395 743.299635864181 811.55461323498 789.321474744933 760.278407205692 735.011893401452 565.90935803006 506.170383033494 715.952592670044 843.44767075873 882.939052403915 878.604303751662 877.913990551212 873.9742006094 836.885116928031 798.758720293457 705.152328841648 578.475498256936 732.339976376364 829.109608718925 853.105634052493 920.293261906277 942.178735133739 910.014641916516 922.870263829178 909.332757833648 862.891312109695 774.938938710047 479.653895172951 849.732440858694 898.984744908639 916.644054136162 920.883128394368 922.644421159751 923.029707087747 926.874776189617 897.36239460568 816.879945063624 612.482017160967 425.274253624975 959.373030626973 944.005974824175 940.460252648347 940.32701487611 950.516748682241 921.487564788667 745.956698629357 530.649272888348
"X3" 408.465315370032 469.603733821713 479.382290261974 426.572306233883 586.523579901404 714.832362606038 711.062324169186 633.381691122965 438.445968491246 605.631893998107 770.035708542719 840.161550029042 805.865153458333 770.977889433437 741.744112879662 534.841666786244 485.105857445888 659.083678868878 845.362035925878 898.289763236384 886.056952920227 895.856816989374 890.687368952137 840.316336595504 800.372955490153 716.48793635535 584.446883735056 760.354955640613 871.644095365557 896.405678898862 952.847090728289 958.246602912361 926.967982208451 941.976698769724 927.917567773941 879.960397203487 792.365667181869 466.395776189875 857.247807563417 908.829483337144 936.396245116156 950.287057861795 951.764704315117 950.745854131769 952.365246487882 927.442651661335 855.12854413692 651.094559783435 412.703511195082 972.08996018147 957.873815047689 961.298086734679 968.091747144385 978.557204428711 946.88125088944 780.591058406372 570.322531623949
"X4" 370.353850197122 438.621898176291 473.405238376747 416.083868083112 573.207225820131 736.425320789353 737.101984200313 635.907965530495 412.053657372343 591.735704806774 798.365951654024 870.093696101236 825.92899016822 786.481110084598 753.658997463608 519.06028278539 485.776988711971 629.403258883451 853.507559504537 917.717242846133 899.334959126072 917.261944605425 910.747371710226 849.076390484395 806.753595742151 732.298376574105 590.418269213176 792.359546395406 914.236937392076 939.844652167522 986.233199228282 976.804866592343 946.637972954254 963.831682657819 949.277331998398 899.723736489778 812.974726999671 469.956868229144 864.720366612099 918.644820641306 956.170412061921 979.593526018496 981.980503058083 980.606358153099 980.148489301333 959.002171616317 894.27430404876 693.363046597452 416.902353315207 984.871808000551 971.86408099767 981.817804516184 995.522095643505 1006.33676458178 972.233321580402 816.171031826051 613.878465380432
"X5" 371.200994024766 442.597588523786 492.190341175476 436.792842911877 584.988680047412 762.806065569231 767.54291231549 651.641713031703 421.367273153353 603.394565019427 828.794348641834 901.800635474781 851.08436591887 808.90556399693 773.031797646219 524.608335054131 512.568233480062 631.924692579372 870.111543139145 942.650844343165 920.91041300829 943.465114292779 935.578523833604 865.568473908524 820.167961902075 754.53363969388 596.389654691296 828.413867972518 956.405876630983 983.03039306815 1020.54592099281 998.895476707683 970.065713515792 989.584132235604 974.700725283337 923.458854615824 838.171776020745 496.478663074655 872.204967058482 928.513814275531 975.971737858185 1008.62371380263 1013.60623879176 1013.33396309071 1011.21659980748 992.614878354292 934.507048274415 740.316233577552 443.761021402188 997.823971466053 986.119844385569 1001.92851433559 1022.43154062437 1033.73870780179 997.497987308372 852.935032615059 662.318929323721
"X6" 415.454765022076 485.88764001237 538.526491898085 491.078447575488 624.979981766024 794.518032840389 802.896317857983 682.611232419178 468.853688256017 642.765271671865 861.372438534685 935.307448001303 882.09064821912 839.340138031666 801.046003361808 554.783436814686 566.244163853124 667.891141380347 896.230080931298 973.652694864055 952.073742696686 975.025634340725 965.836607085194 891.116005412824 841.876928252783 784.206364628103 602.361040169415 867.72912032399 997.436445130018 1025.34283780217 1055.54820609146 1024.98002275137 997.680489117121 1019.73274387337 1004.80907105033 951.782446680061 868.620412246159 549.00223344262 879.662362954724 938.399173071257 995.646520379353 1037.04140363903 1046.59685696176 1049.10728506524 1045.980949909 1028.4066777935 975.649299552771 792.153040158389 495.989178098774 1010.97315729883 1000.66781962345 1021.47482942049 1048.54039901794 1060.51568820856 1022.47089616278 890.735131772475 715.773260734378
"X7" 493.844423607091 560.480752195609 606.316575404675 570.644690460372 687.129265235792 829.941796602023 841.582142428982 725.813117976107 545.353460461982 703.420201886015 894.938816193716 969.505359880107 917.420889086828 875.992007225229 835.835770526232 605.18709955639 639.073703905118 729.404790119594 929.646195036999 1008.89255601211 990.691530528171 1010.32412571725 1000.01336150597 923.965190925799 870.298582459935 819.669719678037 608.332425647532 907.818194215352 1036.10579082623 1065.62030777552 1090.1192724814 1053.84578245779 1028.19137415533 1052.92547113317 1038.30206792896 983.423651773276 902.885278871201 622.067298494695 886.801073936495 947.931732415717 1014.60879047682 1064.10790909738 1079.89620422141 1086.61040930081 1083.18645425956 1065.24136205932 1016.5313745414 846.823595561748 567.86788784249 1024.12295707646 1015.20528980951 1040.13528956465 1073.34283140843 1086.07583895114 1046.52299903742 928.406037481526 772.01567320485
"X8" 593.696046560977 655.298189970089 687.258598696423 664.54595612387 763.110671763544 866.91999371446 881.499974498654 776.995776417759 638.822935804263 776.802042123816 928.02937173007 1003.00242408086 954.979912018204 916.352836419394 874.7783028712 669.512989427174 721.216138638188 806.302520627361 967.330321694902 1045.94523112467 1033.78023022227 1047.19931708736 1036.06250414486 961.598790724667 903.145731334492 858.616562030216 614.303811125647 945.769234337692 1071.0615165068 1102.56357393309 1122.91668422714 1083.86351065786 1059.87951555407 1087.3498307471 1073.40158339993 1016.64225686498 939.009183771096 708.104173290204 893.266237986074 956.658990253072 1032.16374927694 1088.98253877954 1112.19529211913 1124.15487553814 1121.16315963017 1101.66776197192 1055.73495483572 901.717630931262 651.586116411308 1037.02114538484 1029.34710485012 1057.54607138123 1096.2751893626 1109.73994924367 1068.91810143139 964.527663976244 828.233290800476
"X9" 702.359908937015 759.284232350632 773.065444639082 761.852704904936 844.61364886081 903.297091764574 920.550866046203 831.916815705383 737.237841965154 854.367913163625 959.179460893653 1034.40590189618 992.675168042126 957.918628279163 915.255654603901 741.470704603433 802.841364536673 888.439045483831 1006.25781056295 1082.38759673082 1078.36143002604 1083.4917636576 1071.93994564334 1001.50512635557 938.136356010394 898.743780993124 620.275196603761 978.667763391631 1100.94687932668 1134.86950086659 1152.59592973356 1113.40528192559 1091.02740028254 1121.19475968932 1108.33135900883 1049.69990517432 975.037091173137 799.557727939711 898.702267665716 964.127575310432 1047.61500843759 1110.82207109624 1142.18394806487 1160.05222808064 1158.24199187654 1136.23422611949 1091.83976052664 954.225047388834 739.346034979342 1049.41523138076 1042.70768757164 1073.34193313402 1116.77168126429 1130.82663976403 1088.91811129528 997.678134348954 881.613097361024
"X10" 807.196115466508 861.393610611033 855.455456117726 851.639053488621 923.333509280525 936.916947103451 956.634956446847 886.338230366049 828.579614006046 927.579660213597 986.92224671216 1062.3206872308 1028.4143664096 998.186886808118 954.651764577257 814.778630521794 874.1187107066 965.675335666076 1043.40548983454 1115.79585385352 1121.45847373831 1117.04139923496 1105.60147479316 1041.17523380172 972.991028038829 937.749687451935 626.246582081872 1003.59337353224 1124.39925430328 1161.22957042513 1177.80889886221 1140.84264541498 1119.91690805796 1152.64856313016 1141.31499902909 1080.85812865022 1009.01390738539 888.878804904437 902.752450510616 969.882737306821 1060.26380436569 1128.77980132271 1168.54933100362 1192.61210208928 1192.75286539918 1167.48697737796 1123.42194240855 1001.73295422407 823.35416651891 1061.05217481481 1054.90059954877 1087.15580421433 1134.26373451942 1148.65159445063 1105.78220590381 1026.43217209124 929.338743414786
