"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106"
"X1" 1336.10959159312 1244.7973512612 839.843076894781 1465.44025801999 1437.47298301674 1372.67463621149 623.52632937925 487.077231676127 1336.0877835562 1265.39233231916 1391.08946371615 1191.50717935421 803.466777310696 1245.59169844363 1337.05009734595 1511.95194711738 1581.98171603204 1156.31664260421 1347.15120045811 1538.31106822943 1654.50106008635 1649.2115524902 1275.73914442944 662.105866720319 1230.46563097025 1449.29014625986 1588.64890014805 1602.68184431957 1633.49491074225 1314.89381407526 1224.61521938867 1349.53307763565 1416.9895024274 1422.42411559239 1371.20622265453 1430.42124571264 1159.74159074836 1199.6324517519 1385.37578089228 1417.95906743724 1380.08856828122 1338.42506852043 1250.52416748579 1169.98097188591 755.558226462018 330.474930650443 1130.51472623549 1408.47660597836 1459.76988559218 1380.47511753496 1304.31765447289 1278.83719641833 1213.26371599744 1099.19889882947 632.518452111725 1074.37543150351 1404.57848470252 1415.32069980598 1348.24605108495 1325.58010837205 1302.64126342725 1253.92872199349 1213.86093062954 927.646473184674 1152.4709269401 1418.3088433516 1423.34861212255 1351.67868237568 1327.05641229396 1318.47854299204 1279.67990431331 1227.55791534067 1065.74857665561 1167.35771711661 1469.44850867036 1422.37814560574 1291.95805569436 1284.35008840621 1292.55815255484 1194.88186447776 1210.77496932982 955.668313543464 876.991572659299 1405.29039006906 1316.5874075347 1249.57212313261 1183.8222994429 1189.40896984783 1088.24755998428 1227.85438285394 1219.06757397665 1154.82904974766 1074.47133885248 1004.27083127269 1086.96105837386 978.357275160416 941.501334392783 919.391915874706 958.480714499629 893.684501532293 699.400287254193 770.054844434846 479.714860922143 451.78822416555 432.967901031728 246.467245289896
"X2" 1170.16357561589 1130.23109197747 704.560493591465 1409.08285093372 1422.70919685225 1245.00637071016 556.482287719623 424.282462688816 1307.8514325675 1297.42973650358 1389.73929551059 1198.55925432491 835.783416207993 1231.06232126192 1345.70875810402 1514.0594151389 1593.70354170228 1185.80511920975 1310.34670538346 1506.99650286033 1645.59628321508 1661.04246215508 1305.52992575111 665.165675975332 1148.05307783827 1404.43684356863 1556.85527381552 1596.22987916299 1645.31221210162 1330.74200849395 1126.54609753644 1308.52613144782 1413.42196732751 1427.14561602149 1383.57533892961 1446.85308815401 1171.33752223588 1177.16268417461 1354.02558942217 1394.89382398437 1351.51659016641 1301.84684119399 1249.80813788334 1147.55238249899 718.55108735419 295.953915094255 1109.046744718 1352.06271921516 1378.45873748473 1320.64965232153 1273.56326139445 1237.44994690832 1191.50080522512 1065.05818600433 601.709284431991 1077.32340852749 1348.37363508488 1366.51953855534 1299.46265190906 1284.75287173741 1254.56906448406 1211.31113885162 1185.79216677165 900.123063716267 1140.05778969356 1373.22840850426 1372.52079387682 1316.87204537522 1295.83770607866 1278.23698687272 1248.69623533324 1201.90277829737 1014.94097475213 1154.37823589103 1413.38797348538 1374.13068762698 1278.13624991783 1269.31812991686 1260.98887575445 1183.99214022666 1175.86961054848 947.973754850212 926.496003008543 1374.63153139547 1299.15011576476 1247.24432575926 1188.48185406117 1182.03248549303 1079.22173290481 1202.27941542743 1208.83868758169 1147.59031669484 1088.4782822828 1005.10977978252 1087.00378834724 946.988349413801 936.630391023168 935.547238582174 967.08641989418 910.714914270967 728.52094059278 750.708852558008 490.04529288183 498.690809481709 474.16095770696 412.805855702754
"X3" 1026.30761156552 1028.73920111614 585.854248940358 1364.60028007045 1412.02609425302 1129.07951139065 503.373833235446 375.375573497008 1287.6846595794 1331.83684611385 1390.86631333361 1208.39276858842 868.885161618424 1223.05999700376 1356.40615408826 1517.90801130212 1605.3109708522 1215.69640432597 1279.89887295154 1479.9256113096 1638.65860137599 1673.37202512478 1336.043261379 671.860721781739 1076.68283570138 1364.85549525009 1528.38115191333 1590.67357557562 1657.22118084288 1347.3069346749 1041.0282935929 1272.60510295215 1410.80028029119 1432.51891455933 1396.10132331964 1463.30716829953 1184.42688660448 1160.56017795413 1326.07248891079 1373.7057249633 1325.37915275806 1268.00837486833 1250.46639271781 1127.56960448938 686.970162133983 269.27356319985 1093.926652596 1301.05950825476 1303.16615446266 1265.61079557131 1244.90172881986 1199.70862662191 1171.55422636794 1033.6413498233 575.337727006411 1085.87801959673 1296.12933689536 1320.47739911143 1254.08302737953 1247.03391172716 1209.62878816717 1171.65015522633 1159.37809672309 875.956616236879 1132.42126791718 1330.4211564209 1324.59026579996 1284.65647873099 1266.52636182724 1240.46348964746 1219.74899150321 1177.93198538414 968.707043117661 1143.79255717151 1360.85310365185 1328.63102417277 1265.55420135759 1255.61142020924 1231.51232041713 1174.17832207647 1143.47097533311 941.991939311696 976.45421156068 1345.70621242611 1282.58197081543 1245.46901701896 1193.75949522065 1175.95104607498 1071.70823325472 1178.22419096994 1198.94990242792 1140.73498328507 1102.09970447857 1008.02667461674 1088.40115207079 919.194332887762 932.718630784617 951.389057129098 974.976552330124 927.136753795191 759.10313022613 735.332665597675 500.375724841516 545.28307652085 518.554104480342 441.842988901692
"X4" 933.86777871464 958.887035996717 504.705953767152 1347.85966122477 1411.75358514295 1042.96537676137 480.200340223644 357.611569680501 1287.08259335472 1372.07286226574 1399.08944432697 1224.80929171642 903.452030035045 1230.56918146408 1372.84180027701 1527.32776983042 1618.23388819182 1247.06532232261 1265.53247690279 1464.38413404597 1638.01636078352 1688.39889846559 1368.96197267086 686.564329960713 1031.27231483971 1339.54478487897 1509.73782504839 1589.31231586882 1671.16391860085 1366.89924933686 985.558886745182 1250.40309510434 1412.5388424713 1441.22692464679 1410.71029528441 1481.45945722632 1202.0061289642 1158.09347088214 1308.27536196136 1359.3296006842 1307.03445268504 1242.88676883881 1256.07200060696 1115.29112170786 668.454779182545 260.591016646661 1093.82600254829 1264.91202719831 1244.85266318565 1223.942184989 1223.51147422809 1172.63050127522 1158.13194875655 1010.85954843526 559.852186368444 1106.44550751525 1255.76061333255 1284.01957591238 1219.05414631046 1218.85346707015 1174.44676918052 1141.47467846872 1139.56705280239 861.156851435785 1135.66302535425 1295.86874080565 1286.58154141255 1260.76631375002 1244.01225051005 1210.90681184825 1197.95944587053 1160.38482151957 935.056289467936 1139.11257337202 1319.12528037169 1292.42487337748 1257.88954113247 1246.92365736312 1209.42859502523 1168.89340274839 1119.19320170435 941.41320338053 1026.139768562 1323.03188916183 1270.48657587021 1246.87540295049 1201.98392166419 1174.67515775536 1069.33083032506 1159.42709869557 1192.05741529695 1136.87354957497 1116.18781365338 1016.62955767066 1094.14097760996 901.027112969061 931.722213695141 967.711989682355 982.85603199932 943.125454215469 793.107047448596 729.88088443788 510.706156801201 590.414396022627 570.559172290242 407.225935312395
"X5" 910.46962824324 933.217007491467 475.388197959528 1367.314530239 1425.67793953793 999.331711788106 496.42485350961 380.972866963334 1312.0113717346 1419.46169579418 1417.2230822003 1250.10985631497 939.685431884122 1258.14690312852 1397.20092371182 1544.90232883483 1633.37236419699 1280.57814440124 1273.05545815064 1465.2200208277 1646.73172367327 1707.59239413077 1405.3594808563 711.960166366658 1020.58723355726 1334.17221318169 1505.33614124003 1594.37140898058 1688.5202683734 1391.08272227317 970.314852041279 1247.19921795266 1420.73027630971 1454.94209374556 1428.41316848868 1502.3715198308 1226.01358041034 1173.87213342185 1304.86434340662 1355.06034085589 1300.16189163752 1230.61692405016 1268.87133572847 1114.30599520757 668.086557033705 276.09726479787 1113.11696496281 1249.65338523594 1211.05892475789 1201.63510802873 1213.13073237566 1160.91151177414 1154.34577446061 1000.82373768433 559.766114965287 1141.47265557763 1232.66290084783 1262.0377539293 1199.38389126334 1204.85156413432 1153.70340149352 1125.37065809811 1129.80682143287 859.979407861482 1152.62698267152 1273.90998352517 1263.64788716283 1249.36631850098 1232.03742074371 1193.80204249197 1186.99667449069 1152.68173884063 919.721362898842 1141.9956269924 1293.27504359443 1270.33740271831 1257.85961007403 1246.05284256437 1198.71671900356 1170.67528125672 1107.14872585396 948.846053501162 1073.60975525288 1309.57505381765 1265.51947175888 1253.33410547131 1214.83171075087 1180.8374124858 1074.73164900598 1148.3379276161 1190.01475266813 1137.79637808707 1131.23040317148 1032.85838460552 1106.36813779316 896.83808614071 934.518644599158 984.63019611903 990.947564849396 958.444575533334 830.726007143864 738.196776402365 521.036588760884 632.236402621906 630.595788589257 371.737643365792
"X6" 964.616044249115 958.760685650903 505.943827633289 1426.19878742765 1455.58017185608 1005.64343393556 556.414816953664 449.890791977169 1364.60685337288 1474.00934742449 1446.63191929645 1285.33135377227 977.455504728683 1307.29705548869 1430.47871396208 1572.05718144649 1651.18111704987 1316.51138229666 1305.17834416852 1485.10725523901 1666.61523469938 1731.75400788492 1445.74341310329 749.339460985009 1048.71164912052 1351.68352953758 1517.70321056847 1607.13243467007 1710.09541573865 1420.71053048105 1000.07072761952 1265.62823949731 1436.44427211145 1474.52553572108 1449.59293432645 1526.56262802936 1257.42485981925 1209.17626410902 1318.03953627904 1362.78485614331 1306.91166378271 1233.63613268712 1290.00537912561 1126.65655741562 688.678028252763 318.779524661707 1153.21088500521 1258.51094227224 1206.22390134224 1202.24504528377 1216.05171077557 1167.20585231609 1161.93429407765 1005.97860570392 577.742446727784 1191.01276284092 1229.97745356683 1257.55569973412 1198.15366373208 1207.85082986611 1150.23808873796 1126.08074471289 1132.15016122583 874.97734089525 1183.97878347363 1267.2486871977 1259.03731668339 1253.0248235933 1233.01587517166 1191.80184178518 1189.09905214587 1156.9274820941 926.187070401204 1152.83533671015 1286.32597350195 1265.42071916227 1267.16194197184 1254.7774552982 1201.90369812941 1181.09904054161 1109.88545864156 965.806784212546 1116.65738974962 1306.97812653527 1269.3627884564 1265.97080731582 1233.29743496897 1196.07886277419 1089.52071560066 1146.2962145846 1193.94938986256 1144.57138593355 1147.44875312503 1057.48284324407 1126.34562915672 909.252774239993 941.321604980046 1001.96567684285 999.26433006847 972.756637437633 871.33358960468 762.3125153242 531.367020720566 668.991315911021 697.290305064906 382.299155811525
"X7" 1080.47430470849 1026.94871954447 586.682136082644 1514.43266429539 1497.86482865524 1054.40885410391 650.921511097671 554.09907749932 1437.3113605105 1532.57574330585 1484.76676231994 1328.01975158108 1015.78019984794 1371.80681252048 1470.48309734011 1606.92281602375 1670.8944608652 1354.01418684218 1356.29469774624 1520.62324074948 1695.85165470892 1759.79624308581 1489.00421102769 796.18680699926 1107.36840269806 1387.63726925441 1544.08279202742 1626.25411281272 1735.01377026488 1454.5974165538 1065.54827007953 1301.24855391935 1458.04232434142 1498.6556261603 1473.05772527635 1553.03468409564 1294.48773929975 1258.18328774588 1344.53485239224 1380.50902669362 1325.12534853796 1249.58046866234 1317.59078880634 1149.99460892561 726.687077930426 382.94398775093 1208.03916759875 1287.08399738186 1226.05975876549 1222.38910906069 1230.36564789106 1188.47910459592 1178.84354525545 1024.05052350206 611.135459796015 1249.47848943886 1244.53378800343 1268.2418755992 1212.86580204865 1225.3710371806 1161.64216744432 1141.08430924832 1144.69631738533 903.802150071705 1224.95368462694 1273.85760671349 1270.44712034219 1269.65333296012 1245.35232932858 1202.9085164828 1202.37291191498 1171.41406491449 951.434676825362 1168.84343493692 1295.50522350732 1275.54296929741 1284.48368405869 1271.80904672591 1217.19022427362 1198.90460338449 1125.35467369295 990.622896327678 1153.09357514153 1313.23681888842 1280.85909333987 1283.76263291101 1256.36653170595 1219.06028405852 1112.2646883421 1151.57089232269 1202.95663994508 1156.26205114815 1164.37757323458 1088.29753540055 1152.73489131026 935.856129440559 950.77327656897 1019.03372786789 1007.45888378405 985.705278918505 912.732154951432 799.246594415837 541.697452680247 699.856547877211 765.950227188112 436.863563028695
"X8" 1236.17605466954 1125.34585474891 703.519549390264 1618.62985842788 1547.60198415452 1134.43167867824 767.319202357039 679.684224487961 1520.15855427523 1591.23672776877 1528.10675441343 1374.85403388057 1053.46457043713 1443.54530413628 1514.2303422263 1646.81211451057 1691.44309097594 1391.95496012568 1418.73344270307 1566.83375964709 1731.7268806261 1790.16242943783 1533.63015762344 849.042514796304 1185.21387127876 1435.75976810895 1580.40911319357 1649.74460267898 1761.98222460361 1491.05185716114 1153.98384264844 1347.86303936457 1483.21353796086 1525.46861723062 1497.22360536138 1580.41195282251 1334.77240180194 1313.30482345775 1379.72829147681 1405.27663762454 1351.57669305864 1274.89626779236 1348.99319917929 1180.88318247943 776.996957372237 460.743358000514 1269.67386074133 1329.08067252905 1264.11719363883 1256.96579822248 1253.12294256115 1220.28683619781 1202.0789801029 1051.5968960184 655.984840616588 1309.87811448369 1271.59755457093 1290.43850734193 1239.64104612047 1253.61815513825 1184.20721990053 1166.55666977106 1164.56455560168 942.891273296371 1269.43605373785 1290.53775015104 1294.20023193629 1296.00984037025 1266.45861830813 1223.97264452185 1223.90080923328 1193.48879490031 990.834997117447 1186.43972481024 1316.60406912155 1297.28878788434 1307.76598660776 1295.099300296 1241.70545780449 1222.12920205621 1150.36900811168 1020.83106232894 1180.72702832332 1325.44230855912 1298.1474137824 1305.15376412434 1282.52586579552 1247.70373766958 1140.77590151492 1161.66906157534 1215.62795994572 1171.43478081182 1181.38042342371 1122.35787058756 1183.5521419664 972.984537831623 961.124848493227 1035.02255263475 1015.09346829315 996.928147416038 952.331077317328 844.774195265749 552.027884639927 724.237905949654 831.053298524206 521.149644102021
"X9" 1409.89799096989 1241.55142998142 842.413847820316 1725.42160774311 1599.87023662443 1234.55151543644 893.007088064749 812.756758002326 1603.19308962807 1646.06807149931 1573.13701370788 1422.51794077742 1089.31286600437 1514.38948300176 1558.74097944613 1689.04375069481 1711.75873822826 1429.20257753799 1484.83622976516 1618.81687376887 1771.53445981731 1821.29860989413 1578.11106162807 904.453678633555 1270.92623603055 1489.79125679871 1622.62780846549 1675.61713956465 1789.71007873923 1528.3852798445 1252.63962986717 1399.28719395408 1509.65118392335 1553.10385880864 1520.50746405221 1607.31976582588 1375.85271637551 1366.95909681982 1419.00792681814 1434.1396904073 1383.04895098381 1306.04072987793 1381.58265844359 1215.89403998525 834.505031015242 544.345774694271 1330.19433823407 1378.22459091239 1313.96801734458 1300.89027724965 1281.38383108613 1258.19680049654 1228.65343446563 1085.18614798038 708.343441151361 1365.22169107593 1306.44887331028 1320.50124378028 1274.61413292758 1288.810568086 1214.23778633547 1198.68535296215 1188.88272282617 988.69400530999 1311.313959256 1314.10186625356 1326.63395050915 1328.86362846186 1293.75676044341 1251.85638151859 1250.7749430194 1220.50785188101 1039.77519306713 1202.04566509722 1345.42759185144 1327.25628509345 1334.95690725699 1322.60716079524 1272.58930096968 1248.81640236091 1181.75220451928 1053.97422801113 1197.35599798034 1340.69269198617 1319.37352337949 1328.59256494588 1310.26588303935 1279.93785435169 1172.87338544618 1174.10335373561 1230.55909847975 1188.6600632218 1197.82096676891 1156.72280177243 1216.8186965356 1016.98648052374 970.628522004051 1049.11913362631 1021.72975048587 1006.060923882 987.537352705176 894.680213840316 562.358316599607 741.533650808085 887.072645802654 620.870656170919
"X10" 1579.83706489565 1363.1852851817 989.348193439548 1821.44150705541 1649.75112391745 1343.63119463479 1015.39496806771 939.43544184393 1676.4593137189 1693.14102186284 1616.34464876922 1467.69620309474 1122.1271741478 1576.21490283452 1601.03642431842 1730.93915183036 1730.77296579979 1464.62510660897 1546.94874337786 1671.65733951522 1812.572522457 1851.65178427377 1620.93654631686 958.970250533284 1353.19262239958 1543.47875899009 1666.69132127104 1701.88778888075 1816.90758390177 1564.91015214161 1348.78916887395 1449.34212095678 1535.05009196914 1579.70169552381 1541.32522999238 1632.38297041064 1415.303488002 1411.56233475421 1457.76667907932 1464.15506668396 1416.33123722735 1339.47790419121 1412.73065153258 1251.60378741412 894.116978294137 625.925912251488 1381.67830737915 1428.24775819212 1369.19786418338 1349.08860653233 1312.21505799549 1297.78391134218 1255.58374707584 1121.39383562779 764.272792689349 1408.51310919866 1344.37698303643 1354.7950301864 1313.92941394752 1327.17478792413 1248.04717643314 1233.66577474616 1214.78399852821 1037.66746837634 1344.47223172515 1341.37083627809 1364.09579170594 1364.99160722841 1324.67603699367 1283.42990547315 1280.09386336018 1249.83329607877 1093.65353735939 1212.08031065176 1377.78992396663 1362.05319218946 1364.00908845431 1352.29652320334 1306.98915847816 1277.01389051632 1216.33551161701 1087.59882792138 1200.76576762986 1356.089699871 1342.68784663355 1352.52982828744 1338.07890280385 1313.69548849672 1206.38039565709 1186.38911382462 1246.34851201224 1206.51085518574 1213.06225537146 1188.45148978477 1250.55872517053 1064.21838737637 977.535531610755 1060.50831922964 1026.92833580468 1012.7369178033 1015.75265910453 944.754472776394 572.688748559284 751.133817995508 928.470515267956 721.719013326307
"X11" 1724.18570201783 1477.87368711707 1130.3151794297 1893.31032648154 1692.32354151908 1450.544109966 1121.8889253612 1045.83150013642 1729.98996383599 1728.51784933164 1654.21477575941 1507.0707779783 1150.70606047167 1620.88649540662 1638.13559946162 1769.81946262859 1747.41596590286 1497.08852515027 1597.41201191653 1720.44102860025 1852.14071782561 1879.6681537163 1660.59433813307 1009.14111659612 1420.69624782502 1590.56899517076 1708.55431210148 1726.57320268653 1842.28448731384 1598.93807160732 1429.70289027682 1491.84751877302 1557.10404478015 1603.40136466558 1558.09008391793 1654.22437803796 1450.69770823235 1439.52015863544 1491.39709430794 1492.38119630194 1448.21488780118 1371.67468085594 1439.80712430543 1284.58999386425 950.741002622032 697.656085560019 1416.19281514896 1472.88345092604 1423.39891140417 1396.49198201205 1342.6865524261 1334.6252239027 1279.88738216789 1156.79876458122 819.838627085938 1432.74215325161 1380.67489832136 1389.6899897526 1353.73648084639 1364.94117335607 1281.95328839045 1267.69692772633 1239.40365056867 1086.27258968715 1362.78552220246 1369.17007285322 1402.93934792246 1401.1746590642 1356.65007807549 1315.56786837819 1308.95918467828 1278.83008134856 1147.87418715783 1212.95625078707 1409.50950104623 1398.29301548193 1392.87743884466 1382.1339258044 1342.05670454152 1304.77126359283 1250.95409121114 1119.25200381146 1188.72614750071 1368.73541582637 1366.24336764602 1375.41702487746 1364.45741223309 1346.91137601255 1239.12194565258 1196.04158579819 1261.59578346686 1223.56097145538 1226.46601571713 1214.59996786197 1282.79701225983 1111.04049752844 980.094165392244 1068.37190878697 1030.24828132135 1016.58666020872 1034.37041199142 990.786937852779 583.019180518962 752.419532483145 949.691999615384 809.350936912488
