"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X11" 2933.17151257339 2933.17151257339 3245.47952951855 3851.92159347763 3091.37801281881 3091.37801281881 2789.08331978307 2789.08331978307 3787.17230655077 3787.17230655077 3823.92323096144 3823.92323096144 3808.44521982411 2855.62125500487 2720.70018846877 2720.70018846877 2737.6813744559 2737.6813744559 3474.6484635883 3787.17230655077 3787.17230655077 3823.92323096144 3823.92323096144 4002.2099497017 4002.2099497017 3126.56138297386 3126.56138297386 2741.29532102874 2741.29532102874 2965.04627651426 2965.04627651426 3332.12237291009 2374.14403853736 2374.14403853736 2324.69951719479 2324.69951719479 2926.72588970857 2926.72588970857 2650.14702076283 2650.14702076283 2747.4440119966 2747.4440119966 3225.04538622278 3225.04538622278 2522.14172917815 2522.14172917815 2551.45111976269 2551.45111976269 3069.18186913864 3069.18186913864 3622.86382558243 2471.44169584566 2701.2983396477 2701.2983396477 3224.67061796572 3224.67061796572 2852.94901735486 2852.94901735486 3236.31416726126 2796.26463267821 2796.26463267821 2830.54017745692 2658.15505205605
"X12" 2808.84012676583 2808.84012676583 3164.33307106631 3738.11129111339 3050.83735004961 3050.83735004961 2821.49611559188 2821.49611559188 3703.63287504669 3703.63287504669 3709.81599130976 3709.81599130976 3680.00136971099 2962.06099054643 2749.07033875505 2749.07033875505 2784.12547283297 2784.12547283297 3316.74935186848 3703.63287504669 3703.63287504669 3709.81599130976 3709.81599130976 3794.64414693457 3794.64414693457 3066.79254003131 3066.79254003131 2802.23261639133 2802.23261639133 3086.98349974283 3086.98349974283 3413.21010509302 2360.01313301363 2360.01313301363 2316.78612950926 2316.78612950926 3045.51628655992 3045.51628655992 2689.38432506222 2689.38432506222 2806.33785202485 2806.33785202485 3260.17553103068 3260.17553103068 2541.22787895521 2541.22787895521 2603.76003649043 2603.76003649043 3201.32702927694 3201.32702927694 3794.2157392971 2501.9066115667 2734.74840839256 2734.74840839256 3298.59842501712 3298.59842501712 2870.89961390984 2870.89961390984 3287.35137770122 2826.53435804391 2826.53435804391 3021.78114842067 2757.94202106491
"X13" 2659.73388584855 2659.73388584855 3074.15797189078 3613.69506103571 2999.93322618208 2999.93322618208 2829.64830675127 2829.64830675127 3634.08295645587 3634.08295645587 3616.73667656116 3616.73667656116 3551.90486349561 3045.38967659591 2767.05119884086 2767.05119884086 2805.76291534968 2805.76291534968 3135.66500063486 3634.08295645587 3634.08295645587 3616.73667656116 3616.73667656116 3593.3273524357 3593.3273524357 2996.49983546408 2996.49983546408 2843.23789109143 2843.23789109143 3185.19638560917 3185.19638560917 3484.18113619522 2344.22851775359 2344.22851775359 2279.5805489165 2279.5805489165 3148.10489291709 3148.10489291709 2723.16051863235 2723.16051863235 2845.5323136239 2845.5323136239 3282.35433989705 3282.35433989705 2541.14297720805 2541.14297720805 2661.15547224678 2661.15547224678 3297.85736981642 3297.85736981642 3926.49205595913 2514.65538540821 2768.93790848765 2768.93790848765 3345.23303996202 3345.23303996202 2891.58576343446 2891.58576343446 3295.00510124237 2859.22934164244 2859.22934164244 3157.65313529171 2852.16184221534
"X14" 2487.97461154809 2487.97461154809 2973.89280098805 3479.02604489717 2937.54565650321 2937.54565650321 2804.04292881631 2804.04292881631 3585.99257948539 3585.99257948539 3558.15016388085 3558.15016388085 3427.87347024838 3077.90768679127 2767.7082511358 2767.7082511358 2791.84221807812 2791.84221807812 2941.8698767223 3585.99257948539 3585.99257948539 3558.15016388085 3558.15016388085 3416.63096350319 3416.63096350319 2916.5354286796 2916.5354286796 2855.17648220509 2855.17648220509 3245.62249034683 3245.62249034683 3532.44021547509 2323.56917741544 2323.56917741544 2205.71695845256 2205.71695845256 3219.18854164982 3219.18854164982 2745.37674794035 2745.37674794035 2856.1095856825 2856.1095856825 3286.94927668285 3286.94927668285 2514.61831091997 2514.61831091997 2719.93437853478 2719.93437853478 3338.84893977244 3338.84893977244 3994.70796233488 2501.88238953558 2800.73403556533 2800.73403556533 3351.21693710788 3351.21693710788 2914.1491384094 2914.1491384094 3243.03664949264 2892.47177352649 2892.47177352649 3204.36770919305 2928.30575772445
"X15" 2302.60073558926 2302.60073558926 2866.3759695036 3338.2950900166 2865.67989750222 2865.67989750222 2742.00881326668 2742.00881326668 3565.52102653922 3565.52102653922 3544.89620693112 3544.89620693112 3313.05340379288 3042.11084062539 2748.02555619296 2748.02555619296 2738.59639017462 2738.59639017462 2750.1625343418 3565.52102653922 3565.52102653922 3544.89620693112 3544.89620693112 3282.00078823409 3282.00078823409 2832.14103874079 2832.14103874079 2835.2591822269 2835.2591822269 3260.36018543779 3260.36018543779 3549.30244183805 2299.62115280456 2299.62115280456 2097.48341466727 2097.48341466727 3249.3322789779 3249.3322789779 2753.56702023976 2753.56702023976 2835.43303272782 2835.43303272782 3272.45157661841 3272.45157661841 2460.49877624204 2460.49877624204 2777.99317689875 2777.99317689875 3314.84940944569 3314.84940944569 3985.52217988488 2461.51069376448 2829.32225928754 2829.32225928754 3311.5107759373 3311.5107759373 2938.54464783513 2938.54464783513 3127.13566771087 2925.36321143287 2925.36321143287 3144.10389560337 2978.30745794897
"X16" 2140.18146109834 2140.18146109834 2770.10890867205 3211.1054948025 2798.88460161884 2798.88460161884 2668.29239027971 2668.29239027971 3573.51983577043 3573.51983577043 3577.21066470755 3577.21066470755 3218.3033246048 2962.37696120858 2720.71676992054 2720.71676992054 2670.3154880261 2670.3154880261 2592.46882069388 3573.51983577043 3573.51983577043 3577.21066470755 3577.21066470755 3203.03366170752 3203.03366170752 2766.15803375114 2766.15803375114 2806.17449687693 2806.17449687693 3246.27022535085 3246.27022535085 3541.78911042964 2293.21875823363 2293.21875823363 1995.91482825993 1995.91482825993 3252.6701177484 3252.6701177484 2759.83317445611 2759.83317445611 2806.08526000096 2806.08526000096 3249.90561204201 3249.90561204201 2402.17390074201 2402.17390074201 2839.61744730881 2839.61744730881 3258.47117421598 3258.47117421598 3932.47572930276 2414.46355384197 2863.16733559677 2863.16733559677 3254.48020015879 3254.48020015879 2967.97332489683 2967.97332489683 2991.43419264294 2960.91921038177 2960.91921038177 3024.15448212921 3011.92109793577
"X17" 2041.01460954759 2041.01460954759 2705.84315818429 3119.1319445443 2754.19477714493 2754.19477714493 2613.88124069989 2613.88124069989 3607.84264269651 3607.84264269651 3650.23745834265 3650.23745834265 3153.64780116701 2875.23278854932 2702.40893189449 2702.40893189449 2617.86427820871 2617.86427820871 2501.21349832189 3607.84264269651 3607.84264269651 3650.23745834265 3650.23745834265 3188.72092340128 3188.72092340128 2743.9632595212 2743.9632595212 2796.56535720279 2796.56535720279 3226.79839608187 3226.79839608187 3520.96153664128 2327.86760599933 2327.86760599933 1949.72485195947 1949.72485195947 3249.63439244566 3249.63439244566 2779.50011725311 2779.50011725311 2796.52331243189 2796.52331243189 3233.37535700387 3233.37535700387 2368.67617028532 2368.67617028532 2910.71517527759 2910.71517527759 3213.05106829503 3213.05106829503 3880.43648599723 2387.15201071456 2912.76962846082 2912.76962846082 3216.57830469965 3216.57830469965 3006.5048519081 3006.5048519081 2891.56952885458 3003.27874595312 3003.27874595312 2909.76842802075 3043.31013204276
"X18" 2027.26440752271 2027.26440752271 2684.84186767878 3073.89660152709 2744.16994403122 2744.16994403122 2603.98115740501 2603.98115740501 3658.63169475026 3658.63169475026 3748.05034446906 3748.05034446906 3117.78093731259 2821.21393271132 2708.10703279493 2708.10703279493 2607.13748820467 2607.13748820467 2488.73654998333 3658.63169475026 3658.63169475026 3748.05034446906 3748.05034446906 3230.6027757535 3230.6027757535 2779.78953104386 2779.78953104386 2830.38034498369 2830.38034498369 3224.97899117044 3224.97899117044 3497.13876996447 2414.42762733538 2414.42762733538 1993.51113975992 1993.51113975992 3260.45933703233 3260.45933703233 2824.37557061806 2824.37557061806 2830.45860643653 2830.45860643653 3235.15245042091 3235.15245042091 2384.04889994075 2384.04889994075 2996.64669913548 2996.64669913548 3218.67941942967 3218.67941942967 3867.86372039091 2402.33159009836 2986.24159133522 2986.24159133522 3229.52154234843 3229.52154234843 3058.15565802704 3058.15565802704 2875.27562897032 3056.9078327466 3056.9078327466 2867.8447654834 3084.70886207543
"X19" 2092.27430925892 2092.27430925892 2703.33802578508 3070.89010537217 2771.39505202517 2771.39505202517 2645.91241075895 2645.91241075895 3710.91352725606 3710.91352725606 3848.17226063731 3848.17226063731 3097.53764179498 2822.87941471344 2744.61100527724 2744.61100527724 2646.76505036269 2646.76505036269 2541.53167737896 3710.91352725606 3710.91352725606 3848.17226063731 3848.17226063731 3305.34042739544 3305.34042739544 2868.18514740777 2868.18514740777 2915.19952522544 2915.19952522544 3253.12122705156 3253.12122705156 3474.4594445677 2542.1010280011 2542.1010280011 2129.05976838494 2129.05976838494 3295.68822220679 3295.68822220679 2896.52841621189 2896.52841621189 2915.29115650154 2915.29115650154 3260.61079306807 3260.61079306807 2456.09213372287 2456.09213372287 3099.42614377146 3099.42614377146 3293.32532531357 3293.32532531357 3906.59619858092 2468.73685110916 3085.09440961505 3085.09440961505 3305.13582214511 3305.13582214511 3125.53037888989 3125.53037888989 2958.47520378104 3125.01715470005 3125.01715470005 2933.95468958959 3139.12927222514
"X20" 2205.37343675615 2205.37343675615 2746.56113636597 3093.9521568359 2828.40178082142 2828.40178082142 2726.20151227024 2726.20151227024 3752.33111400454 3752.33111400454 3932.31010168719 3932.31010168719 3076.97814900856 2871.47745859772 2808.34563672902 2808.34563672902 2724.64610755011 2724.64610755011 2628.69581195035 3752.33111400454 3752.33111400454 3932.31010168719 3932.31010168719 3387.25113446355 3387.25113446355 2986.15664024922 2986.15664024922 3038.26860199133 3038.26860199133 3307.95198894623 3307.95198894623 3450.67170026438 2682.3010032196 2682.3010032196 2322.543408597 2322.543408597 3352.28761191683 3352.28761191683 2987.71411426104 2987.71411426104 3038.23311630004 3038.23311630004 3306.88179714672 3306.88179714672 2572.71106850413 2572.71106850413 3216.6938422428 3216.6938422428 3423.8252845325 3423.8252845325 3975.1257537427 2577.26668408575 3203.46426685485 3203.46426685485 3429.39637746587 3429.39637746587 3209.10351726685 3209.10351726685 3115.30707832943 3208.56712311471 3208.56712311471 3091.30835389008 3198.88358641142
"X21" 2327.15311967176 2327.15311967176 2798.32219377005 3125.62452804643 2903.01480751057 2903.01480751057 2819.47508026708 2819.47508026708 3778.80210251564 3778.80210251564 3993.30234498318 3993.30234498318 3047.40324948361 2935.40901876929 2889.56448427704 2889.56448427704 2816.4382715836 2816.4382715836 2716.1170605508 3778.80210251564 3778.80210251564 3993.30234498318 3993.30234498318 3458.80962028464 3458.80962028464 3103.95025508914 3103.95025508914 3173.86934938916 3173.86934938916 3375.65254857652 3375.65254857652 3422.31626141882 2801.79967619422 2801.79967619422 2520.1214826108 2520.1214826108 3418.91671740768 3418.91671740768 3084.94325572277 3084.94325572277 3173.66648443803 3173.66648443803 3366.50559242008 3366.50559242008 2709.16826613963 2709.16826613963 3343.39589179555 3343.39589179555 3575.01503371448 3575.01503371448 4031.56100939281 2707.17298643224 3331.4596794502 3331.4596794502 3571.11081880034 3571.11081880034 3307.77020750606 3307.77020750606 3291.52379886909 3306.74893857691 3306.74893857691 3281.78240398929 3251.31403309043
"X22" 2423.42355972948 2423.42355972948 2847.17934799071 3153.68907253306 2984.75322147289 2984.75322147289 2902.27586038666 2902.27586038666 3791.53672755378 3791.53672755378 4030.52102343618 4030.52102343618 3007.58712180574 2983.75092510026 2979.40851033881 2979.40851033881 2899.44668499112 2899.44668499112 2775.4659520926 3791.53672755378 3791.53672755378 4030.52102343618 4030.52102343618 3509.52218934888 3509.52218934888 3195.872211991 3195.872211991 3297.00629557329 3297.00629557329 3442.7620521261 3442.7620521261 3389.22324704488 2873.65132144769 2873.65132144769 2671.10119253953 2671.10119253953 3485.46233089236 3485.46233089236 3177.25886160427 3177.25886160427 3296.71792008488 3296.71792008488 3432.90106798212 3432.90106798212 2841.32830050197 2841.32830050197 3474.73468895266 3474.73468895266 3711.22257270319 3711.22257270319 4036.62769295209 2838.02481235574 3459.95343412376 3459.95343412376 3699.45100663116 3699.45100663116 3420.23710910612 3420.23710910612 3433.20602123359 3418.52282984849 3418.52282984849 3443.85152885996 3286.24683896177
