"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 665.006849978713 640.315129314967 1637.42185325012 1276.98089858454 1162.18307602191 1142.26234618774 806.764558695851 597.67954521838 1781.42929173781 2323.33478159413 1926.53276879102 1393.27847643829 490.419243962868 1094.91222075174 1446.86050529938 1468.05018118405 1300.86671694588 1124.89851525945 629.912493130522 2057.07982178991 2107.94732586847 1639.33288896681 1431.63573990446 957.965533656691 933.123430330289 1036.17387932054 1318.97681225873 1566.76824366241 1593.60844401777 1463.66041038482 1241.10246913338 632.979039165764 1383.81189337733 1346.79603712978 749.070003958936 1004.77480318131 1394.81864456361 1400.70889697121 1351.17960583644 1464.01033112388 1673.25370646218 1735.99354498037 1614.83954488724 1083.21335457408 1423.02513629152 1586.26289827362 1546.61600004944 1672.35579880833 1748.74815259377 1812.35063575047 1262.81932135748 1741.99985854202 1775.75191953863 1806.99300383852 1705.24610136943 1480.85878380924 2081.38961893223 1813.4259912648 1296.16220299812 1944.67059997529 1712.06928532824 860.64331207678 1370.20516042469
"X2" 613.51370871102 624.000501153941 1525.08521790596 1203.36339253606 1148.49563273121 1106.55272530804 718.351231242081 521.588117917667 1782.97735792049 2379.44263126967 1969.92633130468 1362.8153908438 517.824961456881 1083.21964215565 1472.5588228495 1453.3700934645 1239.79523028218 1049.37682945759 580.542047654443 2183.22246674218 2302.31990645914 1855.24813108064 1586.06394546956 1043.01875401577 911.412279599255 1008.29085146428 1324.32234501772 1576.03278851606 1620.16152314605 1483.54676683102 1212.93345388999 572.396418431807 1557.24786440776 1531.48969955906 1109.89103216096 1157.28740755753 1440.38268538284 1411.81380151749 1391.99021513573 1504.37327611019 1698.4858013856 1773.58087677779 1657.56667807738 1097.68288206282 1411.78017023588 1618.25947254537 1630.23184129336 1702.29425948459 1788.0334864788 1856.94332894706 1315.95867749629 1757.35706692726 1841.25331146321 1817.45345718387 1701.43361607651 1500.67293000487 2115.26693660539 1830.61228293422 1212.64547003473 2027.82668874727 1715.5329285706 797.825705217819 1391.58538228086
"X3" 574.692573865347 615.34835033454 1424.60331061721 1140.40365108671 1141.90261696632 1077.33934617064 641.841345847663 459.242163865753 1787.20115580795 2435.28853267724 2015.6279900443 1339.69719681629 551.900167225744 1077.45452696274 1499.96993679825 1444.18917949108 1187.75293688143 983.780235227116 541.553086594276 2304.50411345826 2484.5434067771 2058.00200849746 1731.49845086955 1130.2990021089 898.447890785534 987.922744986773 1331.46070995771 1586.86644818771 1648.24831868214 1507.79357958371 1192.13606615075 525.392893493415 1721.67842190958 1702.46211599542 1319.96187083089 1301.10523392575 1485.3554929047 1426.04613746949 1432.91293434402 1543.18396315134 1723.23381810359 1812.39400131422 1704.45155493815 1118.64065915685 1401.39122328163 1648.78727255117 1710.17546682419 1730.3198801516 1826.61615213322 1904.68421601891 1372.93008963888 1772.68849487815 1902.69412254234 1827.14472609111 1700.2304152828 1528.53246809277 2147.02971599291 1848.6436588033 1140.99118978221 2106.22199924237 1721.17623671107 747.469978891146 1414.32348547291
"X4" 559.824197909811 622.739951765439 1352.09894854923 1102.94013855481 1149.87144002139 1063.53360937108 592.059864139059 426.300187740687 1797.48084804692 2491.55354648012 2067.9960371128 1335.39448416691 597.352277664702 1083.4472829727 1532.84685853969 1449.16772110004 1157.23542595769 941.302823314679 525.169863852614 2412.63022357461 2640.00607505567 2231.88064713347 1857.22274470076 1218.17689724806 901.828664806579 982.267355880087 1344.13926799345 1603.68678174452 1681.56684848035 1542.36242991913 1189.76720238184 509.811252722365 1862.09500904103 1843.00487803632 1427.2719462908 1425.23610813963 1529.87320256345 1447.47706484085 1475.1994019614 1580.44969042566 1749.46017349014 1855.35396675623 1760.8510131711 1156.13333683034 1395.06120449236 1677.45961404267 1783.02056676806 1756.84624028919 1865.8962660287 1960.25326153714 1438.99440257876 1788.69188255653 1956.58151026565 1838.37168211856 1707.79584133744 1574.65777450861 2175.46548687317 1871.35172826882 1099.9399889362 2174.4317985472 1734.24042392403 726.57209043269 1440.99017557192
"X5" 575.6564157816 651.598025160504 1319.2049716365 1102.04142451779 1176.41185406749 1071.20020852067 578.760030906837 432.670239358495 1815.70294480963 2548.44082720813 2130.2501255183 1358.54622359156 656.499165039159 1104.34610445777 1573.12754518273 1473.78850273095 1156.55552738106 931.483129564904 539.533817277496 2499.61003356232 2757.82951889191 2365.15273272953 1955.69403789395 1304.8765634761 926.235143636479 995.783346653726 1364.66745134303 1629.17444468344 1722.21942085844 1590.71545182712 1213.5602766009 537.151497698713 1965.99172091105 1940.71510522338 1477.3343796118 1521.01018466327 1574.40150533616 1478.89758706311 1519.41020256028 1616.05168096488 1778.35721873687 1903.86651283742 1829.56523986425 1216.74449825227 1395.13438759369 1704.12627532666 1846.02617605816 1782.16322842259 1906.41142481208 2025.90404584885 1516.98313557213 1805.21030763412 2000.35681086049 1852.65358652801 1727.6410154039 1644.8722832179 2199.36012387274 1901.15382135235 1101.37216494998 2227.80530266479 1758.5446046094 746.090942852562 1473.48439824148
"X6" 625.223843098692 704.634569656769 1332.96680216752 1144.60295782851 1223.00074229531 1103.74121580634 607.28976309203 483.39511294865 1842.58995179037 2605.7977192561 2204.26747069059 1414.56609758716 729.901592730631 1141.26504887046 1621.41987348753 1520.85392515357 1190.32190769418 960.043382722751 589.060269586486 2559.29727368285 2831.18995442041 2450.48916926541 2022.4357175133 1388.79255316273 973.895910707787 1030.62917436235 1394.16408552092 1664.5966802854 1771.06535908809 1654.35133304981 1267.97436047324 613.466165827901 2024.64471317495 1987.91429406697 1507.1436606448 1582.63902138508 1619.36217483023 1521.79181645368 1565.6123427778 1649.82157611921 1810.49480215009 1958.30126689023 1911.49872367741 1303.91723336644 1403.06939323067 1728.72188789308 1897.2909065202 1806.48343416547 1948.21519519114 2102.18611565744 1607.88798585809 1821.74013763046 2032.42974487709 1870.92041171674 1761.45042363898 1741.62879726119 2217.81421867217 1939.35775592978 1151.62003286843 2263.00838190308 1796.44155729097 811.851519590513 1512.96129943744
"X7" 701.405694760343 776.847437671059 1386.996648041 1225.02597850902 1284.51402031462 1156.96137779007 670.749178026773 570.09173961983 1875.74470924126 2662.52530117881 2287.82563995698 1499.14138399182 813.503859383415 1189.92391684074 1674.86675530598 1585.78930840239 1252.77720319835 1021.45075593872 667.605228961796 2592.2160958819 2865.33826946798 2493.74101052292 2061.80212107403 1469.04312791268 1040.27030290928 1082.62114541012 1430.49431477153 1707.38551183028 1825.64358917837 1729.50125788955 1347.97369051891 729.710846317002 2041.40316268404 1991.04526726967 1525.31357453775 1613.18703012705 1664.71740735893 1573.79824928031 1612.59948416138 1681.51617673065 1844.76424880336 2016.41950411962 2002.58213535766 1412.21263620133 1417.73525573603 1751.2949382384 1937.48145072819 1829.85204673595 1990.2885782685 2185.28962628757 1707.82930141304 1837.20761939931 2054.06207281081 1892.58455729783 1806.33059241583 1858.42870791993 2231.12936623665 1984.32323785954 1242.03372627848 2280.99686442529 1845.9896160584 915.513075616381 1558.34821763108
"X8" 794.563117925413 861.320773390326 1471.5814167097 1334.61905576873 1354.18822866699 1224.7824998888 759.204397313196 681.049128932155 1911.99475050449 2717.28711769422 2377.68471061562 1605.55089695371 902.103642316816 1244.70255415714 1729.74812199877 1662.18954393019 1335.59550301296 1107.38526982973 766.407958233432 2600.53481196776 2868.5109836266 2504.01887098212 2080.33208163624 1544.92360677508 1119.13995902646 1146.00340725053 1470.71486727298 1754.01962453471 1882.66699135838 1811.08807667535 1446.16910359377 873.098508846153 2022.59896064324 1960.04453888309 1533.28044880025 1617.90543743459 1710.31420134247 1631.60061667848 1658.84697927013 1710.87158537944 1879.63868554288 2075.33273236742 2097.50897920529 1533.98775285096 1437.35890089275 1771.9203878578 1967.89687932723 1852.27151769194 2031.34424129435 2270.31940657913 1811.71608423487 1850.39503404749 2067.21970620947 1916.68176067727 1858.25204023027 1986.55064217836 2239.90294129269 2033.67827164891 1360.24951047049 2283.78411517264 1904.1829731565 1045.22357791224 1608.0202533467
"X9" 895.076504621306 951.152375160103 1577.04314498705 1464.72393617037 1425.26852097841 1301.1427780263 862.749902811517 804.583955905868 1948.17100004327 2768.74430897576 2470.61174145455 1727.09811141011 990.504137894224 1299.98741326499 1782.3450485567 1743.66229850783 1430.47403427267 1209.55485015571 876.730663025771 2586.39286765407 2848.90817352134 2490.39445473377 2084.53938991683 1615.72367875555 1204.3005132133 1215.0328593169 1511.88655026972 1800.98190147343 1938.85099232885 1894.04158890619 1555.19184707439 1030.87288939025 1974.52276569095 1904.80889594272 1532.36888090661 1602.01525198925 1755.99897833215 1691.88854994886 1702.82892105399 1737.62105262066 1913.59181288955 2132.15307681281 2190.97656181862 1661.61477694111 1460.17267468414 1790.67061920221 1989.82468564363 1873.74310823328 2070.09350795891 2352.38211762831 1914.46158784724 1860.08176530343 2073.85856176364 1942.25051081542 1913.19303606 2117.28572878969 2244.72695158164 2085.05584486353 1493.93483939756 2273.36557588533 1968.02569215734 1189.16061136016 1660.35731150075
"X10" 993.33453128785 1039.44583878919 1693.72799071775 1606.70569003932 1491.00097660037 1379.98990470376 971.497266957497 929.027268744109 1981.10417331953 2815.55409789092 2563.37710183209 1857.1035470091 1073.50813801069 1350.1651649862 1828.93553693828 1823.82075519266 1529.12372378549 1319.68589218918 989.84854746531 2551.90328333719 2814.70280669049 2461.91088005147 2080.92019902474 1680.72657092375 1289.55451958 1283.9726088611 1551.07091545525 1844.75544068942 1990.90984359646 1973.29278240399 1667.6852020962 1190.29398844685 1903.43116024852 1835.20666463775 1523.79345085409 1570.71321258125 1801.61740251238 1751.35380997098 1743.01641441122 1761.49468619345 1945.09618595196 2183.9900081608 2277.67996679208 1787.47238719929 1484.41234084707 1807.61552368535 2004.54226048738 1894.26690653018 2105.24490936529 2426.58070019802 2010.97754214048 1865.04291965928 2075.92679618128 1968.33097314612 1967.13504348496 2241.92770209942 2246.18872214739 2136.09125338447 1630.77434910479 2251.72104573439 2034.52831215699 1335.517942261 1713.74226160689
