"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X1" 470.4820387247 470.295862681603 470.295862681603 350.745435746524 350.745435746524 447.056291988096 450.816371180305 450.816371180305 350.745435746524 350.745435746524 350.745435746524 350.745435746524 447.056291988096 450.816371180305 450.816371180305 450.816371180305 647.739410614456 635.291963080364 635.291963080364 635.291963080364 635.291963080364 635.291963080364 653.920396931341 657.465776789923 657.465776789923 657.465776789923 580.631498918206 647.739410614456 635.291963080364 635.291963080364 635.291963080364 635.291963080364 635.291963080364 653.920396931341 657.465776789923 657.465776789923 657.465776789923 657.465776789923 635.291963080364 635.291963080364 635.291963080364 635.291963080364 635.291963080364 653.920396931341 657.465776789923 657.465776789923 657.465776789923 657.465776789923 657.465776789923 635.291963080364 635.291963080364 653.920396931341 657.465776789923 657.465776789923 657.465776789923 657.465776789923 657.465776789923
"X2" 432.406724813938 432.492179459306 432.492179459306 361.454871483016 361.454871483016 441.192151758929 439.488809137315 439.488809137315 361.454871483016 361.454871483016 361.454871483016 361.454871483016 441.192151758929 439.488809137315 439.488809137315 439.488809137315 589.223050730636 596.745938163009 596.745938163009 596.745938163009 596.745938163009 596.745938163009 604.000298464785 602.22710589782 602.22710589782 602.22710589782 524.489567734179 589.223050730636 596.745938163009 596.745938163009 596.745938163009 596.745938163009 596.745938163009 604.000298464785 602.22710589782 602.22710589782 602.22710589782 602.22710589782 596.745938163009 596.745938163009 596.745938163009 596.745938163009 596.745938163009 604.000298464785 602.22710589782 602.22710589782 602.22710589782 602.22710589782 602.22710589782 596.745938163009 596.745938163009 604.000298464785 602.22710589782 602.22710589782 602.22710589782 602.22710589782 602.22710589782
"X3" 402.563244964066 402.908537038152 402.908537038152 379.948928917098 379.948928917098 442.312462043894 435.382614510282 435.382614510282 379.948928917098 379.948928917098 379.948928917098 379.948928917098 442.312462043894 435.382614510282 435.382614510282 435.382614510282 536.803503945713 563.182463846099 563.182463846099 563.182463846099 563.182463846099 563.182463846099 560.708804056632 553.872075448586 553.872075448586 553.872075448586 476.180108891552 536.803503945713 563.182463846099 563.182463846099 563.182463846099 563.182463846099 563.182463846099 560.708804056632 553.872075448586 553.872075448586 553.872075448586 553.872075448586 563.182463846099 563.182463846099 563.182463846099 563.182463846099 563.182463846099 560.708804056632 553.872075448586 553.872075448586 553.872075448586 553.872075448586 553.872075448586 563.182463846099 563.182463846099 560.708804056632 553.872075448586 553.872075448586 553.872075448586 553.872075448586 553.872075448586
"X4" 391.832153265451 392.397427855939 392.397427855939 412.211133966173 412.211133966173 458.03886361237 446.688408538403 446.688408538403 412.211133966173 412.211133966173 412.211133966173 412.211133966173 458.03886361237 446.688408538403 446.688408538403 446.688408538403 499.463704506279 541.696963057038 541.696963057038 541.696963057038 541.696963057038 541.696963057038 533.674883047162 522.562233802578 522.562233802578 522.562233802578 445.900812653589 499.463704506279 541.696963057038 541.696963057038 541.696963057038 541.696963057038 541.696963057038 533.674883047162 522.562233802578 522.562233802578 522.562233802578 522.562233802578 541.696963057038 541.696963057038 541.696963057038 541.696963057038 541.696963057038 533.674883047162 522.562233802578 522.562233802578 522.562233802578 522.562233802578 522.562233802578 541.696963057038 541.696963057038 533.674883047162 522.562233802578 522.562233802578 522.562233802578 522.562233802578 522.562233802578
"X5" 406.669555004919 407.392903148935 407.392903148935 459.950050178959 459.950050178959 492.206947365859 477.687742923033 477.687742923033 459.950050178959 459.950050178959 459.950050178959 459.950050178959 492.206947365859 477.687742923033 477.687742923033 477.687742923033 483.153436505625 536.791439410043 536.791439410043 536.791439410043 536.791439410043 536.791439410043 529.150117627601 514.966838448907 514.966838448907 514.966838448907 439.59114546204 483.153436505625 536.791439410043 536.791439410043 536.791439410043 536.791439410043 536.791439410043 529.150117627601 514.966838448907 514.966838448907 514.966838448907 514.966838448907 536.791439410043 536.791439410043 536.791439410043 536.791439410043 536.791439410043 529.150117627601 514.966838448907 514.966838448907 514.966838448907 514.966838448907 514.966838448907 536.791439410043 536.791439410043 529.150117627601 514.966838448907 514.966838448907 514.966838448907 514.966838448907 514.966838448907
"X6" 450.036048318687 450.840850022491 450.840850022491 522.550172318884 522.550172318884 545.996360763359 529.857123497328 529.857123497328 522.550172318884 522.550172318884 522.550172318884 522.550172318884 545.996360763359 529.857123497328 529.857123497328 529.857123497328 491.189290531516 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.472637428908 534.701776589224 534.701776589224 534.701776589224 460.065371342886 491.189290531516 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.472637428908 534.701776589224 534.701776589224 534.701776589224 534.701776589224 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.832412707787 550.472637428908 534.701776589224 534.701776589224 534.701776589224 534.701776589224 534.701776589224 550.832412707787 550.832412707787 550.472637428908 534.701776589224 534.701776589224 534.701776589224 534.701776589224 534.701776589224
"X7" 515.50050536787 516.317857803738 516.317857803738 594.282946760917 594.282946760917 613.800180754133 597.431979505336 597.431979505336 594.282946760917 594.282946760917 594.282946760917 594.282946760917 613.800180754133 597.431979505336 597.431979505336 597.431979505336 519.577236827119 580.368938403423 580.368938403423 580.368938403423 580.368938403423 580.368938403423 592.898807643585 576.873957200636 576.873957200636 576.873957200636 502.029750680347 519.577236827119 580.368938403423 580.368938403423 580.368938403423 580.368938403423 580.368938403423 592.898807643585 576.873957200636 576.873957200636 576.873957200636 576.873957200636 580.368938403423 580.368938403423 580.368938403423 580.368938403423 580.368938403423 592.898807643585 576.873957200636 576.873957200636 576.873957200636 576.873957200636 576.873957200636 580.368938403423 580.368938403423 592.898807643585 576.873957200636 576.873957200636 576.873957200636 576.873957200636 576.873957200636
"X8" 594.30078940122 595.075057154658 595.075057154658 668.147575521071 668.147575521071 688.325082957765 672.848857522476 672.848857522476 668.147575521071 668.147575521071 668.147575521071 668.147575521071 688.325082957765 672.848857522476 672.848857522476 672.848857522476 562.511976126503 620.508056845608 620.508056845608 620.508056845608 620.508056845608 620.508056845608 649.681254539972 634.480851497342 634.480851497342 634.480851497342 558.180296276051 562.511976126503 620.508056845608 620.508056845608 620.508056845608 620.508056845608 620.508056845608 649.681254539972 634.480851497342 634.480851497342 634.480851497342 634.480851497342 620.508056845608 620.508056845608 620.508056845608 620.508056845608 620.508056845608 649.681254539972 634.480851497342 634.480851497342 634.480851497342 634.480851497342 634.480851497342 620.508056845608 620.508056845608 649.681254539972 634.480851497342 634.480851497342 634.480851497342 634.480851497342 634.480851497342
"X9" 677.689631101992 678.37838299022 678.37838299022 737.145396379667 737.145396379667 762.285105307519 748.552937976837 748.552937976837 737.145396379667 737.145396379667 737.145396379667 737.145396379667 762.285105307519 748.552937976837 748.552937976837 748.552937976837 614.204837397422 666.36891613343 666.36891613343 666.36891613343 666.36891613343 666.36891613343 714.088853587388 700.537411619879 700.537411619879 700.537411619879 621.228911242585 614.204837397422 666.36891613343 666.36891613343 666.36891613343 666.36891613343 666.36891613343 714.088853587388 700.537411619879 700.537411619879 700.537411619879 700.537411619879 666.36891613343 666.36891613343 666.36891613343 666.36891613343 666.36891613343 714.088853587388 700.537411619879 700.537411619879 700.537411619879 700.537411619879 700.537411619879 666.36891613343 666.36891613343 714.088853587388 700.537411619879 700.537411619879 700.537411619879 700.537411619879 700.537411619879
"X10" 756.924689307564 757.498650180212 757.498650180212 794.271920914855 794.271920914855 828.393366405614 816.989448456394 816.989448456394 794.271920914855 794.271920914855 794.271920914855 794.271920914855 828.393366405614 816.989448456394 816.989448456394 816.989448456394 668.87720133362 713.077227598766 713.077227598766 713.077227598766 713.077227598766 713.077227598766 779.399081950185 768.068134845629 768.068134845629 768.068134845629 683.895105047827 668.87720133362 713.077227598766 713.077227598766 713.077227598766 713.077227598766 713.077227598766 779.399081950185 768.068134845629 768.068134845629 768.068134845629 768.068134845629 713.077227598766 713.077227598766 713.077227598766 713.077227598766 713.077227598766 779.399081950185 768.068134845629 768.068134845629 768.068134845629 768.068134845629 768.068134845629 713.077227598766 713.077227598766 779.399081950185 768.068134845629 768.068134845629 768.068134845629 768.068134845629 768.068134845629
