"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131"
"X1" 2363.95734904881 2077.35749182145 2363.21832354495 2056.61741508674 2019.65911396994 2240.2695497298 2124.50962866639 2055.41239007966 2025.92412446927 2238.37703772396 2246.08494242675 2243.26285435853 2296.17535536161 2276.96887767538 2373.59187759674 2376.51738260283 2176.27512123941 2264.04029228264 2242.47894120563 2295.44648817035 2282.49183577921 2384.92836725844 2381.20812036636 2174.40886235947 2176.27512123941 2264.04029228264 2267.02783261867 2329.20879510847 2319.27386854251 2212.15017496479 2210.07144250203 2167.29561028464 2164.98144175449 2289.23054825056 2270.81318776481 2334.27816392896 2329.03081071661 2221.05492930333 2217.21810585338 2065.13674628873 2167.29561028464 2164.98144175449 2289.23054825056 2290.14633419435 2184.80262161907 2183.78412128204 2017.63603747729 2014.84136108856 2084.64512882077 2072.57480991844 2338.90199586676 2336.88326376221 2326.94410241848 2290.90949151638 2184.02160357933 2188.82644849286 2021.92096880273 2022.12029426094 1891.04716480903 2084.64512882077 2072.57480991844 2338.90199586676 2336.88326376221 2326.94410241848 2330.06377452973 2189.67751893831 2198.15658328847 2000.96735168035 2001.17301277078 1918.82478422407 2497.2634636474 2497.2634636474 2719.62396736055 2719.62396736055 2460.55532765982 2460.55532765982 2186.62486228343 2186.62486228343 2000.05733129788 2000.05733129788 1913.72488235141 1918.82478422407 1918.82478422407 2497.2634636474 2497.2634636474 2719.62396736055 2719.62396736055 2460.55532765982 2460.55532765982 2308.0613963489 2308.0613963489 2009.04329293901 2009.04329293901 1933.77548673686 2770.42429386891 2770.42429386891 2879.97717300408 2879.97717300408 2728.03954568023 2728.03954568023 2286.75921583574 2286.75921583574 2018.73389115072 2018.73389115072 1933.49832883882 2879.97717300408 2879.97717300408 2728.03954568023 2728.03954568023 2534.74935563737 2534.74935563737 2211.55153593222 2211.55153593222 2052.9676442868 2659.1538741398 2659.1538741398 2543.62603253207 2543.62603253207 2198.7181602063 2198.7181602063 2052.44349619115 2461.1976404223 2461.1976404223 2312.43248095383 2312.43248095383 2181.23269430124 2181.23269430124 2314.2749890611 2314.2749890611 2173.63741680106 2195.69313412476
"X2" 2252.19668430493 1976.59924198861 2250.82686197173 1912.28903994547 1936.01976504272 2165.47991960647 1909.0791855883 1916.64938247161 1928.04956329816 2152.14899021815 2013.34310309696 2014.92783462437 2077.90320367451 2095.50536555339 2260.417220118 2262.66600751317 1949.06764596288 2034.58639076988 2015.36805290842 2078.32680052127 2085.36205667377 2251.82036206532 2254.26416970131 1944.17548315155 1949.06764596288 2034.58639076988 2043.25322751922 2093.75051006366 2103.32595533794 2093.5526583926 2096.6741964902 1915.86074500657 1917.05161256864 2042.79808627769 2035.86993306605 2082.13293733883 2084.91425496534 2083.09047867861 2086.58388523321 1828.18313186877 1915.86074500657 1917.05161256864 2042.79808627769 2042.30213397881 1968.56185275146 1965.57529888733 1895.56223937697 1899.26541942265 1840.18984324373 1845.44817816165 2035.80692373875 2036.77877827343 2065.58661595781 2041.88886181676 1967.97625246254 1954.39122613311 1889.02542118223 1888.83171877285 1725.93218022018 1840.18984324373 1845.44817816165 2035.80692373875 2036.77877827343 2065.58661595781 2063.95335046048 1980.57662072517 1975.31327104948 1853.38244326474 1853.1713544607 1725.06272546053 2210.90831114228 2210.90831114228 2350.40006649466 2350.40006649466 2213.3515874739 2213.3515874739 1982.48307055998 1982.48307055998 1868.1660450923 1868.1660450923 1820.05776519679 1725.06272546053 1725.06272546053 2210.90831114228 2210.90831114228 2350.40006649466 2350.40006649466 2213.3515874739 2213.3515874739 2110.4303589427 2110.4303589427 1893.50651480947 1893.50651480947 1839.65420904616 2477.56481789289 2477.56481789289 2569.65990970268 2569.65990970268 2478.01179449725 2478.01179449725 2121.07836761349 2121.07836761349 1909.37021042446 1909.37021042446 1839.79876985823 2569.65990970268 2569.65990970268 2478.01179449725 2478.01179449725 2336.51418271925 2336.51418271925 2073.70283176146 2073.70283176146 1905.92128494664 2424.7248088485 2424.7248088485 2341.87978716785 2341.87978716785 2084.06124794053 2084.06124794053 1918.5115344625 2309.83250747458 2309.83250747458 2180.66417689197 2180.66417689197 2029.732328191 2029.732328191 2180.86216550159 2180.86216550159 2037.52141136667 2065.96485271108
"X3" 2142.03784574316 1876.9139804872 2139.97791079965 1772.18293769633 1852.84713492504 2090.56682424554 1704.56036582967 1781.70639786319 1831.4374145751 2066.38039735946 1792.91416774521 1798.67708114213 1870.05218556553 1922.83753757506 2148.64121672631 2150.24526979466 1734.25937306283 1816.95393374918 1800.27790216232 1871.56533197889 1897.2933511428 2121.14092659313 2129.42748846754 1726.71165488477 1734.25937306283 1816.95393374918 1830.60613288861 1870.10245707094 1898.02729586065 1976.45465101679 1984.50297837772 1678.14997093497 1682.6773440332 1808.62732938629 1812.97946470747 1842.98604617424 1853.38422381968 1947.66780574619 1958.09774177113 1604.07993078458 1678.14997093497 1682.6773440332 1808.62732938629 1806.79458934957 1763.21161240905 1758.29895020593 1775.27734984047 1785.12783156582 1607.74275877351 1629.23192701061 1749.351009214 1753.15033730055 1817.56987370226 1805.26731808965 1762.67279426625 1731.96423924779 1758.52589071918 1757.96066984669 1565.78040766027 1607.74275877351 1629.23192701061 1749.351009214 1753.15033730055 1817.56987370226 1811.43279195086 1781.0439656104 1762.77652684736 1709.66576573097 1709.06136148078 1538.67636499423 1938.78208768323 1938.78208768323 2002.40369555781 2002.40369555781 1977.12139437835 1977.12139437835 1787.6429953141 1787.6429953141 1739.17003679042 1739.17003679042 1727.99751432509 1538.67636499423 1538.67636499423 1938.78208768323 1938.78208768323 2002.40369555781 2002.40369555781 1977.12139437835 1977.12139437835 1920.68944812063 1920.68944812063 1780.45464528763 1780.45464528763 1747.31790975092 2202.63145023537 2202.63145023537 2278.28106764992 2278.28106764992 2241.27693197581 2241.27693197581 1961.33396441145 1961.33396441145 1802.36766797572 1802.36766797572 1747.86571023043 2278.28106764992 2278.28106764992 2241.27693197581 2241.27693197581 2146.89939297675 2146.89939297675 1940.62974509894 1940.62974509894 1763.71146922114 2203.75106833815 2203.75106833815 2149.3215609186 2149.3215609186 1972.89990730957 1972.89990730957 1788.83937633054 2164.8301396509 2164.8301396509 2053.43215211711 2053.43215211711 1883.15103401294 1883.15103401294 2052.10611268744 2052.10611268744 1905.44764010696 1939.77493239575
"X4" 2040.79006517713 1784.84851926732 2037.93526336682 1648.38547152696 1776.51809346314 2019.65121598329 1530.10810925721 1662.10378122652 1743.77521264292 1986.20972682864 1606.69003042103 1615.96774234955 1692.7810210781 1775.78006075351 2045.05835610558 2046.10259540658 1552.10986467375 1632.13493109551 1618.54487639923 1695.20810618175 1736.30647904397 2001.44688154734 2014.70703838539 1542.61313208821 1552.10986467375 1632.13493109551 1649.42653131695 1679.40922627775 1722.56940546707 1868.18312419597 1880.42189444284 1476.38556927699 1483.72705853391 1608.50476633422 1623.44007890867 1639.70651635997 1656.51657856638 1823.85777027598 1840.1700271591 1413.41361588421 1476.38556927699 1483.72705853391 1608.50476633422 1605.54960925112 1587.97690348123 1581.26303852106 1664.34735566663 1679.4074898751 1407.76708843017 1442.67217056811 1505.83686983205 1512.00172992574 1605.69592171844 1603.08695855286 1587.18504611487 1542.52695473667 1638.98225957955 1638.10286475534 1422.11789944576 1407.76708843017 1442.67217056811 1505.83686983205 1512.00172992574 1605.69592171844 1595.77628358491 1608.66998104586 1579.47073711717 1580.25724003242 1579.32188887653 1373.70858819992 1704.92924380624 1704.92924380624 1708.53645747857 1708.53645747857 1772.86536418243 1772.86536418243 1619.21399879389 1619.21399879389 1621.99151739704 1621.99151739704 1642.20371535012 1373.70858819992 1373.70858819992 1704.92924380624 1704.92924380624 1708.53645747857 1708.53645747857 1772.86536418243 1772.86536418243 1755.07838403015 1755.07838403015 1678.4759677872 1678.4759677872 1662.0497048515 1976.23692005386 1976.23692005386 2036.87564204713 2036.87564204713 2041.05947222462 2041.05947222462 1820.75890980011 1820.75890980011 1705.88203399286 1705.88203399286 1662.94724739317 2036.87564204713 2036.87564204713 2041.05947222462 2041.05947222462 1982.88404346898 1982.88404346898 1823.866216341 1823.866216341 1636.92655553349 2019.35298598774 2019.35298598774 1983.51694119352 1983.51694119352 1874.67552585183 1874.67552585183 1672.95309949924 2039.24421833288 2039.24421833288 1941.6916142298 1941.6916142298 1752.6965607163 1752.6965607163 1939.11203609179 1939.11203609179 1787.19775358403 1826.24804266196
"X5" 1954.56369357353 1705.69352504179 1950.78172240848 1550.20220020675 1712.01895046288 1956.21729750203 1399.22731251816 1566.73735605899 1671.06455213747 1915.9333607814 1470.2173610008 1482.00969299058 1560.76592687429 1666.26882622848 1955.31645679243 1955.91910147017 1416.48966435542 1495.09440009512 1485.28530148669 1563.84465356995 1615.53649008006 1899.77542471263 1916.70917766317 1405.96212426345 1416.48966435542 1495.09440009512 1514.27169780934 1536.92193247966 1590.72576500408 1774.80494858636 1790.13416039887 1326.09169494905 1335.44962749115 1458.23846999231 1482.43282411343 1488.8017684818 1510.20372761927 1719.08749504599 1739.71265608566 1270.58061577981 1326.09169494905 1335.44962749115 1458.23846999231 1454.48275987301 1456.60335307163 1448.29214591107 1568.97936367542 1587.85384310033 1255.08263243078 1299.31579265711 1324.04924243719 1331.88946884922 1446.57410048726 1451.35293698072 1455.17508790144 1401.14424070548 1537.3687099995 1536.2602568463 1303.95372187622 1255.08263243078 1299.31579265711 1324.04924243719 1331.88946884922 1446.57410048726 1433.95725533561 1476.46272246255 1439.43646329104 1473.56085316213 1472.38704273143 1241.31949294609 1527.23267759755 1527.23267759755 1492.46995101882 1492.46995101882 1616.61069664554 1616.61069664554 1489.83172138484 1489.83172138484 1523.87258576069 1523.87258576069 1566.70153884765 1241.31949294609 1241.31949294609 1527.23267759755 1527.23267759755 1492.46995101882 1492.46995101882 1616.61069664554 1616.61069664554 1626.14005812083 1626.14005812083 1594.64984985325 1594.64984985325 1588.41041091304 1819.16620922229 1819.16620922229 1867.15543679807 1867.15543679807 1894.51898032145 1894.51898032145 1709.63084054041 1709.63084054041 1626.54695579856 1626.54695579856 1589.57587142517 1867.15543679807 1867.15543679807 1894.51898032145 1894.51898032145 1857.47834628838 1857.47834628838 1732.56588750468 1732.56588750468 1534.19727925688 1887.60597877022 1887.60597877022 1857.78101250509 1857.78101250509 1796.91843042174 1796.91843042174 1578.62447544225 1942.7956940199 1942.7956940199 1854.05379527221 1854.05379527221 1647.43020154905 1647.43020154905 1850.59613670282 1850.59613670282 1690.73540177983 1732.83934019957
"X6" 1887.73071810672 1643.23142045833 1882.88043128138 1483.87099061058 1662.79005017984 1902.80774519423 1320.29194958054 1501.59052842586 1617.41729416689 1858.64717797266 1393.12476129159 1406.20944571646 1483.30009126838 1601.70532436784 1883.45545804818 1883.75426407851 1335.78065823464 1415.13460442576 1409.84400437357 1486.71133866195 1543.31571685655 1821.10131829296 1840.11952609371 1325.2514181433 1335.78065823464 1415.13460442576 1434.23185253627 1452.24062023838 1511.14257172568 1700.67333459642 1717.74894694215 1236.79367373576 1247.18807865786 1367.82388018117 1399.40667461369 1400.6540848545 1424.42203989691 1638.61692762326 1661.64225024749 1184.43084203947 1236.79367373576 1247.18807865786 1367.82388018117 1363.66008096021 1377.70719415072 1368.06675173025 1493.63220191717 1514.62083419913 1159.11137971759 1207.7770163402 1215.73602043898 1224.41272903103 1350.75392020824 1360.19013589193 1375.2272787218 1317.28130344595 1458.65068791273 1457.41669473233 1217.46841238082 1159.11137971759 1207.7770163402 1215.73602043898 1224.41272903103 1350.75392020824 1336.76441933908 1392.82890171643 1351.76060875392 1395.46798080911 1394.16806553064 1149.16595061184 1417.25799423908 1417.25799423908 1369.02944097038 1369.02944097038 1518.94094241638 1518.94094241638 1407.65750398495 1407.65750398495 1449.94677713596 1449.94677713596 1504.51203029422 1149.16595061184 1149.16595061184 1417.25799423908 1417.25799423908 1369.02944097038 1369.02944097038 1518.94094241638 1518.94094241638 1542.27604299902 1542.27604299902 1534.02256423549 1534.02256423549 1529.79577170701 1743.71955167462 1743.71955167462 1782.28383335576 1782.28383335576 1812.57481237585 1812.57481237585 1634.89008602882 1634.89008602882 1569.05923961165 1569.05923961165 1531.12777832071 1782.28383335576 1782.28383335576 1812.57481237585 1812.57481237585 1779.29357838591 1779.29357838591 1672.99393386961 1672.99393386961 1461.58887050007 1818.24017262733 1818.24017262733 1780.83905200999 1780.83905200999 1744.81741425178 1744.81741425178 1511.32462665024 1881.79865588063 1881.79865588063 1796.36471004523 1796.36471004523 1573.66032837646 1573.66032837646 1792.46815021235 1792.46815021235 1621.64639607247 1664.79706149237
"X7" 1839.18507686497 1596.69522170146 1833.17254292829 1446.51861312115 1627.68906798727 1858.99779397152 1287.27154547605 1463.98553580066 1581.32398517582 1813.68309068348 1368.26569542236 1381.54541926015 1454.17282761165 1576.65750088145 1828.48408832951 1828.60178425501 1303.25315952043 1385.46833683544 1385.23411759289 1457.63057941104 1514.14109369604 1763.98027077341 1783.6366597816 1293.58914748921 1303.25315952043 1385.46833683544 1402.83582235719 1418.80888122053 1477.87093380934 1644.8170939693 1662.41532224537 1201.24810476443 1211.79864108747 1330.56435734112 1367.54092652703 1368.10759473267 1392.24266916942 1581.00662826603 1604.6972644516 1148.30802240948 1201.24810476443 1211.79864108747 1330.56435734112 1326.34426739199 1345.35769771989 1334.66924259218 1437.40145888688 1458.96218018883 1113.86347066126 1162.62616415269 1172.67792196004 1181.4417450527 1311.34884497607 1322.827367216 1341.51631099153 1284.4635929113 1401.64619591544 1400.38029696542 1160.41149570965 1113.86347066126 1162.62616415269 1172.67792196004 1181.4417450527 1311.34884497607 1297.17380563743 1352.8426323982 1311.13185669764 1344.21272796806 1342.88795362794 1094.23833942333 1368.14005859819 1368.14005859819 1327.73196320335 1327.73196320335 1474.27382961167 1474.27382961167 1367.90439855389 1367.90439855389 1398.90449929325 1398.90449929325 1455.45636723837 1094.23833942333 1094.23833942333 1368.14005859819 1368.14005859819 1327.73196320335 1327.73196320335 1474.27382961167 1474.27382961167 1499.52514513751 1499.52514513751 1495.32872284168 1495.32872284168 1485.87126909021 1738.76913974661 1738.76913974661 1771.3058074897 1771.3058074897 1787.90214302804 1787.90214302804 1593.50081194768 1593.50081194768 1532.17767818741 1532.17767818741 1487.2761151863 1771.3058074897 1771.3058074897 1787.90214302804 1787.90214302804 1743.83419399613 1743.83419399613 1642.62684484611 1642.62684484611 1417.23292442792 1803.20136846979 1803.20136846979 1747.83177004809 1747.83177004809 1716.42544895685 1716.42544895685 1469.41057742973 1852.64577585032 1852.64577585032 1766.11166578722 1766.11166578722 1529.21742288046 1529.21742288046 1762.16265379598 1762.16265379598 1578.16659698322 1620.53472060582
"X8" 1806.46702486831 1564.19444481263 1799.259478813 1433.01867869315 1604.44029978358 1823.62930282142 1290.57262244377 1449.10275481425 1559.88499667706 1779.44280087581 1384.34319269048 1396.93144705473 1463.33777781388 1582.51775347636 1788.16793630228 1788.20368345319 1308.43940139103 1395.32782184816 1400.42803508441 1466.61136686959 1519.08664527042 1725.38180834758 1744.47976089615 1300.27779734302 1308.43940139103 1395.32782184816 1409.76255878571 1426.07384349705 1481.35175004179 1604.94982670769 1622.05718880465 1208.06398132434 1218.05969042538 1335.63456163165 1375.98992590792 1379.6681160628 1402.55503265394 1543.16204253132 1566.08988984568 1151.72088795916 1208.06398132434 1218.05969042538 1335.63456163165 1331.64178921779 1350.02591290147 1338.57126858977 1398.05851367638 1418.92185002763 1109.53873506216 1154.96164938945 1181.71832763566 1189.96835343514 1317.16036481587 1328.31427980926 1344.65276627312 1292.2738793611 1363.65514753973 1362.4340996727 1128.44992349491 1109.53873506216 1154.96164938945 1181.71832763566 1189.96835343514 1317.16036481587 1303.75629497527 1348.28136559106 1308.67865059671 1316.13785793781 1314.87070230907 1070.89214335332 1368.45730829236 1368.45730829236 1351.83597984104 1351.83597984104 1473.03033480944 1473.03033480944 1362.58385141804 1362.58385141804 1367.84505637091 1367.84505637091 1418.5672312437 1070.89214335332 1070.89214335332 1368.45730829236 1368.45730829236 1351.83597984104 1351.83597984104 1473.03033480944 1473.03033480944 1490.87025143383 1490.87025143383 1475.7439514647 1475.7439514647 1455.38261827015 1787.38798539262 1787.38798539262 1817.29756461542 1817.29756461542 1808.66287949387 1808.66287949387 1579.96146728275 1579.96146728275 1513.19432456469 1513.19432456469 1456.78098640129 1817.29756461542 1817.29756461542 1808.66287949387 1808.66287949387 1743.36395103905 1743.36395103905 1636.76878491688 1636.76878491688 1397.30177279487 1830.03395238628 1830.03395238628 1750.54066659067 1750.54066659067 1708.03179660285 1708.03179660285 1449.48253882114 1849.27614960922 1849.27614960922 1758.7156057639 1758.7156057639 1509.83750867595 1509.83750867595 1755.01906526285 1755.01906526285 1556.71628542426 1596.77751597977
"X9" 1787.13545842471 1543.85514662147 1778.7612703776 1438.27272887696 1590.78220621162 1795.55424685271 1320.64363797823 1452.14919803288 1550.21809684699 1754.34076624611 1430.10765019338 1441.3277136928 1500.79297485414 1610.71431382671 1760.28989763837 1760.31940346566 1340.9150795526 1433.9910624964 1444.44421955005 1503.70681843143 1549.26601387626 1702.29722958764 1719.88840276809 1334.66404499153 1340.9150795526 1433.9910624964 1444.73542208833 1463.52970165717 1512.06846498627 1578.80400199394 1594.616147905 1245.89922334791 1254.79771604756 1372.25817972933 1413.95461044137 1423.89243410306 1444.29766339613 1522.01184404472 1543.05389783255 1184.22388367555 1245.89922334791 1254.79771604756 1372.25817972933 1368.70846797132 1382.2254002952 1370.28734357735 1373.39460304009 1392.56220611891 1136.38472513013 1175.92566147674 1229.76102094469 1237.04410699317 1357.04225082319 1365.75014482394 1375.28957539456 1330.34160265408 1341.99976369899 1340.88353482494 1117.28000297855 1136.38472513013 1175.92566147674 1229.76102094469 1237.04410699317 1357.04225082319 1345.13614395836 1370.9634825719 1335.5735239847 1307.61314995685 1306.46741774944 1073.51968407692 1406.84581003829 1406.84581003829 1424.67574114694 1424.67574114694 1505.68197947573 1505.68197947573 1383.74709885114 1383.74709885114 1353.89108124235 1353.89108124235 1392.89151124482 1073.51968407692 1073.51968407692 1406.84581003829 1406.84581003829 1424.67574114694 1424.67574114694 1505.68197947573 1505.68197947573 1509.33391819086 1509.33391819086 1472.46627970949 1472.46627970949 1437.09123628281 1872.71076569396 1872.71076569396 1903.40089532435 1903.40089532435 1863.0716241564 1863.0716241564 1588.80299036009 1588.80299036009 1509.42221143419 1509.42221143419 1438.41810634259 1903.40089532435 1903.40089532435 1863.0716241564 1863.0716241564 1770.18729743027 1770.18729743027 1650.75251442316 1650.75251442316 1397.99615719205 1886.33044041372 1886.33044041372 1780.78874127195 1780.78874127195 1715.94911297881 1715.94911297881 1448.16630227776 1865.65888155514 1865.65888155514 1769.62416093082 1769.62416093082 1511.28578836135 1511.28578836135 1766.40383826438 1766.40383826438 1553.7414246417 1590.27456023544
"X10" 1778.76516098718 1533.81781622738 1769.31387454968 1457.20446764069 1584.46487174527 1773.63343309671 1367.96414200359 1468.35309333042 1549.4552039743 1736.80241869994 1494.34406468223 1503.7282250461 1556.56949632907 1652.70152475822 1742.64767529165 1742.72328006721 1390.28751384763 1490.76967092611 1506.33473876291 1559.00289396411 1595.82238116368 1691.73620587459 1707.11943254579 1386.12666034332 1390.28751384763 1490.76967092611 1497.51051975376 1520.70579135909 1560.5362678579 1564.12840247531 1578.04918164643 1303.44779487191 1310.87462987046 1429.69569172619 1470.67025089066 1489.37530965646 1506.44565204525 1514.50446501959 1532.84151742278 1235.40530345078 1303.44779487191 1310.87462987046 1429.69569172619 1426.7371664795 1432.50145968804 1420.36407411131 1361.21833047929 1377.96182161921 1184.68564390498 1216.69411149284 1303.75530947169 1309.76556397482 1419.88789649327 1424.27148128057 1424.11140501221 1388.33109478368 1334.02154852828 1333.05338699082 1122.62252094173 1184.68564390498 1216.69411149284 1303.75530947169 1309.76556397482 1419.88789649327 1409.97806569636 1412.7390064557 1383.02307835171 1315.03128887293 1314.05218545582 1096.54375448651 1471.98635463563 1471.98635463563 1529.64234736476 1529.64234736476 1562.74001694755 1562.74001694755 1423.47614326651 1423.47614326651 1354.1852812994 1354.1852812994 1377.48922506968 1096.54375448651 1096.54375448651 1471.98635463563 1471.98635463563 1529.64234736476 1529.64234736476 1562.74001694755 1562.74001694755 1547.97045629098 1547.97045629098 1482.71297479224 1482.71297479224 1429.77284058364 1977.91467892188 1977.91467892188 2012.80402913772 2012.80402913772 1939.3822936712 1939.3822936712 1614.58260946717 1614.58260946717 1518.1923152192 1518.1923152192 1430.97741421833 2012.80402913772 2012.80402913772 1939.3822936712 1939.3822936712 1816.64063936889 1816.64063936889 1679.93410119924 1679.93410119924 1415.54091866045 1959.71739179672 1959.71739179672 1830.43121389433 1830.43121389433 1736.50927336593 1736.50927336593 1462.10941224637 1895.78624598846 1895.78624598846 1794.30649232386 1794.30649232386 1529.35184150224 1529.35184150224 1791.70521222289 1791.70521222289 1565.7096321783 1597.79519753511
