"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131"
"X1" 770.449875572782 770.449875572782 770.449875572782 770.449875572782 770.449875572782 770.449875572782 786.178989906141 786.178989906141 786.178989906141 786.178989906141 738.227661908128 733.498727821338 733.498727821338 733.498727821338 733.498727821338 733.498727821338 685.128350679913 738.227661908128 733.498727821338 733.498727821338 733.498727821338 733.498727821338 733.498727821338 685.128350679913 685.128350679913 738.227661908128 733.498727821338 733.498727821338 733.498727821338 733.498727821338 733.498727821338 685.128350679913 685.128350679913 738.227661908128 733.498727821338 733.498727821338 733.498727821338 733.498727821338 733.498727821338 685.128350679913 685.128350679913 685.128350679913 738.227661908128 733.498727821338 733.498727821338 733.498727821338 733.498727821338 733.498727821338 718.075273889092 718.075273889092 718.075273889092 718.075273889092 725.820930871599 744.433258194602 744.433258194602 744.433258194602 744.433258194602 744.433258194602 718.075273889092 718.075273889092 718.075273889092 718.075273889092 718.075273889092 725.820930871599 732.525096493643 732.525096493643 732.525096493643 732.525096493643 732.525096493643 725.126580917238 718.075273889092 718.075273889092 718.075273889092 718.075273889092 725.820930871599 725.820930871599 732.525096493643 732.525096493643 732.525096493643 732.525096493643 526.401543951367 725.126580917238 725.126580917238 718.075273889092 718.075273889092 718.075273889092 718.075273889092 725.820930871599 725.820930871599 732.525096493643 732.525096493643 732.525096493643 732.525096493643 526.401543951367 718.075273889092 718.075273889092 718.075273889092 718.075273889092 725.820930871599 725.820930871599 732.525096493643 732.525096493643 732.525096493643 732.525096493643 526.401543951367 718.075273889092 718.075273889092 725.820930871599 725.820930871599 732.525096493643 732.525096493643 732.525096493643 732.525096493643 526.401543951367 726.58795048433 726.58795048433 733.826939612568 733.826939612568 733.826939612568 733.826939612568 527.686110110131 733.614804119994 733.614804119994 733.614804119994 733.614804119994 513.956223767409 513.956223767409 733.614804119994 733.614804119994 513.956223767409 513.956223767409
"X2" 697.658828483885 697.658828483885 697.658828483885 697.658828483885 697.658828483885 697.658828483885 678.83497515136 678.83497515136 678.83497515136 678.83497515136 637.033252225177 639.128012305234 639.128012305234 639.128012305234 639.128012305234 639.128012305234 588.191051800563 637.033252225177 639.128012305234 639.128012305234 639.128012305234 639.128012305234 639.128012305234 588.191051800563 588.191051800563 637.033252225177 639.128012305234 639.128012305234 639.128012305234 639.128012305234 639.128012305234 588.191051800563 588.191051800563 637.033252225177 639.128012305234 639.128012305234 639.128012305234 639.128012305234 639.128012305234 588.191051800563 588.191051800563 588.191051800563 637.033252225177 639.128012305234 639.128012305234 639.128012305234 639.128012305234 639.128012305234 613.102750697829 613.102750697829 613.102750697829 613.102750697829 627.123486939787 633.457824500868 633.457824500868 633.457824500868 633.457824500868 633.457824500868 613.102750697829 613.102750697829 613.102750697829 613.102750697829 613.102750697829 627.123486939787 624.049516359245 624.049516359245 624.049516359245 624.049516359245 624.049516359245 610.019418075433 613.102750697829 613.102750697829 613.102750697829 613.102750697829 627.123486939787 627.123486939787 624.049516359245 624.049516359245 624.049516359245 624.049516359245 473.152035469725 610.019418075433 610.019418075433 613.102750697829 613.102750697829 613.102750697829 613.102750697829 627.123486939787 627.123486939787 624.049516359245 624.049516359245 624.049516359245 624.049516359245 473.152035469725 613.102750697829 613.102750697829 613.102750697829 613.102750697829 627.123486939787 627.123486939787 624.049516359245 624.049516359245 624.049516359245 624.049516359245 473.152035469725 613.102750697829 613.102750697829 627.123486939787 627.123486939787 624.049516359245 624.049516359245 624.049516359245 624.049516359245 473.152035469725 626.867270507613 626.867270507613 623.451507869133 623.451507869133 623.451507869133 623.451507869133 472.542297120056 623.94119544153 623.94119544153 623.94119544153 623.94119544153 457.362667244464 457.362667244464 623.94119544153 623.94119544153 457.362667244464 457.362667244464
"X3" 632.986421260093 632.986421260093 632.986421260093 632.986421260093 632.986421260093 632.986421260093 581.731610169856 581.731610169856 581.731610169856 581.731610169856 546.11093468938 554.758528464174 554.758528464174 554.758528464174 554.758528464174 554.758528464174 502.83106305276 546.11093468938 554.758528464174 554.758528464174 554.758528464174 554.758528464174 554.758528464174 502.83106305276 502.83106305276 546.11093468938 554.758528464174 554.758528464174 554.758528464174 554.758528464174 554.758528464174 502.83106305276 502.83106305276 546.11093468938 554.758528464174 554.758528464174 554.758528464174 554.758528464174 554.758528464174 502.83106305276 502.83106305276 502.83106305276 546.11093468938 554.758528464174 554.758528464174 554.758528464174 554.758528464174 554.758528464174 519.913576151972 519.913576151972 519.913576151972 519.913576151972 538.333820907758 532.849600735173 532.849600735173 532.849600735173 532.849600735173 532.849600735173 519.913576151972 519.913576151972 519.913576151972 519.913576151972 519.913576151972 538.333820907758 525.90765158095 525.90765158095 525.90765158095 525.90765158095 525.90765158095 507.088197428639 519.913576151972 519.913576151972 519.913576151972 519.913576151972 538.333820907758 538.333820907758 525.90765158095 525.90765158095 525.90765158095 525.90765158095 427.921397639824 507.088197428639 507.088197428639 519.913576151972 519.913576151972 519.913576151972 519.913576151972 538.333820907758 538.333820907758 525.90765158095 525.90765158095 525.90765158095 525.90765158095 427.921397639824 519.913576151972 519.913576151972 519.913576151972 519.913576151972 538.333820907758 538.333820907758 525.90765158095 525.90765158095 525.90765158095 525.90765158095 427.921397639824 519.913576151972 519.913576151972 538.333820907758 538.333820907758 525.90765158095 525.90765158095 525.90765158095 525.90765158095 427.921397639824 536.045867214002 536.045867214002 523.492478174825 523.492478174825 523.492478174825 523.492478174825 425.507096006001 523.495668732182 523.495668732182 523.495668732182 523.495668732182 409.17706683695 409.17706683695 523.495668732182 523.495668732182 409.17706683695 409.17706683695
"X4" 586.593474270317 586.593474270317 586.593474270317 586.593474270317 586.593474270317 586.593474270317 509.380200818821 509.380200818821 509.380200818821 509.380200818821 479.455446836607 493.66771853199 493.66771853199 493.66771853199 493.66771853199 493.66771853199 444.081176954557 479.455446836607 493.66771853199 493.66771853199 493.66771853199 493.66771853199 493.66771853199 444.081176954557 444.081176954557 479.455446836607 493.66771853199 493.66771853199 493.66771853199 493.66771853199 493.66771853199 444.081176954557 444.081176954557 479.455446836607 493.66771853199 493.66771853199 493.66771853199 493.66771853199 493.66771853199 444.081176954557 444.081176954557 444.081176954557 479.455446836607 493.66771853199 493.66771853199 493.66771853199 493.66771853199 493.66771853199 452.873763552448 452.873763552448 452.873763552448 452.873763552448 472.496472384925 457.081753024591 457.081753024591 457.081753024591 457.081753024591 457.081753024591 452.873763552448 452.873763552448 452.873763552448 452.873763552448 452.873763552448 472.496472384925 452.160593917417 452.160593917417 452.160593917417 452.160593917417 452.160593917417 431.784899603722 452.873763552448 452.873763552448 452.873763552448 452.873763552448 472.496472384925 472.496472384925 452.160593917417 452.160593917417 452.160593917417 452.160593917417 400.257732728763 431.784899603722 431.784899603722 452.873763552448 452.873763552448 452.873763552448 452.873763552448 472.496472384925 472.496472384925 452.160593917417 452.160593917417 452.160593917417 452.160593917417 400.257732728763 452.873763552448 452.873763552448 452.873763552448 452.873763552448 472.496472384925 472.496472384925 452.160593917417 452.160593917417 452.160593917417 452.160593917417 400.257732728763 452.873763552448 452.873763552448 472.496472384925 472.496472384925 452.160593917417 452.160593917417 452.160593917417 452.160593917417 400.257732728763 467.7263523591 467.7263523591 448.208320039142 448.208320039142 448.208320039142 448.208320039142 396.323786682978 446.998770624105 446.998770624105 446.998770624105 446.998770624105 380.365175060047 380.365175060047 446.998770624105 446.998770624105 380.365175060047 380.365175060047
"X5" 564.25489724567 564.25489724567 564.25489724567 564.25489724567 564.25489724567 564.25489724567 471.030879473284 471.030879473284 471.030879473284 471.030879473284 446.060320828076 464.283101790266 464.283101790266 464.283101790266 464.283101790266 464.283101790266 421.437153748738 446.060320828076 464.283101790266 464.283101790266 464.283101790266 464.283101790266 464.283101790266 421.437153748738 421.437153748738 446.060320828076 464.283101790266 464.283101790266 464.283101790266 464.283101790266 464.283101790266 421.437153748738 421.437153748738 446.060320828076 464.283101790266 464.283101790266 464.283101790266 464.283101790266 464.283101790266 421.437153748738 421.437153748738 421.437153748738 446.060320828076 464.283101790266 464.283101790266 464.283101790266 464.283101790266 464.283101790266 420.628805028215 420.628805028215 420.628805028215 420.628805028215 437.743514041431 415.412539630679 415.412539630679 415.412539630679 415.412539630679 415.412539630679 420.628805028215 420.628805028215 420.628805028215 420.628805028215 420.628805028215 437.743514041431 411.731867296933 411.731867296933 411.731867296933 411.731867296933 411.731867296933 393.60276131083 420.628805028215 420.628805028215 420.628805028215 420.628805028215 437.743514041431 437.743514041431 411.731867296933 411.731867296933 411.731867296933 411.731867296933 395.54023735692 393.60276131083 393.60276131083 420.628805028215 420.628805028215 420.628805028215 420.628805028215 437.743514041431 437.743514041431 411.731867296933 411.731867296933 411.731867296933 411.731867296933 395.54023735692 420.628805028215 420.628805028215 420.628805028215 420.628805028215 437.743514041431 437.743514041431 411.731867296933 411.731867296933 411.731867296933 411.731867296933 395.54023735692 420.628805028215 420.628805028215 437.743514041431 437.743514041431 411.731867296933 411.731867296933 411.731867296933 411.731867296933 395.54023735692 430.479544546983 430.479544546983 406.67628543892 406.67628543892 406.67628543892 406.67628543892 390.522423125561 403.892813395995 403.892813395995 403.892813395995 403.892813395995 377.017390545386 377.017390545386 403.892813395995 403.892813395995 377.017390545386 377.017390545386
"X6" 568.577918442902 568.577918442902 568.577918442902 568.577918442902 568.577918442902 568.577918442902 471.550987295584 471.550987295584 471.550987295584 471.550987295584 450.699035109232 470.9989585044 470.9989585044 470.9989585044 470.9989585044 470.9989585044 439.772012308768 450.699035109232 470.9989585044 470.9989585044 470.9989585044 470.9989585044 470.9989585044 439.772012308768 439.772012308768 450.699035109232 470.9989585044 470.9989585044 470.9989585044 470.9989585044 470.9989585044 439.772012308768 439.772012308768 450.699035109232 470.9989585044 470.9989585044 470.9989585044 470.9989585044 470.9989585044 439.772012308768 439.772012308768 439.772012308768 450.699035109232 470.9989585044 470.9989585044 470.9989585044 470.9989585044 470.9989585044 427.451632428039 427.451632428039 427.451632428039 427.451632428039 438.309695279473 412.810929780178 412.810929780178 412.810929780178 412.810929780178 412.810929780178 427.451632428039 427.451632428039 427.451632428039 427.451632428039 427.451632428039 438.309695279473 409.381658987614 409.381658987614 409.381658987614 409.381658987614 409.381658987614 397.379574454675 427.451632428039 427.451632428039 427.451632428039 427.451632428039 438.309695279473 438.309695279473 409.381658987614 409.381658987614 409.381658987614 409.381658987614 416.138702864213 397.379574454675 397.379574454675 427.451632428039 427.451632428039 427.451632428039 427.451632428039 438.309695279473 438.309695279473 409.381658987614 409.381658987614 409.381658987614 409.381658987614 416.138702864213 427.451632428039 427.451632428039 427.451632428039 427.451632428039 438.309695279473 438.309695279473 409.381658987614 409.381658987614 409.381658987614 409.381658987614 416.138702864213 427.451632428039 427.451632428039 438.309695279473 438.309695279473 409.381658987614 409.381658987614 409.381658987614 409.381658987614 416.138702864213 428.882511769609 428.882511769609 403.758650077544 403.758650077544 403.758650077544 403.758650077544 410.572251240176 399.33598069354 399.33598069354 399.33598069354 399.33598069354 401.77736102536 401.77736102536 399.33598069354 399.33598069354 401.77736102536 401.77736102536
"X7" 594.005704158032 594.005704158032 594.005704158032 594.005704158032 594.005704158032 594.005704158032 503.81246200807 503.81246200807 503.81246200807 503.81246200807 486.536469097582 507.172675668432 507.172675668432 507.172675668432 507.172675668432 507.172675668432 491.280475341828 486.536469097582 507.172675668432 507.172675668432 507.172675668432 507.172675668432 507.172675668432 491.280475341828 491.280475341828 486.536469097582 507.172675668432 507.172675668432 507.172675668432 507.172675668432 507.172675668432 491.280475341828 491.280475341828 486.536469097582 507.172675668432 507.172675668432 507.172675668432 507.172675668432 507.172675668432 491.280475341828 491.280475341828 491.280475341828 486.536469097582 507.172675668432 507.172675668432 507.172675668432 507.172675668432 507.172675668432 466.058537769042 466.058537769042 466.058537769042 466.058537769042 467.975414008302 442.575924637012 442.575924637012 442.575924637012 442.575924637012 442.575924637012 466.058537769042 466.058537769042 466.058537769042 466.058537769042 466.058537769042 467.975414008302 438.610014816256 438.610014816256 438.610014816256 438.610014816256 438.610014816256 435.539075299277 466.058537769042 466.058537769042 466.058537769042 466.058537769042 467.975414008302 467.975414008302 438.610014816256 438.610014816256 438.610014816256 438.610014816256 456.663172130829 435.539075299277 435.539075299277 466.058537769042 466.058537769042 466.058537769042 466.058537769042 467.975414008302 467.975414008302 438.610014816256 438.610014816256 438.610014816256 438.610014816256 456.663172130829 466.058537769042 466.058537769042 466.058537769042 466.058537769042 467.975414008302 467.975414008302 438.610014816256 438.610014816256 438.610014816256 438.610014816256 456.663172130829 466.058537769042 466.058537769042 467.975414008302 467.975414008302 438.610014816256 438.610014816256 438.610014816256 438.610014816256 456.663172130829 456.81343954552 456.81343954552 432.901083713849 432.901083713849 432.901083713849 432.901083713849 451.027710225028 426.909669223404 426.909669223404 426.909669223404 426.909669223404 448.496830311213 448.496830311213 426.909669223404 426.909669223404 448.496830311213 448.496830311213
"X8" 632.956986715096 632.956986715096 632.956986715096 632.956986715096 632.956986715096 632.956986715096 557.713619805351 557.713619805351 557.713619805351 557.713619805351 543.86014841248 563.425781813743 563.425781813743 563.425781813743 563.425781813743 563.425781813743 565.013937085184 543.86014841248 563.425781813743 563.425781813743 563.425781813743 563.425781813743 563.425781813743 565.013937085184 565.013937085184 543.86014841248 563.425781813743 563.425781813743 563.425781813743 563.425781813743 563.425781813743 565.013937085184 565.013937085184 543.86014841248 563.425781813743 563.425781813743 563.425781813743 563.425781813743 563.425781813743 565.013937085184 565.013937085184 565.013937085184 543.86014841248 563.425781813743 563.425781813743 563.425781813743 563.425781813743 563.425781813743 526.301968511649 526.301968511649 526.301968511649 526.301968511649 517.930699665376 495.114894884755 495.114894884755 495.114894884755 495.114894884755 495.114894884755 526.301968511649 526.301968511649 526.301968511649 526.301968511649 526.301968511649 517.930699665376 490.127206689833 490.127206689833 490.127206689833 490.127206689833 490.127206689833 497.42893169621 526.301968511649 526.301968511649 526.301968511649 526.301968511649 517.930699665376 517.930699665376 490.127206689833 490.127206689833 490.127206689833 490.127206689833 509.799266582857 497.42893169621 497.42893169621 526.301968511649 526.301968511649 526.301968511649 526.301968511649 517.930699665376 517.930699665376 490.127206689833 490.127206689833 490.127206689833 490.127206689833 509.799266582857 526.301968511649 526.301968511649 526.301968511649 526.301968511649 517.930699665376 517.930699665376 490.127206689833 490.127206689833 490.127206689833 490.127206689833 509.799266582857 526.301968511649 526.301968511649 517.930699665376 517.930699665376 490.127206689833 490.127206689833 490.127206689833 490.127206689833 509.799266582857 505.499174537709 505.499174537709 484.720762747559 484.720762747559 484.720762747559 484.720762747559 504.480449020485 477.326577513914 477.326577513914 477.326577513914 477.326577513914 508.846338245023 508.846338245023 477.326577513914 477.326577513914 508.846338245023 508.846338245023
"X9" 677.865944904692 677.865944904692 677.865944904692 677.865944904692 677.865944904692 677.865944904692 623.17741487871 623.17741487871 623.17741487871 623.17741487871 612.981994322421 630.402609733587 630.402609733587 630.402609733587 630.402609733587 630.402609733587 650.04906193794 612.981994322421 630.402609733587 630.402609733587 630.402609733587 630.402609733587 630.402609733587 650.04906193794 650.04906193794 612.981994322421 630.402609733587 630.402609733587 630.402609733587 630.402609733587 630.402609733587 650.04906193794 650.04906193794 612.981994322421 630.402609733587 630.402609733587 630.402609733587 630.402609733587 630.402609733587 650.04906193794 650.04906193794 650.04906193794 612.981994322421 630.402609733587 630.402609733587 630.402609733587 630.402609733587 630.402609733587 598.05913428022 598.05913428022 598.05913428022 598.05913428022 579.388688592597 560.861112873573 560.861112873573 560.861112873573 560.861112873573 560.861112873573 598.05913428022 598.05913428022 598.05913428022 598.05913428022 598.05913428022 579.388688592597 554.668882777189 554.668882777189 554.668882777189 554.668882777189 554.668882777189 572.423935906701 598.05913428022 598.05913428022 598.05913428022 598.05913428022 579.388688592597 579.388688592597 554.668882777189 554.668882777189 554.668882777189 554.668882777189 568.246878000651 572.423935906701 572.423935906701 598.05913428022 598.05913428022 598.05913428022 598.05913428022 579.388688592597 579.388688592597 554.668882777189 554.668882777189 554.668882777189 554.668882777189 568.246878000651 598.05913428022 598.05913428022 598.05913428022 598.05913428022 579.388688592597 579.388688592597 554.668882777189 554.668882777189 554.668882777189 554.668882777189 568.246878000651 598.05913428022 598.05913428022 579.388688592597 579.388688592597 554.668882777189 554.668882777189 554.668882777189 554.668882777189 568.246878000651 566.189891289873 566.189891289873 549.860680770833 549.860680770833 549.860680770833 549.860680770833 563.536826082586 541.325067337937 541.325067337937 541.325067337937 541.325067337937 574.511486227355 574.511486227355 541.325067337937 541.325067337937 574.511486227355 574.511486227355
"X10" 721.173607164742 721.173607164742 721.173607164742 721.173607164742 721.173607164742 721.173607164742 690.139990887951 690.139990887951 690.139990887951 690.139990887951 684.227312561354 698.759662310823 698.759662310823 698.759662310823 698.759662310823 698.759662310823 735.47536809439 684.227312561354 698.759662310823 698.759662310823 698.759662310823 698.759662310823 698.759662310823 735.47536809439 735.47536809439 684.227312561354 698.759662310823 698.759662310823 698.759662310823 698.759662310823 698.759662310823 735.47536809439 735.47536809439 684.227312561354 698.759662310823 698.759662310823 698.759662310823 698.759662310823 698.759662310823 735.47536809439 735.47536809439 735.47536809439 684.227312561354 698.759662310823 698.759662310823 698.759662310823 698.759662310823 698.759662310823 671.220497937725 671.220497937725 671.220497937725 671.220497937725 643.575635938251 630.262880658711 630.262880658711 630.262880658711 630.262880658711 630.262880658711 671.220497937725 671.220497937725 671.220497937725 671.220497937725 671.220497937725 643.575635938251 622.98553767291 622.98553767291 622.98553767291 622.98553767291 622.98553767291 649.91392598404 671.220497937725 671.220497937725 671.220497937725 671.220497937725 643.575635938251 643.575635938251 622.98553767291 622.98553767291 622.98553767291 622.98553767291 624.711869808952 649.91392598404 649.91392598404 671.220497937725 671.220497937725 671.220497937725 671.220497937725 643.575635938251 643.575635938251 622.98553767291 622.98553767291 622.98553767291 622.98553767291 624.711869808952 671.220497937725 671.220497937725 671.220497937725 671.220497937725 643.575635938251 643.575635938251 622.98553767291 622.98553767291 622.98553767291 622.98553767291 624.711869808952 671.220497937725 671.220497937725 643.575635938251 643.575635938251 622.98553767291 622.98553767291 622.98553767291 622.98553767291 624.711869808952 630.149152540291 630.149152540291 618.979013610376 618.979013610376 618.979013610376 618.979013610376 620.809504513868 609.658644081198 609.658644081198 609.658644081198 609.658644081198 637.183488421763 637.183488421763 609.658644081198 609.658644081198 637.183488421763 637.183488421763
