"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 1116.05958899231 1413.14768698174 1046.81987026096 1592.96718380273 1681.22620513189 1610.34510982751 1058.94490183644 1611.25019505751 1785.43015111114 1689.52184666714 1631.87487531129 1468.66638217718 1888.05212915764 1761.47122424131 1622.37340504383 1514.49306963733 1393.88317963792 1405.41305899588 1798.43331173573 1616.87156556991 1497.34547144275 1398.36611024721 1287.28217989344 1520.40612388345 1455.11715113428 1353.30132737061 1241.61565562978 1263.59885979352 1300.23209488631
"X2" 1030.33927492051 1344.45844429213 971.73747006731 1529.6564990564 1626.52484819355 1525.83349150078 1011.49491912021 1523.09426994118 1741.95666310755 1658.7950275708 1582.09428236441 1462.13917003551 1814.83389627762 1724.37858600695 1592.30892996679 1493.53598284137 1389.97696751195 1456.99117581795 1762.02586751896 1604.07825292726 1472.82979907125 1382.35343974341 1301.06907086567 1520.8541235205 1437.90428833782 1331.44410434185 1205.06572554849 1250.85152755537 1273.78266406233
"X3" 952.171152325749 1279.18377682182 933.715915534463 1469.76190100137 1573.67206420244 1446.01007879697 958.69947644131 1440.03829096945 1698.48662096022 1628.75574454703 1535.25812180981 1455.24145131221 1744.22509617808 1687.37437767608 1564.07548111137 1474.1387449022 1387.64735768003 1506.49954709565 1725.94330752873 1591.32806333281 1450.45836728857 1368.49828676345 1315.65264484855 1520.88184455156 1422.01326241023 1311.51284321654 1172.2614613753 1239.72650443447 1250.15375843824
"X4" 891.935322938403 1224.27684656964 922.07863917153 1420.23893830971 1528.6040244712 1379.98775680852 910.172828776609 1370.72589746359 1659.20872505706 1603.70628369481 1498.13891147509 1447.65839571314 1683.87113324601 1654.83000077583 1542.95979149525 1460.81751377802 1390.46667071224 1550.45014962056 1694.40190909964 1581.61304396756 1435.36323779212 1361.43223970341 1333.01526390449 1522.19058774637 1411.30608281939 1298.01283469154 1149.96705442244 1234.00678141809 1233.26356441546
"X5" 856.750530806944 1184.89360370731 926.606141933553 1385.82378819952 1495.89605856706 1334.74628837817 874.158392276448 1321.1469319198 1627.48477620517 1587.03130109678 1475.93983712082 1438.64031090628 1639.36674646383 1630.33591114461 1532.9364136294 1456.9636704264 1401.00671938699 1585.34675003138 1670.67275616963 1577.29129316035 1431.33400240434 1364.47910628526 1354.37986931641 1526.10225280242 1408.70637473013 1294.30055515675 1142.99050903159 1236.23457059072 1225.61539818395
"X6" 850.641590577001 1164.30879738677 938.629001361944 1369.22872194176 1478.57848950049 1314.80573824831 856.440892595419 1294.83010608899 1605.63112100827 1580.97431996772 1471.999748963 1427.41702683722 1614.23916160275 1616.38666893347 1536.48393501592 1464.68852105842 1420.7365399478 1608.41498549895 1656.9095190694 1579.90334301202 1440.67872521127 1379.59454139751 1380.27352226097 1533.47595552569 1416.04453118407 1302.4480533512 1154.18548395933 1247.81572664657 1228.56303302801
"X7" 868.764846323219 1160.2700730172 954.627039450384 1367.45525125768 1475.05210510145 1317.26478684517 854.868106388778 1288.32201015956 1592.75975607889 1584.28031844917 1483.9866095101 1413.515481711 1606.01314703192 1612.03955069879 1551.5738616253 1482.2479258319 1447.81758322389 1619.59588822009 1651.88352252597 1588.45994285475 1461.27454631094 1404.69796767952 1409.24043179887 1543.75928946223 1431.83883181463 1320.67478482709 1180.72329191761 1266.94041189749 1240.34940574494
"X8" 904.078935737014 1169.15701330775 972.354751712592 1376.08910126405 1482.57194165815 1337.38540276863 865.292636848484 1296.44000513631 1587.18932620526 1594.82752020868 1508.16380367008 1396.53448613392 1610.72697927963 1615.50076454959 1575.06038929502 1506.94195183147 1479.59019676617 1619.49882935293 1653.52791620414 1601.34439129761 1489.90004240504 1436.70779158849 1439.33115973986 1556.04943340339 1453.78645652365 1346.24526143235 1218.36703791654 1291.00088160343 1258.4467896522
"X9" 949.562043418971 1187.36412656295 989.548300087692 1390.72788839322 1498.40595546148 1370.44998195917 883.548272894124 1314.01848127441 1587.24717062329 1610.50266806005 1540.8087802861 1376.06937768613 1624.43410237888 1624.98579047123 1603.80744581884 1536.07895237523 1513.40006927595 1608.71993536647 1659.78379869855 1616.94514787591 1523.34308139856 1472.55035845816 1468.59732449138 1569.44601961431 1479.59171239449 1376.43243375758 1262.89248650191 1317.39508069892 1280.33458675478
"X10" 998.203917486559 1211.29675688906 1003.92239815635 1406.97612840224 1519.83193289471 1411.75599373522 905.44497334022 1335.90299633111 1591.26744321683 1629.19863882483 1578.20883158915 1351.71156809431 1643.19866335449 1638.71737304909 1634.68514019012 1566.97251968376 1546.59522145692 1587.84277104304 1668.59789790243 1633.65401756723 1558.3971825895 1509.15646773197 1495.08939193234 1583.05012381036 1506.96343438715 1408.51459985332 1310.08326668052 1343.52369609454 1303.49646239004
