"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X11" 2399.41201462372 2735.95710606494 2610.69029980594 2405.75546805231 2578.708626006 2886.8069088744 2301.12914539515 2610.69029980594 2405.75546805231 2578.708626006 2886.8069088744 2386.58723769909 2369.50627093155 2320.22661814341 2339.82358539064 2750.43518388043 2811.57218985175 2386.58723769909 2369.50627093155 2320.22661814341 2339.82358539064 2750.43518388043 2811.57218985175 2388.89211567636 2166.71777671818 2166.71777671818 2375.58815952117 2375.58815952117 3165.91466455727
"X12" 2377.97780357059 2734.84004150046 2529.74447572929 2373.68672813775 2569.6243584569 2813.88154481095 2269.17717557794 2529.74447572929 2373.68672813775 2569.6243584569 2813.88154481095 2418.36157128333 2398.34327122596 2361.50501032345 2370.39117917505 2694.68472338747 2783.1407164874 2418.36157128333 2398.34327122596 2361.50501032345 2370.39117917505 2694.68472338747 2783.1407164874 2410.6999916943 2232.08903330636 2232.08903330636 2374.63960759305 2374.63960759305 3082.25350450456
"X13" 2353.95624288172 2736.26118638596 2454.89124897375 2346.33128138935 2568.36468159364 2748.97135766426 2248.62732268931 2454.89124897375 2346.33128138935 2568.36468159364 2748.97135766426 2452.05660253532 2432.43755351674 2407.53606077982 2400.33070658587 2641.54769702276 2761.86681606044 2452.05660253532 2432.43755351674 2407.53606077982 2400.33070658587 2641.54769702276 2761.86681606044 2433.50271215992 2295.71367161133 2295.71367161133 2375.40522645888 2375.40522645888 3007.78931374912
"X14" 2315.11666917668 2733.602618913 2390.18499812032 2323.40419733867 2575.40402306684 2697.85877902478 2234.50212511756 2390.18499812032 2323.40419733867 2575.40402306684 2697.85877902478 2481.45009315786 2469.72772963705 2455.15125158927 2426.84631749802 2596.29404999368 2748.1559143232 2481.45009315786 2469.72772963705 2455.15125158927 2426.84631749802 2596.29404999368 2748.1559143232 2454.65075243207 2351.93729417644 2351.93729417644 2376.97090229946 2376.97090229946 2947.04699106098
"X15" 2254.73635771629 2722.928109705 2339.9123128561 2305.45792656204 2591.43000077379 2665.87261172816 2222.67574058669 2339.9123128561 2305.45792656204 2591.43000077379 2665.87261172816 2502.02735213777 2508.93134579539 2502.15764373709 2449.34650873853 2564.72790433004 2743.6347158145 2502.02735213777 2508.93134579539 2502.15764373709 2449.34650873853 2564.72790433004 2743.6347158145 2473.05751757912 2397.62664714128 2397.62664714128 2380.51844795292 2380.51844795292 2905.2615019529
"X16" 2188.62841193543 2711.52448943368 2309.25951813409 2296.37900426605 2617.95446874352 2656.48664635463 2212.86615902387 2309.25951813409 2296.37900426605 2617.95446874352 2656.48664635463 2516.11317108789 2551.86790340422 2550.25510155378 2476.06784330414 2554.77097176924 2754.79074826454 2516.11317108789 2551.86790340422 2550.25510155378 2476.06784330414 2554.77097176924 2754.79074826454 2493.89206609386 2439.75386644181 2439.75386644181 2395.61248365591 2395.61248365591 2890.46755881523
"X17" 2138.38746564398 2710.07177337848 2302.97613376597 2300.90043300568 2656.83192992656 2672.23618242222 2206.28965996845 2302.97613376597 2300.90043300568 2656.83192992656 2672.23618242222 2527.81413867176 2601.2566153753 2602.34534290029 2517.42832057021 2574.10474724195 2788.96686445402 2527.81413867176 2601.2566153753 2602.34534290029 2517.42832057021 2574.10474724195 2788.96686445402 2523.87454669638 2488.18607347927 2488.18607347927 2433.63344428413 2433.63344428413 2910.49225571855
"X18" 2123.89941769092 2730.9776158424 2322.43279281121 2323.49815676999 2710.49421596148 2713.42976877252 2206.48814154881 2322.43279281121 2323.49815676999 2710.49421596148 2713.42976877252 2541.0554016519 2660.14053137067 2662.10375871049 2582.79660117998 2626.30536563303 2851.12011191643 2541.0554016519 2660.14053137067 2662.10375871049 2582.79660117998 2626.30536563303 2851.12011191643 2569.07462083465 2553.64513566585 2553.64513566585 2503.68849519598 2503.68849519598 2968.19305946189
"X19" 2151.31667803415 2781.57462437825 2365.31815547121 2367.18721713444 2781.70927145783 2778.80451171545 2216.57466955993 2365.31815547121 2367.18721713444 2781.70927145783 2778.80451171545 2557.50519316158 2730.79745486071 2732.60928123817 2676.55579158736 2709.58368403407 2941.26706649921 2557.50519316158 2730.79745486071 2732.60928123817 2676.55579158736 2709.58368403407 2941.26706649921 2632.51588120922 2643.65655412333 2643.65655412333 2608.86100198241 2608.86100198241 3059.36874594799
"X20" 2208.87504598871 2859.25768061621 2427.90606672678 2433.26030429263 2873.0819336017 2867.0409868811 2237.77948608293 2427.90606672678 2433.26030429263 2873.0819336017 2867.0409868811 2577.1086841924 2814.31229185142 2815.54747147838 2796.47848095528 2818.33934898394 3054.25225091538 2577.1086841924 2814.31229185142 2815.54747147838 2796.47848095528 2818.33934898394 3054.25225091538 2713.75061897681 2760.06648433117 2760.06648433117 2745.50762752929 2745.50762752929 3174.00505214614
