"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 2331.11108803615 2929.20704244097 2949.93435688436 2927.58151992754 3202.07756383416 3204.73791891106 2349.53724774952 2949.93435688436 2927.58151992754 3202.07756383416 3204.73791891106 2664.34993895879 3246.25190825376 3248.39369247778 3180.43550915902 3181.10680868357 2934.17229228692 2664.34993895879 3246.25190825376 3248.39369247778 3180.43550915902 3181.10680868357 2934.17229228692 3069.25006738259 3078.1479236844 3078.1479236844 2945.03491400435 2945.03491400435 2785.96435032205
"X2" 2454.81076954651 2796.74115480857 2818.3109162561 2838.49263824533 3059.90427386279 3048.36067545335 2325.6834464767 2818.3109162561 2838.49263824533 3059.90427386279 3048.36067545335 2638.07793456056 3112.43552915929 3110.67899280962 3059.33758411453 3058.86834274397 2825.36963328439 2638.07793456056 3112.43552915929 3110.67899280962 3059.33758411453 3058.86834274397 2825.36963328439 2969.03827290106 2929.69934922932 2929.69934922932 2811.95517980317 2811.95517980317 2688.83840353725
"X3" 2441.68061140186 2671.24963536119 2692.95878648098 2753.54343835932 2926.56813512788 2900.98313737105 2304.47927009078 2692.95878648098 2753.54343835932 2926.56813512788 2900.98313737105 2616.34839122432 2986.31369431278 2980.8691646126 2946.83470780353 2945.28444195132 2725.98123601964 2616.34839122432 2986.31369431278 2980.8691646126 2946.83470780353 2945.28444195132 2725.98123601964 2874.45951257825 2790.30437195715 2790.30437195715 2686.7866338086 2686.7866338086 2600.0479099352
"X4" 2359.53876122012 2566.67022214466 2587.41788354962 2682.42139620651 2818.68936102598 2780.13167744782 2290.05132152118 2587.41788354962 2682.42139620651 2818.68936102598 2780.13167744782 2605.8763891233 2883.64874527337 2875.09685426975 2859.69255993117 2857.23007330964 2650.37413134664 2605.8763891233 2883.64874527337 2875.09685426975 2859.69255993117 2857.23007330964 2650.37413134664 2798.02169462057 2677.71398430296 2677.71398430296 2584.63524473923 2584.63524473923 2529.51246912831
"X5" 2269.05584123642 2492.66159241615 2511.84653735426 2632.21899158894 2747.91512490401 2698.53162891947 2285.23713364497 2511.84653735426 2632.21899158894 2747.91512490401 2698.53162891947 2610.95915033386 2815.72676574516 2804.93689958279 2809.62364523813 2806.50323346585 2608.30818884153 2610.95915033386 2815.72676574516 2804.93689958279 2809.62364523813 2806.50323346585 2608.30818884153 2748.40528812473 2604.56317014371 2604.56317014371 2516.29906109126 2516.29906109126 2483.54914505287
"X6" 2216.98729044857 2455.11826644343 2472.75058415668 2607.37549352414 2721.24953445715 2664.09560914812 2291.73782440848 2472.75058415668 2607.37549352414 2721.24953445715 2664.09560914812 2633.8808610847 2789.46068879111 2777.49359202407 2803.56512845584 2800.0978885755 2605.42633017143 2633.8808610847 2789.46068879111 2777.49359202407 2803.56512845584 2800.0978885755 2605.42633017143 2730.82242818836 2578.58606267685 2578.58606267685 2488.4359225814 2488.4359225814 2465.73169610192
"X7" 2205.39448978912 2449.48987100085 2465.81087793024 2604.58625592585 2732.5115839244 2670.76546091437 2308.09224140912 2465.81087793024 2604.58625592585 2732.5115839244 2670.76546091437 2671.42035685079 2799.1657866278 2786.97740791052 2834.82665188311 2831.29305743618 2635.83595107917 2671.42035685079 2799.1657866278 2786.97740791052 2834.82665188311 2831.29305743618 2635.83595107917 2740.74487767182 2593.4903866379 2593.4903866379 2495.84529152537 2495.84529152537 2472.4302679024
"X8" 2225.12671241167 2468.64042408462 2484.02872376483 2618.62887351867 2772.25495254167 2709.02419151294 2332.05661276978 2484.02872376483 2618.62887351867 2772.25495254167 2709.02419151294 2718.99155388165 2836.03746839112 2824.40572020205 2893.34113187656 2889.96941107983 2690.7869993017 2718.99155388165 2836.03746839112 2824.40572020205 2893.34113187656 2889.96941107983 2690.7869993017 2771.23183764868 2639.5107001611 2639.5107001611 2530.39087013864 2530.39087013864 2498.2334687996
"X9" 2266.96989432036 2505.46152093666 2520.43451551708 2644.30041818288 2831.06597619203 2769.39118410041 2361.3957078892 2520.43451551708 2644.30041818288 2831.06597619203 2769.39118410041 2772.01949854892 2891.30247365315 2880.82812859488 2969.07254390943 2966.03894282419 2761.55673721892 2772.01949854892 2891.30247365315 2880.82812859488 2969.07254390943 2966.03894282419 2761.55673721892 2815.36621205664 2706.91717911762 2706.91717911762 2583.96731735565 2583.96731735565 2537.75080469066
"X10" 2321.63636138949 2552.86426220946 2568.07983275432 2676.41154327427 2899.55296595205 2842.41144127767 2393.88029563442 2568.07983275432 2676.41154327427 2899.55296595205 2842.41144127767 2825.9351677666 2956.20892353033 2947.31630934805 3052.00453639025 3049.43352304516 2839.4398234678 2825.9351677666 2956.20892353033 2947.31630934805 3052.00453639025 3049.43352304516 2839.4398234678 2866.24676899371 2786.00457775601 2786.00457775601 2648.49104922811 2648.49104922811 2585.60653009899
"X11" 2379.75446581821 2603.77119856409 2620.0295558728 2709.78059960418 2968.33554542409 2918.6448506131 2427.2846076062 2620.0295558728 2709.78059960418 2968.33554542409 2918.6448506131 2876.17027437992 3022.0163901216 3014.95388403489 3132.12906125174 3130.09347089451 2915.7384091931 2876.17027437992 3022.0163901216 3014.95388403489 3132.12906125174 3130.09347089451 2915.7384091931 2916.98031561372 2867.08121033405 2867.08121033405 2715.89105787266 2715.89105787266 2636.43351155692
"X12" 2431.85812324985 2651.10828484863 2669.35399268354 2739.22775807659 3028.03399778375 2988.65546297493 2459.38380431908 2669.35399268354 2739.22775807659 3028.03399778375 2988.65546297493 2918.15207310206 3079.98597582994 3074.82629860192 3199.4350116385 3197.95613324075 2981.75224050567 2918.15207310206 3079.98597582994 3074.82629860192 3199.4350116385 3197.95613324075 2981.75224050567 2960.67387996745 2940.45794437006 2940.45794437006 2778.09974115832 2778.09974115832 2684.86709807311
"X13" 2468.37624170252 2687.79683701253 2709.12100976994 2759.56913398612 3069.25861348216 3043.00077455302 2487.9514421408 2709.12100976994 2759.56913398612 3069.25861348216 3043.00077455302 2947.29816258119 3121.37039413113 3118.01070412866 3243.89685703128 3242.94446112152 3028.76875872622 2947.29816258119 3121.37039413113 3118.01070412866 3243.89685703128 3242.94446112152 3028.76875872622 2990.42689314295 2996.43719615188 2996.43719615188 2827.04373533312 2827.04373533312 2725.53899346244
"X14" 2479.6220333758 2706.74548490858 2732.38816192137 2765.61090797805 3082.59902953841 3072.22100344938 2510.7569388316 2732.38816192137 2765.61090797805 3082.59902953841 3072.22100344938 2959.01127917115 3137.40404335059 3135.56583067869 3255.4632661373 3254.9555739866 3048.0531899824 2959.01127917115 3137.40404335059 3135.56583067869 3255.4632661373 3254.9555739866 3048.0531899824 2999.32336505552 3025.30191913881 3025.30191913881 2854.63474278678 2854.63474278678 2753.07112531142
"X15" 2459.39132026188 2704.42300038886 2734.27242036968 2753.95976587556 3062.52779274902 3070.09243327888 2526.50440134382 2734.27242036968 2753.95976587556 3062.52779274902 3070.09243327888 2950.84903503889 3122.65196307128 3121.91485151331 3227.89715157479 3227.71050940086 3034.30318117675 2950.84903503889 3122.65196307128 3121.91485151331 3227.89715157479 3227.71050940086 3034.30318117675 2983.68533293988 3021.06712323631 3021.06712323631 2855.82298132267 2855.82298132267 2764.98248924102
"X16" 2415.78385497816 2691.59775226868 2718.17792735312 2728.46845087802 3019.1377048702 3043.41333734078 2537.65546036596 2718.17792735312 2728.46845087802 3019.1377048702 3043.41333734078 2929.04651249065 3085.08113292228 3085.01885147232 3170.32381066103 3170.33160944191 2996.03725323614 2929.04651249065 3085.08113292228 3085.01885147232 3170.32381066103 3170.33160944191 2996.03725323614 2952.85329891445 2992.76158225629 2992.76158225629 2837.7800483419 2837.7800483419 2770.42591054573
"X17" 2361.64492919189 2682.30875334218 2690.23734398629 2695.24644825572 2966.78094951434 3002.7377501277 2547.47956321977 2690.23734398629 2695.24644825572 2966.78094951434 3002.7377501277 2902.16505120369 3036.5826651923 3036.81452738406 3096.2818527102 3096.36961845914 2945.28026713015 2902.16505120369 3036.5826651923 3036.81452738406 3096.2818527102 3096.36961845914 2945.28026713015 2919.58919892266 2953.46847791551 2953.46847791551 2810.886036266 2810.886036266 2780.41573753309
"X18" 2314.16842455192 2687.64055924929 2659.07824526897 2661.93823219374 2920.02882143987 2959.85383464434 2558.24122045207 2659.07824526897 2661.93823219374 2920.02882143987 2959.85383464434 2878.72262654252 2990.59090447453 2990.85652797794 3020.69343587084 3020.78198025424 2893.05818407935 2878.72262654252 2990.59090447453 2990.85652797794 3020.69343587084 3020.78198025424 2893.05818407935 2896.15633309695 2916.29264818031 2916.29264818031 2785.10042208264 2785.10042208264 2799.68458238281
"X19" 2287.51117431493 2709.28994569967 2632.54666404507 2634.80287067229 2886.83912876807 2922.28252977661 2569.62517697223 2632.54666404507 2634.80287067229 2886.83912876807 2922.28252977661 2863.52936816656 2956.34080434432 2956.52475203599 2953.38668099307 2953.44096381927 2843.83819538717 2863.52936816656 2956.34080434432 2956.52475203599 2953.38668099307 2953.44096381927 2843.83819538717 2888.40424142865 2887.81305013098 2887.81305013098 2764.72195631769 2764.72195631769 2821.80164477038
"X20" 2285.54731032932 2737.99932196865 2614.41696652673 2616.15333953463 2864.48025247734 2889.5491964001 2578.72140396961 2614.41696652673 2616.15333953463 2864.48025247734 2889.5491964001 2855.65541952557 2934.52190055512 2934.61189993841 2894.5973122034 2894.61511106741 2793.77791504958 2855.65541952557 2934.52190055512 2934.61189993841 2894.5973122034 2894.61511106741 2793.77791504958 2892.4258805059 2864.41394368161 2864.41394368161 2745.94075360505 2745.94075360505 2831.63580118375
"X21" 2301.65185006956 2758.26327946093 2604.07693383606 2604.46406323554 2841.93129544192 2854.63953752354 2581.55304321026 2604.07693383606 2604.46406323554 2841.93129544192 2854.63953752354 2849.84272764034 2918.28362573676 2918.30793963574 2836.54122550969 2836.53454702319 2734.32955675753 2849.84272764034 2918.28362573676 2918.30793963574 2836.54122550969 2836.53454702319 2734.32955675753 2896.82641550441 2834.83421373292 2834.83421373292 2719.39410481422 2719.39410481422 2812.82268458666
"X22" 2326.63849626919 2755.59461500321 2599.60061613966 2597.21434959613 2807.363422857 2809.74602477629 2574.71110330407 2599.60061613966 2597.21434959613 2807.363422857 2809.74602477629 2840.4036695648 2899.32194401531 2899.32763079903 2770.24239004332 2770.23042804696 2657.87241966037 2840.4036695648 2899.32194401531 2899.32763079903 2770.24239004332 2770.23042804696 2657.87241966037 2889.41574866564 2787.25766265624 2787.25766265624 2675.7306625117 2675.7306625117 2753.00226655797
"X23" 2350.47350305778 2726.27740198805 2597.27429035989 2590.98034365402 2753.45717434046 2749.92877741405 2558.3496112187 2597.27429035989 2590.98034365402 2753.45717434046 2749.92877741405 2823.82401833163 2870.06594762713 2870.08444287561 2689.17995006254 2689.17624762638 2565.56247870846 2823.82401833163 2870.06594762713 2870.08444287561 2689.17995006254 2689.17624762638 2565.56247870846 2861.72143886619 2714.87398849607 2714.87398849607 2611.08002527987 2611.08002527987 2659.1309393574
