"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99"
"X1" 1705.18267966938 2019.9723607512 1576.15317141691 1570.89984327265 1858.63020155113 1845.00731742625 1578.8901992126 1150.52873426861 1874.68506429804 1804.57328948991 2204.14363698628 2199.4768189649 2318.88816200678 2308.64674299084 1808.17260396825 1941.53653855265 1190.10406240177 1157.0108678147 1922.84835055425 1815.27807772299 2248.23303872578 2202.40443441542 2323.41926287705 2334.73316344741 1843.44573832002 1950.71727591146 1280.73736601009 954.202913636611 1529.31290224181 1429.12561160436 2219.31234739422 2169.17485911151 1957.30414900108 1975.43672362903 1404.6283545919 1505.78054717236 1742.06210083596 1698.06379393829 2030.00752383816 2029.58230920132 1852.46522199164 2349.03094221037 2361.12612381755 2162.32543248723 2173.82633150055 1607.34903793616 1569.91614046551 1812.41525688629 1570.26555071868 2152.23056782027 2348.16363377626 2391.09666456892 2395.96732711305 2668.45933952603 2684.16249479072 3160.73586233949 3162.31386031564 2666.76067789936 2643.38411621237 1041.80302370212 1054.82105525381 725.474650280947 751.302059470019 602.937898704232 526.434841535262 1034.19465201332 992.558830109818 1678.25143815942 2115.50542204098 2310.31184107631 2348.16363377626 2391.09666456892 2395.96732711305 2668.45933952603 2684.16249479072 3160.73586233949 3162.31386031564 2666.76067789936 2643.38411621237 652.782518134574 1136.95725106773 1029.77767654743 1818.53629907779 1769.76904926633 2155.82744654679 2158.4402243845 2104.22326246524 2093.09032173081 2440.28395857183 2337.13816641625 2474.98797907145 2513.90187374299 1550.7543648623 2155.82744654679 2158.4402243845 2104.22326246524 2093.09032173081 2440.28395857183 2337.13816641625
"X2" 1567.65862423876 1817.93492991884 1681.45650433961 1684.86214273428 1910.61372874648 1919.23489422319 1707.91099052967 1132.89291000173 1780.92290024077 1884.94953119029 2199.73708413749 2203.06558888711 2306.65378856241 2316.01499245127 1908.34580321815 1828.33378227628 1110.14950151223 1124.60735305117 1729.04370178405 1812.89184304061 2159.25506772013 2201.11228135618 2305.04826419882 2291.50464998739 1884.99844996718 1823.38329851866 1280.8916004448 828.284305300804 1410.81174148205 1503.33533021843 2108.98257558723 2146.73368717953 1991.74693343431 1979.58081812729 1552.54890307223 1485.66382357155 1651.19147727694 1755.35712239301 2032.85200824245 2033.56282893841 1905.52575190441 1988.93333179879 1983.25517998359 1838.06511452907 1824.33527035962 1400.87931292278 1441.03600553421 1604.4378797135 1773.71240685389 2242.27758002888 2473.5995599594 2501.61382418214 2484.63961666265 2740.49392267694 2821.58027055288 3253.60921536402 3256.32202039953 2839.41910567144 2682.34251285208 957.781609225948 953.133008044375 690.982874770185 680.510627404561 568.210221843272 598.796702925188 1019.1145356132 1004.70872425304 1884.9769061471 2361.44056557566 2529.95796011271 2473.5995599594 2501.61382418214 2484.63961666265 2740.49392267694 2821.58027055288 3253.60921536402 3256.32202039953 2839.41910567144 2682.34251285208 548.525200916081 958.783740825972 1021.11184527006 1699.48587625285 1761.79264751674 2086.82917466933 2112.66815022233 2053.22397016914 2117.16970875713 2394.47458831881 2476.80839189129 2593.31079352947 2559.98129033229 1812.77591767337 2086.82917466933 2112.66815022233 2053.22397016914 2117.16970875713 2394.47458831881 2476.80839189129
"X3" 1446.22634458474 1635.15214774141 1789.19768631555 1800.70199163778 1968.14648794516 1997.67417468383 1835.99286823982 1192.6371778966 1692.97190152652 1961.28570309213 2196.07884461822 2207.0232977924 2299.41584510688 2327.30338958095 2010.99698907075 1729.36521722264 1040.41172489992 1099.56691320602 1546.68467836582 1811.42997563732 2075.80116189274 2200.44733067555 2292.06131733739 2254.76426615131 1932.7678125069 1711.02606593838 1290.20203093215 832.551998765863 1304.84988462366 1579.04057251052 2002.37067989471 2123.1283773542 2023.50080012816 1982.72508894416 1695.74843218708 1469.77016691759 1570.84997072561 1816.54693708074 2040.9223420608 2042.68521756229 1960.45596547253 1646.58969039034 1624.09375624146 1530.77934180139 1493.06331082054 1209.12035569172 1322.22235958542 1413.12074075894 1971.25193444969 2333.61219106123 2597.59744646073 2610.57145245198 2572.82913930199 2814.18330581929 2957.05890277518 3347.48464082884 3351.26370412362 3007.97628601224 2724.40797117691 890.980832582724 868.508115312461 673.516907745376 627.819006092944 551.074790617029 685.621868685914 1011.38146204451 1334.10029085314 2082.59974655313 2599.83968921835 2743.36298303306 2597.59744646073 2610.57145245198 2572.82913930199 2814.18330581929 2957.05890277518 3347.48464082884 3351.26370412362 3007.97628601224 2724.40797117691 463.104342389926 796.132093874262 1019.36410323731 1588.86854639209 1755.86578057007 2021.34756344874 2068.98399924805 2003.20304596555 2138.03617427593 2348.70250575036 2605.47470483786 2704.1361777107 2603.21140011822 2060.79791685364 2021.34756344874 2068.98399924805 2003.20304596555 2138.03617427593 2348.70250575036 2605.47470483786
"X4" 1361.66472602774 1498.53203828363 1895.35445746474 1913.56611763265 2033.33052760399 2080.39245322795 1957.48435527478 1293.91892452704 1620.41361546098 2025.86316986769 2195.07229326515 2212.51390301011 2303.81223928719 2347.31808971705 2114.65377367837 1663.85517614217 992.521256420202 1088.51673751116 1395.36982525673 1811.69224103046 2007.95745417708 2202.04540576098 2291.63293933128 2233.81839668655 1991.21281560975 1634.26608081879 1316.75623085285 925.165167842031 1227.89917590551 1653.2458815461 1906.63815156136 2097.21708993851 2047.45220221723 1982.65851774647 1822.61484108276 1463.10946908078 1515.57996666115 1882.68760097614 2059.36559448659 2062.00933004529 2017.68541102264 1353.12156864943 1316.5039671096 1270.35448846696 1212.22788518877 1055.96530429605 1229.3724474097 1265.09415231562 2148.31746690371 2424.32246611488 2714.52261073001 2713.32860357824 2657.7588656191 2889.62935135694 3084.65619691808 3441.68474020082 3446.34005662432 3164.27057628114 2773.58183064257 865.197858700527 827.292738901652 696.366802290446 620.814913912299 570.509503220757 793.113714563796 1020.30204065424 1804.2961065757 2255.49317132301 2813.9862204103 2936.21049035989 2714.52261073001 2713.32860357824 2657.7588656191 2889.62935135694 3084.65619691808 3441.68474020082 3446.34005662432 3164.27057628114 2773.58183064257 423.840755090569 675.225551819656 1033.10907511449 1501.50230918173 1755.88572911887 1967.08128248772 2032.83474306735 1958.90408279609 2153.25820237791 2306.18196613585 2707.59107490095 2797.44271132411 2640.39078254617 2273.53327590056 1967.08128248772 2032.83474306735 1958.90408279609 2153.25820237791 2306.18196613585 2707.59107490095
"X5" 1328.18594952007 1427.57010687719 1995.16605772132 2018.06015439437 2106.51867075719 2166.15017154728 2066.8867268231 1402.28863848937 1570.51893454298 2072.62255587895 2198.93863538919 2221.18730514675 2324.83073587206 2379.61214740656 2217.20049824674 1645.69673004101 973.43571580462 1094.73037604515 1290.06895104436 1814.07207799531 1964.11755197392 2207.92334594943 2309.17826157076 2235.77087920686 2062.6531216065 1608.07688857005 1364.96821681202 1061.89502125199 1190.57963906859 1721.73785577854 1827.66181550562 2068.43163148569 2059.52261360796 1977.54205131097 1922.82170767205 1468.17924401093 1495.07954824475 1953.04283607591 2091.44921974462 2094.73430091464 2077.04524373259 1133.04757512199 1086.35603976179 1079.72424585042 1006.6728573832 958.338274306734 1173.39292146331 1179.31975874673 2292.23610402099 2511.80526236226 2819.06070381652 2805.98673389061 2736.94967891524 2966.39678085247 3199.18371114474 3535.08554714791 3540.33600863721 3301.47533568963 2832.73728846862 892.660385483238 843.71411644761 770.540416950827 673.776876933015 635.622527232794 920.566903339945 1051.00106055507 2255.69313332532 2390.61941321239 2989.64452941011 3096.24211756527 2819.06070381652 2805.98673389061 2736.94967891524 2966.39678085247 3199.18371114474 3535.08554714791 3540.33600863721 3301.47533568963 2832.73728846862 446.486599428042 614.191715802622 1066.96521120118 1448.42634010289 1764.39036842601 1930.17871400971 2008.63230807866 1924.82171441699 2161.56049342992 2270.50009441115 2772.27526635898 2865.76127743865 2669.25333441225 2434.45607763094 1930.17871400971 2008.63230807866 1924.82171441699 2161.56049342992 2270.50009441115 2772.27526635898
"X6" 1353.72533307559 1434.00542975602 2084.22281415769 2109.36566577334 2186.87582409352 2253.06303834978 2159.69277191319 1489.90358193371 1547.93700397518 2097.48057993677 2209.47022036051 2234.45632302374 2365.53179747668 2426.2926879398 2316.41974035306 1683.19725676929 986.467113793355 1119.19430985827 1240.46215337906 1818.65767999511 1950.07243185477 2219.73662547208 2348.04200355678 2265.11434946427 2147.70279004016 1641.47725091897 1436.37936392606 1204.82956285403 1198.63040435404 1780.6285710946 1769.72743928267 2036.80387917463 2057.21043566116 1966.3454543074 1988.90203215057 1485.93878549532 1514.71858001771 2025.97147885115 2138.66533127088 2142.30717731022 2137.94490433054 1002.96131452705 951.134017239026 974.128389054846 892.943389605987 926.582334092787 1160.76456400286 1167.2163113256 2393.7534357652 2593.4477372007 2906.97473421521 2885.59872467017 2808.38784186404 3043.67453990417 3296.64345691872 3626.34682716765 3631.85201494639 3414.59773461224 2903.44200029328 977.914726219157 923.671372269405 899.235705459135 792.049193925298 749.031363890458 1064.11413490073 1105.50915771397 2564.64334598434 2478.84081506918 3116.45723121285 3214.52517297623 2906.97473421521 2885.59872467017 2808.38784186404 3043.67453990417 3296.64345691872 3626.34682716765 3631.85201494639 3414.59773461224 2903.44200029328 538.168984216273 623.580329630545 1122.65968587171 1436.62463829476 1782.75998504718 1914.86416892563 1999.46188451555 1904.50012566963 2162.58766915248 2244.78126164149 2793.2191458956 2904.40635334266 2688.46509668961 2532.68144881214 1914.86416892563 1999.46188451555 1904.50012566963 2162.58766915248 2244.78126164149 2793.2191458956
"X7" 1428.16413531946 1506.69386756062 2159.9790619459 2185.20510415222 2270.51439396917 2337.85914445141 2234.93195268761 1551.84339534261 1549.43261028537 2102.34959248959 2226.5615564156 2252.41172870652 2423.11506830356 2485.07523446621 2410.19556352736 1768.17101702786 1025.19049227422 1157.13216863263 1240.30350020596 1824.72855823214 1963.27208564847 2237.44155378949 2405.26281142515 2318.38578051812 2242.32962177871 1725.87645267458 1524.79885016157 1340.66983047516 1244.43458058599 1828.27173817835 1732.28670510533 2004.17488141517 2043.09933632148 1950.80512245484 2023.03980821857 1513.72881142928 1567.71368972722 2097.89644125344 2197.38533100285 2201.12570423831 2198.67693498465 955.369207437269 902.834652281701 945.895174462103 862.759145739373 952.288079912882 1185.62118976178 1218.39175079394 2454.80484771192 2667.131329769 2977.75551227364 2952.11282617639 2871.51125230621 3119.64775469751 3376.8119141404 3713.64179764798 3719.09530371499 3504.35019992641 2983.28197380827 1106.52778474769 1052.13684676487 1066.77753624198 958.770117242035 897.335546240471 1213.81070638637 1177.76807390024 2724.92010641482 2523.45489409184 3196.459175993 3292.81533103715 2977.75551227364 2952.11282617639 2871.51125230621 3119.64775469751 3376.8119141404 3713.64179764798 3719.09530371499 3504.35019992641 2983.28197380827 683.454780481323 692.363700119315 1194.39926259386 1461.07004915646 1809.18522379076 1919.47583667666 2004.32681643651 1898.15653365118 2158.48720805998 2230.12722299861 2777.35981263589 2916.98881146619 2699.40598593368 2574.45915075539 1919.47583667666 2004.32681643651 1898.15653365118 2158.48720805998 2230.12722299861 2777.35981263589
"X8" 1536.90959800332 1628.8244287858 2220.34301410383 2243.92220772944 2352.78539125983 2416.9168859807 2292.50217876148 1588.90041652422 1569.81923087118 2090.62409108428 2249.6382726854 2274.81779409584 2493.32864385709 2552.58707068601 2496.43184862838 1888.3474151494 1080.76683380236 1202.33709457172 1279.40636783049 1831.36311436498 1999.10407635032 2260.57466532685 2476.31768762994 2390.15281149782 2341.34673129866 1848.32275788035 1622.11571948432 1462.28335549372 1317.0666957305 1863.57132394278 1713.6005909793 1972.83785731324 2021.03497454502 1933.34598881732 2029.80479272585 1547.99326644554 1644.27007095482 2164.75462100762 2262.70925563634 2266.33390058707 2257.25383822529 976.825353624311 927.156018693348 981.68979940472 901.703445710323 1022.40512834156 1239.04053851952 1317.05290791186 2480.08870800873 2730.85332683906 3031.81054059368 3006.18953160262 2926.11313868151 3192.24868696036 3440.39380601001 3795.01780182307 3800.17030158098 3572.85107948797 3068.85483080958 1259.35364674031 1208.88718889321 1252.80140542933 1151.5627152064 1063.15600980436 1358.19524296039 1259.71079342996 2759.62139161774 2530.83096259704 3234.74303926073 3335.50587351072 3031.81054059368 3006.18953160262 2926.11313868151 3192.24868696036 3440.39380601001 3795.01780182307 3800.17030158098 3572.85107948797 3068.85483080958 861.311695018013 804.167597240521 1274.52268245165 1513.7625860025 1841.06576947068 1940.89715341375 2021.22184624453 1905.18847261585 2152.0282766409 2227.14389791627 2734.91548599672 2909.1718430234 2704.12750821105 2570.2751121148 1940.89715341375 2021.22184624453 1905.18847261585 2152.0282766409 2227.14389791627 2734.91548599672
"X9" 1665.40853519152 1783.6427399258 2263.20532860945 2283.84114959882 2429.03825361039 2486.60802523446 2332.2807101479 1601.84589732574 1603.93190106106 2065.67946843538 2278.13278954874 2301.44381036957 2571.93494219317 2625.46530750656 2573.02348059573 2031.49592520767 1144.37623237825 1248.61050523609 1347.62904727299 1837.64037444592 2052.98195817594 2288.67863850108 2556.69932627659 2475.00417594 2439.57193829248 1995.90775994056 1720.22921036087 1562.55220394 1405.63206187953 1885.41717331301 1711.95197338048 1945.08780618865 1994.85405936055 1916.39097350575 2013.73530387624 1585.18348830135 1734.6199625975 2222.47689973343 2329.74459684526 2333.08299746703 2311.68539176865 1053.96359731702 1009.88002031752 1068.2512171321 995.439277966994 1123.93395608301 1312.13309491928 1447.46099048394 2474.26223941302 2782.59924802605 3069.52769762896 3048.47468760211 2971.97662566309 3259.4053655069 3488.0743072847 3868.51499317545 3873.17395545004 3622.19377157359 3156.76453238996 1417.27247266026 1373.72938607544 1436.96380767737 1348.07906234578 1229.1332407733 1485.80055049049 1343.28123466245 2691.83393831225 2507.29522541669 3236.35309401297 3346.94862323406 3069.52769762896 3048.47468760211 2971.97662566309 3259.4053655069 3488.0743072847 3868.51499317545 3873.17395545004 3622.19377157359 3156.76453238996 1050.74349489386 942.666731672718 1355.37814401633 1586.73479811397 1875.80758277437 1976.03090664233 2048.15555638454 1925.00872936127 2145.9770556165 2236.45053165001 2676.07336369968 2886.59482514874 2704.67385859208 2530.56181132864 1976.03090664233 2048.15555638454 1925.00872936127 2145.9770556165 2236.45053165001 2676.07336369968
"X10" 1799.13078753654 1954.43199168291 2286.43669661024 2303.26461889492 2494.61554396885 2543.29355195691 2354.12401077481 1591.43026037968 1646.62134277043 2030.87584634805 2311.48366980573 2332.06382158465 2654.70588049789 2700.35305384788 2637.8539400128 2185.41217660724 1207.20786083541 1289.75503996869 1434.86321829246 1842.63894124087 2120.34006188132 2321.30177189553 2641.910982332 2567.54354457038 2531.82186114493 2155.75169723119 1811.03953684345 1634.36413583491 1499.25439053235 1892.6837415365 1725.64367554914 1923.22411585956 1968.38870672066 1902.3637337717 1979.34337454028 1621.75417543643 1829.01154824523 2266.98351010619 2393.60073305244 2396.52592000243 2359.97637932681 1173.48233505682 1136.8562308599 1192.37706758661 1129.69300801777 1243.91113082944 1396.03198980364 1593.91370277636 2441.94680727666 2820.34054935213 3091.27567234872 3079.60022210075 3008.87448199012 3319.03922396356 3520.5198158284 3932.16410324456 3936.19356478565 3654.44910204194 3243.61751607656 1561.16878187927 1526.47783659581 1598.91915520473 1525.97488400718 1377.9075462209 1585.14055789906 1420.42509985131 2544.65789576166 2459.13797623598 3206.29093849723 3331.45888252514 3091.27567234872 3079.60022210075 3008.87448199012 3319.03922396356 3520.5198158284 3932.16410324456 3936.19356478565 3654.44910204194 3243.61751607656 1230.76616238289 1091.56621718328 1429.31461237767 1672.04272277007 1910.81995898445 2021.79572011175 2083.14811169587 1957.04467854257 2143.09988666108 2258.68039943229 2611.00119534103 2854.87973552106 2703.08424782986 2465.71013969288 2021.79572011175 2083.14811169587 1957.04467854257 2143.09988666108 2258.68039943229 2611.00119534103
