"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X1" 1349.94986616437 1980.36664840996 1982.93199450474 1968.50020279584 2263.62695180751 2265.13564792779 1338.8657865877 1982.93199450474 1968.50020279584 2263.62695180751 2265.13564792779 1706.83024263123 2331.53807727892 2329.53119268663 2326.4617242587 2331.51329714605 1955.37907317642 1706.83024263123 2331.53807727892 2329.53119268663 2326.4617242587 2331.51329714605 1955.37907317642 2162.41976120653 2244.51681716265 2244.51681716265 2053.36489414518 2053.36489414518 1726.41473934414
"X2" 1358.93418265392 1877.17862458759 1894.65328117788 1924.08013338136 2200.39449081977 2184.73757471363 1323.64828350637 1894.65328117788 1924.08013338136 2200.39449081977 2184.73757471363 1699.97562595122 2270.30710437552 2274.79513663076 2278.04782686401 2268.55880604008 1904.18017561662 1699.97562595122 2270.30710437552 2274.79513663076 2278.04782686401 2268.55880604008 1904.18017561662 2126.61862583694 2157.96795400632 2157.96795400632 1970.36380721047 1970.36380721047 1654.80370274259
"X3" 1370.02219168617 1778.96458633817 1810.93247941813 1881.90057051166 2140.88384653302 2109.04477810553 1311.57325814238 1810.93247941813 1881.90057051166 2140.88384653302 2109.04477810553 1696.11946330773 2212.80324710385 2223.40876507863 2232.91705886458 2209.75478036587 1857.48339025126 1696.11946330773 2212.80324710385 2223.40876507863 2232.91705886458 2209.75478036587 1857.48339025126 2092.72941984454 2076.91141161258 2076.91141161258 1892.98176105573 1892.98176105573 1590.26088825755
"X4" 1386.04792360301 1696.0868658323 1742.56965163416 1848.8171354745 2094.70969004525 2049.30031280096 1307.1943651079 1742.56965163416 1848.8171354745 2094.70969004525 2049.30031280096 1700.097744393 2169.26113488701 2184.98461625851 2200.87607504545 2166.31203697905 1824.37306526778 1700.097744393 2169.26113488701 2184.98461625851 2200.87607504545 2166.31203697905 1824.37306526778 2067.94797909879 2014.62334427627 2014.62334427627 1833.72627653739 1833.72627653739 1542.37086759355
"X5" 1408.55845611585 1636.27735592432 1697.52423532117 1829.7175312823 2068.86753062296 2013.78339251284 1313.72100349894 1697.52423532117 1829.7175312823 2068.86753062296 2013.78339251284 1714.99193704738 2146.94686385342 2166.30898682236 2188.74966061261 2146.12986104223 1811.30788561358 1714.99193704738 2146.94686385342 2166.30898682236 2188.74966061261 2146.12986104223 1811.30788561358 2057.35435813673 1980.6102170864 1980.6102170864 1801.67496544512 1801.67496544512 1517.53809590581
"X6" 1438.12165963071 1604.52649922641 1680.78531608845 1827.54341350029 2067.63245444329 2007.62410098953 1333.03530080607 1680.78531608845 1827.54341350029 2067.63245444329 2007.62410098953 1742.38116856713 2150.19689187338 2171.4034527021 2200.4957742791 2153.86680520552 1822.12731086353 1742.38116856713 2150.19689187338 2171.4034527021 2200.4957742791 2153.86680520552 1822.12731086353 2063.97612915397 1980.64069490825 1980.64069490825 1802.38715147585 1802.38715147585 1519.47271408487
"X7" 1472.70900820717 1597.78976616148 1688.61280332437 1839.60678489862 2087.29010896855 2026.64629744956 1363.17017661626 1688.61280332437 1839.60678489862 2087.29010896855 2026.64629744956 1779.68525049508 2174.87267466972 2196.31259697373 2231.84022004887 2184.82617640933 1853.06028739487 1779.68525049508 2174.87267466972 2196.31259697373 2231.84022004887 2184.82617640933 1853.06028739487 2084.93940482842 2009.66087076072 2009.66087076072 1831.12747044258 1831.12747044258 1544.48606207255
"X8" 1509.64651633594 1611.03473907456 1715.10470868236 1861.82396455846 2122.14598929853 2064.36808215686 1401.20496845813 1715.10470868236 1861.82396455846 2122.14598929853 2064.36808215686 1823.2918931522 2214.73450551401 2235.10299841606 2276.46673126881 2231.99145559704 1898.44951010015 1823.2918931522 2214.73450551401 2235.10299841606 2276.46673126881 2231.99145559704 1898.44951010015 2115.90674549055 2059.93497327975 2059.93497327975 1880.60992775525 1880.60992775525 1587.05827406039
"X9" 1546.26273359613 1639.25209962372 1754.38080032366 1890.12319776959 2166.52333620441 2114.32934300363 1444.22799393285 1754.38080032366 1890.12319776959 2166.52333620441 2114.32934300363 1869.59590810113 2263.56046665911 2281.85752055851 2328.07464101573 2288.36508989069 1952.65437667361 1869.59590810113 2263.56046665911 2281.85752055851 2328.07464101573 2288.36508989069 1952.65437667361 2152.55252906295 2123.75187665226 2123.75187665226 1943.57258815946 1943.57258815946 1641.68912388669
"X10" 1579.88571091938 1677.4499472352 1800.57594162725 1920.44005023548 2214.75670844554 2170.0844372568 1489.33324049111 1800.57594162725 1920.44005023548 2214.75670844554 2170.0844372568 1914.9951156091 2315.13938761819 2330.66861641166 2380.37175402669 2346.96057226359 2010.04459155622 1914.9951156091 2315.13938761819 2330.66861641166 2380.37175402669 2346.96057226359 2010.04459155622 2190.55806242945 2193.41636582965 2193.41636582965 2012.76934559037 2012.76934559037 1702.89176459224
"X11" 1607.8399663924 1720.64813249404 1847.83344290625 1948.71280862374 2261.18556485824 2225.19488577613 1533.61706003506 1847.83344290625 1948.71280862374 2261.18556485824 2225.19488577613 1955.88625465514 2363.26381274818 2375.63164151094 2427.06722599061 2400.79453077733 2064.99377873222 1955.88625465514 2363.26381274818 2375.63164151094 2427.06722599061 2400.79453077733 2064.99377873222 2225.60669883514 2261.2404154274 2261.2404154274 2080.96170664058 2080.96170664058 1765.18647926571
"X12" 1627.4434480145 1763.87260065057 1890.29842047782 1970.87788355291 2300.14785076075 2273.22207349212 1574.17486553118 1890.29842047782 1970.87788355291 2300.14785076075 2273.22207349212 1988.66089200078 2401.72297216014 2410.83816958998 2461.86444414973 2442.87882065872 2111.87309794565 1988.66089200078 2401.72297216014 2410.83816958998 2461.86444414973 2442.87882065872 2111.87309794565 2253.37895716968 2319.53447489713 2319.53447489713 2140.91058065575 2140.91058065575 1823.09443786147
"X13" 1636.0044908288 1802.1497404307 1922.1111574389 1982.86521110893 2325.97358322227 2307.7199499371 1608.09782682359 1922.1111574389 1982.86521110893 2325.97358322227 2307.7199499371 2009.70132684658 2424.2957499817 2430.36930520248 2478.45390316089 2466.21261249551 2145.04485890804 2009.70132684658 2424.2957499817 2430.36930520248 2478.45390316089 2466.21261249551 2145.04485890804 2269.54763898665 2360.59875256081 2360.59875256081 2185.36806947588 2185.36806947588 1871.13145467346
"X14" 1630.81876583769 1830.50073334119 1937.40046050358 1980.59364898454 2332.97842974324 2322.22772362322 1632.46956283368 1937.40046050358 1980.59364898454 2332.97842974324 2322.22772362322 2015.37648758925 2424.74364399671 2428.28898761079 2470.50607016402 2463.77446982741 2158.85612806552 2015.37648758925 2424.74364399671 2428.28898761079 2470.50607016402 2463.77446982741 2158.85612806552 2269.77293911269 2376.71449109749 2376.71449109749 2207.06924984088 2207.06924984088 1903.80174114635
