"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 3113.41671683185 3113.41671683185 3912.1803730137 4354.50155616413 2942.30064679743 2942.30064679743 2781.83785469412 2781.83785469412 3649.02301832281 3649.02301832281 3217.11161093806 3217.11161093806 4356.31663938599 3898.33076345231 3012.65734013557 3012.65734013557 2746.05756176238 2746.05756176238 2984.26356814464 3649.02301832281 3649.02301832281 3217.11161093806 3217.11161093806 3196.33360528641 3196.33360528641 2812.86987706549 2812.86987706549 2652.14188121647 2652.14188121647 2726.58251808975 2726.58251808975 4206.54493860124 2762.76030206678 2762.76030206678 2163.13620793375 2163.13620793375 3527.60957406256 3527.60957406256 2916.546373733 2916.546373733 2652.55810653592 2652.55810653592 2773.89624184978 2773.89624184978 2514.70636016539 2514.70636016539 2830.76805348705 2830.76805348705 3522.3629217619 3522.3629217619 4375.99778958294 2515.82953993897 2817.67280456256 2817.67280456256 3474.55109222039 3474.55109222039 2754.29629722129 2754.29629722129 3104.49122463488 2753.40777926569 2753.40777926569 3130.53481628851 3452.44722426037
"X2" 2741.56808245915 2741.56808245915 3648.06100745033 4051.09093463577 2886.76060212115 2886.76060212115 2596.29783073535 2596.29783073535 3713.7439234349 3713.7439234349 3361.83979709522 3361.83979709522 4327.66455545781 3618.25954475499 2845.95847120266 2845.95847120266 2616.50099512273 2616.50099512273 2781.14182067462 3713.7439234349 3713.7439234349 3361.83979709522 3361.83979709522 3530.01235097297 3530.01235097297 2783.10508576057 2783.10508576057 2568.87370890251 2568.87370890251 2606.17259345143 2606.17259345143 3892.41926666817 2675.42405303794 2675.42405303794 2056.69882208689 2056.69882208689 3259.8387108435 3259.8387108435 2734.1922069269 2734.1922069269 2568.57276270887 2568.57276270887 2568.28665602623 2568.28665602623 2410.14065625142 2410.14065625142 2689.57065874661 2689.57065874661 3153.81792380735 3153.81792380735 3956.91639932908 2409.62651822609 2709.30933641452 2709.30933641452 3176.87429579678 3176.87429579678 2695.43086491484 2695.43086491484 2754.37314242264 2706.37282906621 2706.37282906621 2756.82791764571 3157.75990916444
"X3" 2566.16322211089 2566.16322211089 3464.59861024087 3852.59972403453 2834.57309294485 2834.57309294485 2425.94799432757 2425.94799432757 3769.70404436226 3769.70404436226 3500.68006012206 3500.68006012206 4364.31775903047 3351.03744595454 2688.4720430993 2688.4720430993 2500.60140317623 2500.60140317623 2748.3658237155 3769.70404436226 3769.70404436226 3500.68006012206 3500.68006012206 3844.3520002562 3844.3520002562 2757.06094478591 2757.06094478591 2493.0737464847 2493.0737464847 2500.86030287329 2500.86030287329 3597.09722673337 2591.9944181015 2591.9944181015 1962.17974763216 1962.17974763216 3003.52569688858 3003.52569688858 2561.69771596186 2561.69771596186 2492.09530130192 2492.09530130192 2561.58146898281 2561.58146898281 2315.68545134771 2315.68545134771 2554.96896229204 2554.96896229204 2813.8423196137 2813.8423196137 3557.89114096674 2313.6085012433 2605.41205176703 2605.41205176703 2903.15166848179 2903.15166848179 2640.45749866333 2640.45749866333 2557.66175398388 2662.56442313623 2662.56442313623 2492.74675425785 2878.23868894142
"X4" 2519.81334163628 2519.81334163628 3338.13297732467 3728.27624192113 2790.44445930791 2790.44445930791 2288.92524148583 2288.92524148583 3805.36927434717 3805.36927434717 3617.67108084971 3617.67108084971 4411.97924543556 3118.55039438459 2555.68131965382 2555.68131965382 2411.47907687653 2411.47907687653 2817.50844200568 3805.36927434717 3805.36927434717 3617.67108084971 3617.67108084971 4102.90359367345 4102.90359367345 2737.80350609774 2737.80350609774 2435.5970275815 2435.5970275815 2428.62220718833 2428.62220718833 3348.80657026056 2518.98116851177 2518.98116851177 1891.16533061306 1891.16533061306 2781.41547315046 2781.41547315046 2415.32937852026 2415.32937852026 2434.04990611326 2434.04990611326 2676.94213937272 2676.94213937272 2242.04213526246 2242.04213526246 2439.08556555033 2439.08556555033 2539.87906977665 2539.87906977665 3226.35785136891 2238.64808291786 2514.97920925768 2514.97920925768 2683.73447970113 2683.73447970113 2595.58271614309 2595.58271614309 2483.26067944954 2627.10918176478 2627.10918176478 2336.33801972499 2641.14880602343
"X5" 2535.72080371287 2535.72080371287 3244.57719287225 3646.13262036727 2756.25356792654 2756.25356792654 2196.54198234582 2196.54198234582 3812.471827897 3812.471827897 3699.29998398915 3699.29998398915 4423.80426617392 2935.23403630654 2457.85964123181 2457.85964123181 2356.32185127897 2356.32185127897 2921.23487919779 3812.471827897 3812.471827897 3699.29998398915 3699.29998398915 4276.59317494961 4276.59317494961 2725.77855280569 2725.77855280569 2403.26793368081 2403.26793368081 2401.02276205885 2401.02276205885 3166.01333655044 2459.16219380291 2459.16219380291 1848.89147836805 1848.89147836805 2610.90844363338 2610.90844363338 2306.34159924385 2306.34159924385 2401.31428797897 2401.31428797897 2840.16341139308 2840.16341139308 2194.9038199863 2194.9038199863 2351.01194953169 2351.01194953169 2357.02997308642 2357.02997308642 2995.25287047891 2190.57077614682 2444.77420720679 2444.77420720679 2538.55307746386 2538.55307746386 2565.28366548327 2565.28366548327 2493.72799598688 2603.63369616328 2603.63369616328 2275.62533070872 2465.08327307644
"X6" 2558.82487695708 2558.82487695708 3163.81754773952 3579.21895580454 2732.48386688816 2732.48386688816 2154.9254828821 2154.9254828821 3786.20787619698 3786.20787619698 3736.35966075304 3736.35966075304 4365.34812373624 2809.58813830273 2401.04444538456 2401.04444538456 2338.36719286593 2338.36719286593 3004.65933644272 3786.20787619698 3786.20787619698 3736.35966075304 3736.35966075304 4346.05889077879 4346.05889077879 2720.44020389839 2720.44020389839 2399.83611232486 2399.83611232486 2424.33282129215 2424.33282129215 3059.23055524026 2413.54592181146 2413.54592181146 1837.07949896585 1837.07949896585 2503.55726508873 2503.55726508873 2241.66747377645 2241.66747377645 2397.67312925423 2397.67312925423 2990.87737258205 2990.87737258205 2176.77723034386 2176.77723034386 2296.79656473107 2296.79656473107 2279.85719909346 2279.85719909346 2884.57530050058 2171.97068287642 2399.35749159581 2399.35749159581 2478.92492249622 2478.92492249622 2552.39799949341 2552.39799949341 2554.85897351654 2594.40581510984 2594.40581510984 2295.60289388264 2361.27616954795
"X7" 2575.99435622225 2575.99435622225 3090.44401702154 3519.7720650765 2716.83414757453 2716.83414757453 2156.57546175631 2156.57546175631 3732.05284674757 3732.05284674757 3733.77237996902 3733.77237996902 4241.75706821155 2734.25808768485 2379.85557641891 2379.85557641891 2351.08799764385 2351.08799764385 3057.24284949721 3732.05284674757 3732.05284674757 3733.77237996902 3733.77237996902 4322.16009971877 4322.16009971877 2719.79275614776 2719.79275614776 2420.96697282016 2420.96697282016 2490.39160137736 2490.39160137736 3017.47655601122 2379.76752814899 2379.76752814899 1849.72431731068 1849.72431731068 2453.56058813537 2453.56058813537 2216.33879723956 2216.33879723956 2418.77167798994 2418.77167798994 3116.81604261468 3116.81604261468 2182.50309665435 2182.50309665435 2273.69076909896 2273.69076909896 2293.88628275178 2293.88628275178 2878.45781008044 2177.64011231033 2376.96805596492 2376.96805596492 2492.72601524703 2492.72601524703 2555.09510249809 2555.09510249809 2648.93621954728 2597.88377965147 2597.88377965147 2377.81383908883 2320.80899481368
"X8" 2584.59739766266 2584.59739766266 3022.72448937669 3464.83520948902 2706.31343955882 2706.31343955882 2190.62002022002 2190.62002022002 3658.02929765344 3658.02929765344 3699.95984885588 3699.95984885588 4068.02870299307 2697.96600522136 2386.08775556389 2386.08775556389 2385.54068415915 2385.54068415915 3079.53208288814 3658.02929765344 3658.02929765344 3699.95984885588 3699.95984885588 4223.23383572989 4223.23383572989 2721.48161063623 2721.48161063623 2460.32490123549 2460.32490123549 2587.46510899476 2587.46510899476 3024.44864029512 2354.62776547651 2354.62776547651 1878.9080159961 1878.9080159961 2450.82654343822 2450.82654343822 2222.44475104354 2222.44475104354 2458.24050744752 2458.24050744752 3217.70510868862 3217.70510868862 2205.02461867599 2205.02461867599 2276.77300167363 2276.77300167363 2377.45873335949 2377.45873335949 2952.09508493882 2200.44023648487 2374.28416995749 2374.28416995749 2562.0325656485 2562.0325656485 2570.39032813745 2570.39032813745 2762.38141926561 2611.58404988948 2611.58404988948 2502.96877772632 2329.77659810474
"X9" 2582.02667611759 2582.02667611759 2958.92937705967 3411.46406856109 2697.93673520364 2697.93673520364 2246.22450772327 2246.22450772327 3572.13677947975 3572.13677947975 3643.3078538685 3643.3078538685 3859.11422205984 2689.47745731351 2411.56724577677 2411.56724577677 2432.80666915814 2432.80666915814 3072.07697325088 3572.13677947975 3572.13677947975 3643.3078538685 3643.3078538685 4067.53090878564 4067.53090878564 2723.15496772361 2723.15496772361 2511.59529274964 2511.59529274964 2703.85509537497 2703.85509537497 3063.89953941313 2334.93643922158 2334.93643922158 1916.73079964922 1916.73079964922 2485.31765262558 2485.31765262558 2252.11080689012 2252.11080689012 2509.73136480993 2509.73136480993 3293.23249072937 3293.23249072937 2237.30407015369 2237.30407015369 2301.15212955625 2301.15212955625 2508.99655660343 2508.99655660343 3080.69662163076 2233.25168138716 2388.00706900299 2388.00706900299 2668.9853288507 2668.9853288507 2595.31362741204 2595.31362741204 2881.62996004243 2633.03493889023 2633.03493889023 2651.80296420159 2374.32969775551
"X10" 2565.69509378251 2565.69509378251 2897.32891703897 3356.72258450607 2688.72160583723 2688.72160583723 2312.57919350439 2312.57919350439 3482.36093025237 3482.36093025237 3572.17576869302 3572.17576869302 3629.93480704978 2697.58868809722 2448.14257311796 2448.14257311796 2483.98220879034 2483.98220879034 3035.43026458821 3482.36093025237 3482.36093025237 3572.17576869302 3572.17576869302 3873.23663615342 3873.23663615342 2722.46115419389 2722.46115419389 2568.4773790833 2568.4773790833 2827.88574794655 2827.88574794655 3119.61895187232 2317.50878501877 2317.50878501877 1955.30199458219 1955.30199458219 2547.03943359593 2547.03943359593 2297.489783744 2297.489783744 2566.90996037961 2566.90996037961 3343.0461193699 3343.0461193699 2272.31478770432 2272.31478770432 2341.96189496778 2341.96189496778 2666.97771596824 2666.97771596824 3239.4577863208 2268.96642318718 2414.85721277226 2414.85721277226 2795.76929633412 2795.76929633412 2626.90617398556 2626.90617398556 2993.11420037149 2659.77380471376 2659.77380471376 2805.05335480362 2440.6591533161
