"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127"
"X1" 2524.30851444465 1343.42139825705 1343.42139825705 2524.30851444465 2524.30851444465 2211.91537700557 2211.91537700557 1615.01692600474 2380.49075236728 2380.49075236728 2220.30997222202 2220.30997222202 1520.53892974176 1520.53892974176 2138.46370388823 2138.46370388823 2380.49075236728 2380.49075236728 2095.20650361716 2095.20650361716 2375.08785897344 2375.08785897344 2064.54143824541 1687.44035568187 1890.69347010407 1890.69347010407 1822.54405300705 1822.54405300705 2145.11025564511 2145.11025564511 2390.41643225355 2390.41643225355 2069.17315183944 2069.17315183944 1196.77583600132 877.76729970536 1687.44035568187 1687.44035568187 1890.69347010407 1890.69347010407 1822.54405300705 1822.54405300705 1934.72557400471 1934.72557400471 1898.06689221313 1898.06689221313 1893.75722506096 1893.75722506096 1834.81679784151 701.954868480796 1290.52579326011 1290.52579326011 1593.71734374912 1593.71734374912 1757.12465624167 1757.12465624167 1985.59628093717 1985.59628093717 1986.47007224392 1986.47007224392 2028.32804380179 2028.32804380179 1837.95044146067 1837.95044146067 1386.88962922052 1290.52579326011 1593.71734374912 1593.71734374912 1757.12465624167 1757.12465624167 1814.09732643499 1814.09732643499 1755.41961857196 1755.41961857196 1836.95155623068 1836.95155623068 1842.8355090588 1842.8355090588 1199.12177849144 1199.12177849144 1190.12064017809 1369.869703974 1506.99588096881 1506.99588096881 1514.76732062848 1514.76732062848 1887.48971538713 1887.48971538713 1818.21568698576 1818.21568698576 1927.32701829536 1927.32701829536 1797.44257889575 1797.44257889575 1353.82479553768 1353.82479553768 1241.19096275239 1241.19096275239 1369.869703974 1506.99588096881 1506.99588096881 1514.76732062848 1514.76732062848 1376.83060027342 1376.83060027342 829.664932647711 829.664932647711 855.539900216491 855.539900216491 819.70635380385 819.70635380385 573.661835941921 573.661835941921 683.374699570488 1017.03434859572 1446.59899803205 1446.59899803205 1194.61577803741 1194.61577803741 757.368123548702 757.368123548702 1419.51239788542 1419.51239788542 1012.56563627178 1446.59899803205 1446.59899803205 1194.61577803741
"X2" 2503.85405948928 1499.18878744241 1499.18878744241 2503.85405948928 2503.85405948928 2218.96118509279 2218.96118509279 1589.21927300167 2458.46116650203 2458.46116650203 2212.50035189609 2212.50035189609 1685.08945323838 1685.08945323838 2209.47939610492 2209.47939610492 2458.46116650203 2458.46116650203 2130.55504676227 2130.55504676227 2354.97148508745 2354.97148508745 2097.19016627032 1735.68581127301 1907.08775344998 1907.08775344998 1823.0127842215 1823.0127842215 2067.49434153245 2067.49434153245 2345.98911522754 2345.98911522754 2094.05665323057 2094.05665323057 1262.85088558938 935.277101269704 1735.68581127301 1735.68581127301 1907.08775344998 1907.08775344998 1823.0127842215 1823.0127842215 1882.32743861037 1882.32743861037 2023.81048690464 2023.81048690464 1975.31129990152 1975.31129990152 1782.62367235395 750.004559700254 1256.11987690721 1256.11987690721 1518.54057086948 1518.54057086948 1654.81234923969 1654.81234923969 1848.70031309833 1848.70031309833 1885.56099410006 1885.56099410006 1863.98336224611 1863.98336224611 1714.3931262087 1714.3931262087 1337.35375126571 1256.11987690721 1518.54057086948 1518.54057086948 1654.81234923969 1654.81234923969 1715.63423767503 1715.63423767503 1633.57193440252 1633.57193440252 1681.96045717492 1681.96045717492 1661.03722449345 1661.03722449345 1169.71655213056 1169.71655213056 1060.3997811445 1301.85156690728 1403.51487364174 1403.51487364174 1359.44793331521 1359.44793331521 1614.78906863385 1614.78906863385 1517.97328972258 1517.97328972258 1615.89137975106 1615.89137975106 1777.88297564106 1777.88297564106 1102.2733975781 1102.2733975781 1077.37790868308 1077.37790868308 1301.85156690728 1403.51487364174 1403.51487364174 1359.44793331521 1359.44793331521 1137.22612685262 1137.22612685262 687.829691749011 687.829691749011 758.906363227915 758.906363227915 686.539361183201 686.539361183201 501.559642963901 501.559642963901 669.330791805215 1026.61494221492 1365.7429065013 1365.7429065013 1075.0339226359 1075.0339226359 794.723103976532 794.723103976532 1115.49342651571 1115.49342651571 1096.33343289816 1365.7429065013 1365.7429065013 1075.0339226359
"X3" 2495.71893096286 1655.52705220621 1655.52705220621 2495.71893096286 2495.71893096286 2238.39284837963 2238.39284837963 1574.627736905 2541.98865995875 2541.98865995875 2217.79972466312 2217.79972466312 1850.0238601454 1850.0238601454 2285.73072410359 2285.73072410359 2541.98865995875 2541.98865995875 2170.4140826325 2170.4140826325 2344.14526167714 2344.14526167714 2131.48087005183 1789.87802383139 1927.84130124874 1927.84130124874 1826.2548422479 1826.2548422479 2000.87568684305 2000.87568684305 2312.17023109493 2312.17023109493 2120.98846758122 2120.98846758122 1329.36702633098 997.718388931421 1789.87802383139 1789.87802383139 1927.84130124874 1927.84130124874 1826.2548422479 1826.2548422479 1832.40117308026 1832.40117308026 2132.93207563833 2132.93207563833 2049.3244591968 2049.3244591968 1732.86657014038 749.829695925429 1229.96455120742 1229.96455120742 1449.17669101062 1449.17669101062 1555.73066226577 1555.73066226577 1716.83180851117 1716.83180851117 1783.7505298905 1783.7505298905 1705.90933221486 1705.90933221486 1597.13060081986 1597.13060081986 1296.74715053222 1229.96455120742 1449.17669101062 1449.17669101062 1555.73066226577 1555.73066226577 1614.99779322896 1614.99779322896 1515.20372514622 1515.20372514622 1536.23293019706 1536.23293019706 1498.77228967782 1498.77228967782 1154.82104161817 1154.82104161817 1102.49182721422 1242.68803489788 1304.17414806089 1304.17414806089 1211.64836391595 1211.64836391595 1350.22830846268 1350.22830846268 1229.70833442823 1229.70833442823 1322.37388391862 1322.37388391862 1436.50636381729 1436.50636381729 873.449538219073 873.449538219073 936.747572270317 936.747572270317 1242.68803489788 1304.17414806089 1304.17414806089 1211.64836391595 1211.64836391595 916.694773037085 916.694773037085 566.850174036138 566.850174036138 678.857711604885 678.857711604885 575.196905860459 575.196905860459 448.603841725625 448.603841725625 671.665713127602 971.667513507549 1290.95237651994 1290.95237651994 962.288017452055 962.288017452055 698.035002018907 698.035002018907 831.797315975434 831.797315975434 1182.77134782304 1290.95237651994 1290.95237651994 962.288017452055
"X4" 2514.14391073433 1807.17988907311 1807.17988907311 2514.14391073433 2514.14391073433 2284.27494868656 2284.27494868656 1584.55242343491 2636.05607894846 2636.05607894846 2251.69816620725 2251.69816620725 2010.02626940298 2010.02626940298 2370.84510047766 2370.84510047766 2636.05607894846 2636.05607894846 2221.24391535017 2221.24391535017 2352.96384191113 2352.96384191113 2169.50192918331 1853.65133425321 1958.98904458065 1958.98904458065 1837.41842682405 1837.41842682405 1962.65502603015 1962.65502603015 2301.67537765749 2301.67537765749 2152.80042808471 2152.80042808471 1394.51175239714 1066.05144057962 1853.65133425321 1853.65133425321 1958.98904458065 1958.98904458065 1837.41842682405 1837.41842682405 1789.47591878783 1789.47591878783 2208.19001559786 2208.19001559786 2106.97270141736 2106.97270141736 1690.31053549019 738.204667120197 1222.17677518077 1222.17677518077 1395.46675645572 1395.46675645572 1468.71714284871 1468.71714284871 1602.67610217166 1602.67610217166 1688.26122860261 1688.26122860261 1569.63613490952 1569.63613490952 1497.37119075914 1497.37119075914 1275.28186331045 1222.17677518077 1395.46675645572 1395.46675645572 1468.71714284871 1468.71714284871 1515.85717121311 1515.85717121311 1408.09953296843 1408.09953296843 1414.46698798549 1414.46698798549 1382.42827739661 1382.42827739661 1166.16516700586 1166.16516700586 1255.65191135292 1201.68753398408 1218.20108361582 1218.20108361582 1085.09446708686 1085.09446708686 1114.66722301727 1114.66722301727 978.225540085838 978.225540085838 1077.03212905931 1077.03212905931 982.035623766234 982.035623766234 703.277582210702 703.277582210702 849.386094185355 849.386094185355 1201.68753398408 1218.20108361582 1218.20108361582 1085.09446708686 1085.09446708686 742.922000503316 742.922000503316 498.943395660257 498.943395660257 635.872571710261 635.872571710261 513.893292407961 513.893292407961 439.947567570314 439.947567570314 707.941061936257 911.547787770847 1231.83701639952 1231.83701639952 868.998190129691 868.998190129691 560.020315779388 560.020315779388 604.118303369181 604.118303369181 1269.56400489856 1231.83701639952 1231.83701639952 868.998190129691
"X5" 2568.6249206012 1948.34452262111 1948.34452262111 2568.6249206012 2568.6249206012 2366.38713917848 2366.38713917848 1627.93377765748 2743.87534261236 2743.87534261236 2325.1078682281 2325.1078682281 2159.61636441907 2159.61636441907 2466.27227470592 2466.27227470592 2743.87534261236 2743.87534261236 2288.17902415848 2288.17902415848 2388.65123084433 2388.65123084433 2214.11144864069 1928.02697987569 2004.70968513207 2004.70968513207 1860.43642401881 1860.43642401881 1966.40198028451 1966.40198028451 2323.55981756443 2323.55981756443 2192.93237823349 2192.93237823349 1456.33090868913 1138.72570002656 1928.02697987569 1928.02697987569 2004.70968513207 2004.70968513207 1860.43642401881 1860.43642401881 1758.19093344523 1758.19093344523 2238.47375335414 2238.47375335414 2142.91854372348 2142.91854372348 1658.72750994038 743.771986666638 1238.55488213006 1238.55488213006 1364.47489001964 1364.47489001964 1401.58592988228 1401.58592988228 1518.03300068216 1518.03300068216 1607.34499646872 1607.34499646872 1468.54460278995 1468.54460278995 1423.92523341274 1423.92523341274 1279.05002112951 1238.55488213006 1364.47489001964 1364.47489001964 1401.58592988228 1401.58592988228 1423.01028499745 1423.01028499745 1318.55173492244 1318.55173492244 1327.10178851521 1327.10178851521 1327.69815259745 1327.69815259745 1208.63194958569 1208.63194958569 1457.14253912999 1184.79281490976 1153.219453161 1153.219453161 990.552060036001 990.552060036001 926.101304719205 926.101304719205 783.56687228457 783.56687228457 902.239313946837 902.239313946837 593.038916241319 593.038916241319 615.512364929267 615.512364929267 833.151383197442 833.151383197442 1184.79281490976 1153.219453161 1153.219453161 990.552060036001 990.552060036001 633.74473381061 633.74473381061 501.838890301655 501.838890301655 642.298877895027 642.298877895027 519.476738325892 519.476738325892 489.907206329447 489.907206329447 786.775989980119 892.866694731681 1195.05233650937 1195.05233650937 804.390044314268 804.390044314268 456.993742077204 456.993742077204 456.536809733261 456.536809733261 1352.92146510047 1195.05233650937 1195.05233650937 804.390044314268
"X6" 2664.07297981375 2073.87450139368 2073.87450139368 2664.07297981375 2664.07297981375 2489.96272454835 2489.96272454835 1709.48009893529 2866.70828758131 2866.70828758131 2444.02318731499 2444.02318731499 2294.03824384951 2294.03824384951 2571.74872732325 2571.74872732325 2866.70828758131 2866.70828758131 2374.24859061779 2374.24859061779 2455.18621715677 2455.18621715677 2267.57970312794 2012.33301073026 2067.18277125886 2067.18277125886 1897.69994700996 1897.69994700996 2020.68414161963 2020.68414161963 2383.00906952968 2383.00906952968 2244.04111358371 2244.04111358371 1513.08150093995 1213.21189010174 2012.33301073026 2012.33301073026 2067.18277125886 2067.18277125886 1897.69994700996 1897.69994700996 1742.22003933254 1742.22003933254 2224.24351117996 2224.24351117996 2154.51740398531 2154.51740398531 1640.74869713556 786.305196930625 1281.60714931924 1281.60714931924 1360.50537599925 1360.50537599925 1360.08046653988 1360.08046653988 1471.730922725 1471.730922725 1547.14187684542 1547.14187684542 1412.22724405203 1412.22724405203 1382.78750786508 1382.78750786508 1310.96629788977 1281.60714931924 1360.50537599925 1360.50537599925 1360.08046653988 1360.08046653988 1341.02631821246 1341.02631821246 1251.17852080068 1251.17852080068 1280.67746940673 1280.67746940673 1342.47482759439 1342.47482759439 1283.00313738433 1283.00313738433 1654.01273203907 1195.06528271552 1114.5760872469 1114.5760872469 935.360438525363 935.360438525363 797.700752827721 797.700752827721 659.69367652224 659.69367652224 812.334782384524 812.334782384524 402.676609653572 402.676609653572 623.497161577086 623.497161577086 896.569819356227 896.569819356227 1195.06528271552 1114.5760872469 1114.5760872469 935.360438525363 935.360438525363 599.144102301038 599.144102301038 583.322603876443 583.322603876443 704.195801779338 704.195801779338 600.053348057256 600.053348057256 604.681540102175 604.681540102175 910.738475745859 947.734149095239 1184.57191793472 1184.57191793472 774.382916500803 774.382916500803 444.381203094279 444.381203094279 403.212357933324 403.212357933324 1429.03036454725 1184.57191793472 1184.57191793472 774.382916500803
"X7" 2792.12225372523 2181.47510096642 2181.47510096642 2792.12225372523 2792.12225372523 2646.6901737686 2646.6901737686 1821.64356971659 2999.90157344457 2999.90157344457 2599.74874122648 2599.74874122648 2411.31215587121 2411.31215587121 2682.33733707831 2682.33733707831 2999.90157344457 2999.90157344457 2475.6239573395 2475.6239573395 2546.95555032884 2546.95555032884 2329.2501686173 2101.69021733213 2142.60554138591 2142.60554138591 1946.81641271058 1946.81641271058 2118.47024866964 2118.47024866964 2473.72325410835 2473.72325410835 2305.26158910997 2305.26158910997 1563.90104961972 1285.39038666854 2101.69021733213 2101.69021733213 2142.60554138591 2142.60554138591 1946.81641271058 1946.81641271058 1741.51401531292 1741.51401531292 2176.16439867568 2176.16439867568 2146.2776811146 2146.2776811146 1635.58956163708 859.664727166266 1345.13273725227 1345.13273725227 1379.86125389168 1379.86125389168 1343.05727842286 1343.05727842286 1462.19274575912 1462.19274575912 1509.28105062135 1509.28105062135 1397.89835804313 1397.89835804313 1371.44856896177 1371.44856896177 1365.50296619689 1345.13273725227 1379.86125389168 1379.86125389168 1343.05727842286 1343.05727842286 1272.72639641111 1272.72639641111 1205.6498087048 1205.6498087048 1270.76184288106 1270.76184288106 1414.51640648134 1414.51640648134 1380.45892422328 1380.45892422328 1830.18586522149 1227.5761877524 1100.45004097543 1100.45004097543 916.549794469139 916.549794469139 727.026164709834 727.026164709834 601.86032415665 601.86032415665 798.253964426053 798.253964426053 402.835879509541 402.835879509541 711.857164889471 711.857164889471 1023.50851924335 1023.50851924335 1227.5761877524 1100.45004097543 1100.45004097543 916.549794469139 916.549794469139 628.042072930332 628.042072930332 726.238215776888 726.238215776888 810.910512516414 810.910512516414 740.548362743176 740.548362743176 769.160233786345 769.160233786345 1067.22506607483 1065.3744935057 1196.82291491371 1196.82291491371 775.407041690552 775.407041690552 514.474083377165 514.474083377165 431.020977489325 431.020977489325 1495.19537310203 1196.82291491371 1196.82291491371 775.407041690552
"X8" 2941.11330473118 2269.54807680176 2269.54807680176 2941.11330473118 2941.11330473118 2824.89775048205 2824.89775048205 1953.83648875795 3137.33009412836 3137.33009412836 2779.94578254323 2779.94578254323 2510.136681656 2510.136681656 2791.93535173052 2791.93535173052 3137.33009412836 3137.33009412836 2586.77366541782 2586.77366541782 2655.96794580231 2655.96794580231 2397.74134014094 2190.17051119227 2225.68966330521 2225.68966330521 2004.20685682125 2004.20685682125 2248.86453894413 2248.86453894413 2586.5561342906 2586.5561342906 2374.85661172323 2374.85661172323 1608.14170321712 1350.74076235663 2190.17051119227 2190.17051119227 2225.68966330521 2225.68966330521 2004.20685682125 2004.20685682125 1755.10576365818 1755.10576365818 2106.89959787342 2106.89959787342 2124.48013147735 2124.48013147735 1641.62262669586 951.257351975255 1420.7692286532 1420.7692286532 1416.86439522076 1416.86439522076 1347.67217834144 1347.67217834144 1485.27115527809 1485.27115527809 1494.36304894654 1494.36304894654 1419.71312694419 1419.71312694419 1385.29819275039 1385.29819275039 1435.03978376833 1420.7692286532 1416.86439522076 1416.86439522076 1347.67217834144 1347.67217834144 1220.50745537454 1220.50745537454 1180.41748880004 1180.41748880004 1290.2100600035 1290.2100600035 1526.59285296635 1526.59285296635 1489.79665655878 1489.79665655878 1978.82493627735 1275.41737273796 1107.24927388725 1107.24927388725 928.603991092697 928.603991092697 707.785325222657 707.785325222657 600.700679163526 600.700679163526 845.144326007518 845.144326007518 550.125053052208 550.125053052208 858.102352390098 858.102352390098 1191.71955426034 1191.71955426034 1275.41737273796 1107.24927388725 1107.24927388725 928.603991092697 928.603991092697 704.148087623128 704.148087623128 907.240673744688 907.240673744688 947.647624860233 947.647624860233 920.138836154916 920.138836154916 962.943354703473 962.943354703473 1239.86354008837 1224.32366019826 1226.36461518218 1226.36461518218 801.546387939141 801.546387939141 643.845569866637 643.845569866637 520.08425192668 520.08425192668 1548.9913150979 1226.36461518218 1226.36461518218 801.546387939141
"X9" 3099.41050515655 2336.47234596623 2336.47234596623 3099.41050515655 3099.41050515655 3012.93800943505 3012.93800943505 2095.49394003363 3272.87279552191 3272.87279552191 2972.30330949706 2972.30330949706 2589.18877594446 2589.18877594446 2894.43855310646 2894.43855310646 3272.87279552191 3272.87279552191 2702.17683151639 2702.17683151639 2774.25160806706 2774.25160806706 2471.67928685004 2271.84474469551 2311.15546701982 2311.15546701982 2066.30179192698 2066.30179192698 2401.00818581614 2401.00818581614 2712.38656305387 2712.38656305387 2451.09835074245 2451.09835074245 1645.14787831907 1404.73468702289 2271.84474469551 2271.84474469551 2311.15546701982 2311.15546701982 2066.30179192698 2066.30179192698 1782.04420737614 1782.04420737614 2029.08777060479 2029.08777060479 2095.38989385177 2095.38989385177 1657.23345933642 1048.51056957579 1500.16782407674 1500.16782407674 1465.85699823926 1465.85699823926 1371.10607981089 1371.10607981089 1536.8561186316 1536.8561186316 1503.01413735703 1503.01413735703 1471.86816834116 1471.86816834116 1419.75541317246 1419.75541317246 1511.97389608834 1500.16782407674 1465.85699823926 1465.85699823926 1371.10607981089 1371.10607981089 1186.78516350485 1186.78516350485 1173.95711496206 1173.95711496206 1331.91118859215 1331.91118859215 1661.51956132068 1661.51956132068 1599.82748641249 1599.82748641249 2093.11944368536 1331.69871668647 1131.40602254983 1131.40602254983 966.042822703397 966.042822703397 733.745631062544 733.745631062544 646.914403221044 646.914403221044 938.223475141695 938.223475141695 801.157172405161 801.157172405161 1039.80818084336 1039.80818084336 1379.00172493344 1379.00172493344 1331.69871668647 1131.40602254983 1131.40602254983 966.042822703397 966.042822703397 811.226576086116 811.226576086116 1103.02689392213 1103.02689392213 1099.64592041224 1099.64592041224 1118.04614044387 1118.04614044387 1165.66335738746 1165.66335738746 1412.29967913608 1403.14078323603 1267.77632649647 1267.77632649647 846.914060399329 846.914060399329 809.132133138643 809.132133138643 650.594229418091 650.594229418091 1587.97882118832 1267.77632649647 1267.77632649647 846.914060399329
"X10" 3255.38880147107 2380.60213457872 2380.60213457872 3255.38880147107 3255.38880147107 3199.17454211498 3199.17454211498 2236.0617757947 3400.40570362502 3400.40570362502 3164.52405822639 3164.52405822639 2647.12225106797 2647.12225106797 2983.73431236585 2983.73431236585 3400.40570362502 3400.40570362502 2816.31686642547 2816.31686642547 2893.84515434899 2893.84515434899 2549.69607766713 2340.77596475606 2393.72594610092 2393.72594610092 2129.53715574063 2129.53715574063 2564.06695089106 2564.06695089106 2842.10810117057 2842.10810117057 2532.2663615044 2532.2663615044 1674.25550868024 1442.83077179603 2340.77596475606 2340.77596475606 2393.72594610092 2393.72594610092 2129.53715574063 2129.53715574063 1821.3931951944 1821.3931951944 1955.35744800099 1955.35744800099 2065.26361380278 2065.26361380278 1680.81883749383 1138.85885692533 1574.98385382385 1574.98385382385 1521.19516352499 1521.19516352499 1410.5618005589 1410.5618005589 1612.87021209852 1612.87021209852 1535.88703268342 1535.88703268342 1548.59494693197 1548.59494693197 1470.26331732559 1470.26331732559 1588.71119221512 1574.98385382385 1521.19516352499 1521.19516352499 1410.5618005589 1410.5618005589 1173.99667992968 1173.99667992968 1184.76617570518 1184.76617570518 1388.78013304568 1388.78013304568 1802.13782755779 1802.13782755779 1699.36363696659 1699.36363696659 2166.27682384002 1389.54029590635 1169.37275233653 1169.37275233653 1023.41579049703 1023.41579049703 798.72702158508 798.72702158508 731.256398972249 731.256398972249 1062.76236595042 1062.76236595042 1112.50216190488 1112.50216190488 1234.59011368596 1234.59011368596 1563.17533140401 1563.17533140401 1389.54029590635 1169.37275233653 1169.37275233653 1023.41579049703 1023.41579049703 933.078518164787 933.078518164787 1290.30930669025 1290.30930669025 1252.1615657245 1252.1615657245 1313.51235233242 1313.51235233242 1356.96194107397 1356.96194107397 1568.17867825731 1580.38433585479 1315.65122072767 1315.65122072767 905.645620302877 905.645620302877 987.008348435251 987.008348435251 802.790943941013 802.790943941013 1609.70154696393 1315.65122072767 1315.65122072767 905.645620302877
