"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106"
"X1" 782.126803654149 782.126803654149 782.126803654149 782.126803654149 782.126803654149 782.126803654149 423.904756520936 457.264263668668 782.126803654149 782.126803654149 782.126803654149 423.904756520936 457.264263668668 782.126803654149 782.126803654149 782.126803654149 423.904756520936 457.264263668668 745.250938964485 745.250938964485 745.250938964485 383.237402460988 439.169903229998 439.169903229998 764.927447689833 764.927447689833 764.927447689833 764.927447689833 383.237402460988 439.169903229998 764.927447689833 764.927447689833 764.927447689833 764.927447689833 764.927447689833 584.233581403907 606.07138219521 764.927447689833 764.927447689833 764.927447689833 764.927447689833 764.927447689833 584.233581403907 606.07138219521 606.07138219521 606.07138219521 764.927447689833 764.927447689833 764.927447689833 764.927447689833 764.927447689833 584.233581403907 606.07138219521 606.07138219521 606.07138219521 764.927447689833 764.927447689833 764.927447689833 764.927447689833 764.927447689833 584.233581403907 606.07138219521 606.07138219521 606.07138219521 786.294560830414 786.294560830414 786.294560830414 786.294560830414 786.294560830414 538.091068593225 604.084963523822 604.084963523822 604.084963523822 417.297004754797 417.297004754797 417.297004754797 417.297004754797 417.297004754797 538.091068593225 604.084963523822 604.084963523822 604.084963523822 417.297004754797 417.297004754797 417.297004754797 417.297004754797 417.297004754797 411.572163747702 423.254233931449 417.297004754797 417.297004754797 417.297004754797 417.297004754797 411.572163747702 411.572163747702 423.254233931449 417.297004754797 417.297004754797 417.297004754797 417.297004754797 411.572163747702 411.572163747702 417.297004754797 417.297004754797 417.297004754797 411.572163747702
"X2" 702.685773644364 702.685773644364 702.685773644364 702.685773644364 702.685773644364 702.685773644364 413.687595653097 397.063874256547 702.685773644364 702.685773644364 702.685773644364 413.687595653097 397.063874256547 702.685773644364 702.685773644364 702.685773644364 413.687595653097 397.063874256547 724.945545582776 724.945545582776 724.945545582776 438.528868625531 406.078838920107 406.078838920107 743.557970660425 743.557970660425 743.557970660425 743.557970660425 438.528868625531 406.078838920107 743.557970660425 743.557970660425 743.557970660425 743.557970660425 743.557970660425 605.663975092674 564.974812337149 743.557970660425 743.557970660425 743.557970660425 743.557970660425 743.557970660425 605.663975092674 564.974812337149 564.974812337149 564.974812337149 743.557970660425 743.557970660425 743.557970660425 743.557970660425 743.557970660425 605.663975092674 564.974812337149 564.974812337149 564.974812337149 743.557970660425 743.557970660425 743.557970660425 743.557970660425 743.557970660425 605.663975092674 564.974812337149 564.974812337149 564.974812337149 727.788382355879 727.788382355879 727.788382355879 727.788382355879 727.788382355879 653.706363248588 574.427046832091 574.427046832091 574.427046832091 419.540400971166 419.540400971166 419.540400971166 419.540400971166 419.540400971166 653.706363248588 574.427046832091 574.427046832091 574.427046832091 419.540400971166 419.540400971166 419.540400971166 419.540400971166 419.540400971166 423.634334567244 415.774186316325 419.540400971166 419.540400971166 419.540400971166 419.540400971166 423.634334567244 423.634334567244 415.774186316325 419.540400971166 419.540400971166 419.540400971166 419.540400971166 423.634334567244 423.634334567244 419.540400971166 419.540400971166 419.540400971166 423.634334567244
"X3" 633.813593817512 633.813593817512 633.813593817512 633.813593817512 633.813593817512 633.813593817512 410.773297236171 346.610951300295 633.813593817512 633.813593817512 633.813593817512 410.773297236171 346.610951300295 633.813593817512 633.813593817512 633.813593817512 410.773297236171 346.610951300295 712.267314320748 712.267314320748 712.267314320748 497.568198861207 381.428411795641 381.428411795641 726.190710992225 726.190710992225 726.190710992225 726.190710992225 497.568198861207 381.428411795641 726.190710992225 726.190710992225 726.190710992225 726.190710992225 726.190710992225 629.408374412886 528.98609166304 726.190710992225 726.190710992225 726.190710992225 726.190710992225 726.190710992225 629.408374412886 528.98609166304 528.98609166304 528.98609166304 726.190710992225 726.190710992225 726.190710992225 726.190710992225 726.190710992225 629.408374412886 528.98609166304 528.98609166304 528.98609166304 726.190710992225 726.190710992225 726.190710992225 726.190710992225 726.190710992225 629.408374412886 528.98609166304 528.98609166304 528.98609166304 675.336024924802 675.336024924802 675.336024924802 675.336024924802 675.336024924802 635.289705150448 549.093615069304 549.093615069304 549.093615069304 425.999237975499 425.999237975499 425.999237975499 425.999237975499 425.999237975499 635.289705150448 549.093615069304 549.093615069304 549.093615069304 425.999237975499 425.999237975499 425.999237975499 425.999237975499 425.999237975499 438.770234544245 412.482778821956 425.999237975499 425.999237975499 425.999237975499 425.999237975499 438.770234544245 438.770234544245 412.482778821956 425.999237975499 425.999237975499 425.999237975499 425.999237975499 438.770234544245 438.770234544245 425.999237975499 425.999237975499 425.999237975499 438.770234544245
"X4" 590.281865004896 590.281865004896 590.281865004896 590.281865004896 590.281865004896 590.281865004896 423.139960038689 318.938040056673 590.281865004896 590.281865004896 590.281865004896 423.139960038689 318.938040056673 590.281865004896 590.281865004896 590.281865004896 423.139960038689 318.938040056673 716.359677847098 716.359677847098 716.359677847098 561.615758601797 375.494501973238 375.494501973238 718.429033870563 718.429033870563 718.429033870563 718.429033870563 561.615758601797 375.494501973238 718.429033870563 718.429033870563 718.429033870563 718.429033870563 718.429033870563 658.01296586062 505.725932506212 718.429033870563 718.429033870563 718.429033870563 718.429033870563 718.429033870563 658.01296586062 505.725932506212 505.725932506212 505.725932506212 718.429033870563 718.429033870563 718.429033870563 718.429033870563 718.429033870563 658.01296586062 505.725932506212 505.725932506212 505.725932506212 718.429033870563 718.429033870563 718.429033870563 718.429033870563 718.429033870563 658.01296586062 505.725932506212 505.725932506212 505.725932506212 638.138563987671 638.138563987671 638.138563987671 638.138563987671 638.138563987671 554.602458270252 534.453557676223 534.453557676223 534.453557676223 440.876395165587 440.876395165587 440.876395165587 440.876395165587 440.876395165587 554.602458270252 534.453557676223 534.453557676223 534.453557676223 440.876395165587 440.876395165587 440.876395165587 440.876395165587 440.876395165587 460.307882447162 418.523053252287 440.876395165587 440.876395165587 440.876395165587 440.876395165587 460.307882447162 460.307882447162 418.523053252287 440.876395165587 440.876395165587 440.876395165587 440.876395165587 460.307882447162 460.307882447162 440.876395165587 440.876395165587 440.876395165587 460.307882447162
"X5" 581.33676646962 581.33676646962 581.33676646962 581.33676646962 581.33676646962 581.33676646962 454.679023163867 321.82066102498 581.33676646962 581.33676646962 581.33676646962 454.679023163867 321.82066102498 581.33676646962 581.33676646962 581.33676646962 454.679023163867 321.82066102498 742.063700872751 742.063700872751 742.063700872751 629.474631634226 393.933250997844 393.933250997844 723.6694309743 723.6694309743 723.6694309743 723.6694309743 629.474631634226 393.933250997844 723.6694309743 723.6694309743 723.6694309743 723.6694309743 723.6694309743 692.455779158363 500.210813427045 723.6694309743 723.6694309743 723.6694309743 723.6694309743 723.6694309743 692.455779158363 500.210813427045 500.210813427045 500.210813427045 723.6694309743 723.6694309743 723.6694309743 723.6694309743 723.6694309743 692.455779158363 500.210813427045 500.210813427045 500.210813427045 723.6694309743 723.6694309743 723.6694309743 723.6694309743 723.6694309743 692.455779158363 500.210813427045 500.210813427045 500.210813427045 622.371297803097 622.371297803097 622.371297803097 622.371297803097 622.371297803097 474.895087925499 534.603356227399 534.603356227399 534.603356227399 466.028818972805 466.028818972805 466.028818972805 466.028818972805 466.028818972805 474.895087925499 534.603356227399 534.603356227399 534.603356227399 466.028818972805 466.028818972805 466.028818972805 466.028818972805 466.028818972805 489.656570848245 436.742204234985 466.028818972805 466.028818972805 466.028818972805 466.028818972805 489.656570848245 489.656570848245 436.742204234985 466.028818972805 466.028818972805 466.028818972805 466.028818972805 489.656570848245 489.656570848245 466.028818972805 466.028818972805 466.028818972805 489.656570848245
"X6" 611.702785859427 611.702785859427 611.702785859427 611.702785859427 611.702785859427 611.702785859427 506.54294927137 358.961408465911 611.702785859427 611.702785859427 611.702785859427 506.54294927137 358.961408465911 611.702785859427 611.702785859427 611.702785859427 506.54294927137 358.961408465911 791.173509746778 791.173509746778 791.173509746778 699.002363073892 439.054900834558 439.054900834558 743.550469234008 743.550469234008 743.550469234008 743.550469234008 699.002363073892 439.054900834558 743.550469234008 743.550469234008 743.550469234008 743.550469234008 743.550469234008 732.690091849744 515.170080389411 743.550469234008 743.550469234008 743.550469234008 743.550469234008 743.550469234008 732.690091849744 515.170080389411 515.170080389411 515.170080389411 743.550469234008 743.550469234008 743.550469234008 743.550469234008 743.550469234008 732.690091849744 515.170080389411 515.170080389411 515.170080389411 743.550469234008 743.550469234008 743.550469234008 743.550469234008 743.550469234008 732.690091849744 515.170080389411 515.170080389411 515.170080389411 631.497755214037 631.497755214037 631.497755214037 631.497755214037 631.497755214037 444.258721936974 551.697177150686 551.697177150686 551.697177150686 501.7944777093 501.7944777093 501.7944777093 501.7944777093 501.7944777093 444.258721936974 551.697177150686 551.697177150686 551.697177150686 501.7944777093 501.7944777093 501.7944777093 501.7944777093 501.7944777093 526.989046199697 468.272700302611 501.7944777093 501.7944777093 501.7944777093 501.7944777093 526.989046199697 526.989046199697 468.272700302611 501.7944777093 501.7944777093 501.7944777093 501.7944777093 526.989046199697 526.989046199697 501.7944777093 501.7944777093 501.7944777093 526.989046199697
"X7" 673.808281105812 673.808281105812 673.808281105812 673.808281105812 673.808281105812 673.808281105812 573.054094358832 423.225980482428 673.808281105812 673.808281105812 673.808281105812 573.054094358832 423.225980482428 673.808281105812 673.808281105812 673.808281105812 573.054094358832 423.225980482428 857.67982460989 857.67982460989 857.67982460989 766.567741980535 504.516912231251 504.516912231251 774.977275880331 774.977275880331 774.977275880331 774.977275880331 766.567741980535 504.516912231251 774.977275880331 774.977275880331 774.977275880331 774.977275880331 774.977275880331 776.131991947729 546.950021699604 774.977275880331 774.977275880331 774.977275880331 774.977275880331 774.977275880331 776.131991947729 546.950021699604 546.950021699604 546.950021699604 774.977275880331 774.977275880331 774.977275880331 774.977275880331 774.977275880331 776.131991947729 546.950021699604 546.950021699604 546.950021699604 774.977275880331 774.977275880331 774.977275880331 774.977275880331 774.977275880331 776.131991947729 546.950021699604 546.950021699604 546.950021699604 661.364624550114 661.364624550114 661.364624550114 661.364624550114 661.364624550114 462.435527780843 582.518652967085 582.518652967085 582.518652967085 544.784487412148 544.784487412148 544.784487412148 544.784487412148 544.784487412148 462.435527780843 582.518652967085 582.518652967085 582.518652967085 544.784487412148 544.784487412148 544.784487412148 544.784487412148 544.784487412148 569.450059968615 509.743718761191 544.784487412148 544.784487412148 544.784487412148 544.784487412148 569.450059968615 569.450059968615 509.743718761191 544.784487412148 544.784487412148 544.784487412148 544.784487412148 569.450059968615 569.450059968615 544.784487412148 544.784487412148 544.784487412148 569.450059968615
"X8" 757.03268992174 757.03268992174 757.03268992174 757.03268992174 757.03268992174 757.03268992174 646.838032517826 504.791904793584 757.03268992174 757.03268992174 757.03268992174 646.838032517826 504.791904793584 757.03268992174 757.03268992174 757.03268992174 646.838032517826 504.791904793584 933.635673368297 933.635673368297 933.635673368297 828.164437907897 581.828997239492 581.828997239492 813.680692820871 813.680692820871 813.680692820871 813.680692820871 828.164437907897 581.828997239492 813.680692820871 813.680692820871 813.680692820871 813.680692820871 813.680692820871 819.565161323363 590.314600839445 813.680692820871 813.680692820871 813.680692820871 813.680692820871 813.680692820871 819.565161323363 590.314600839445 590.314600839445 590.314600839445 813.680692820871 813.680692820871 813.680692820871 813.680692820871 813.680692820871 819.565161323363 590.314600839445 590.314600839445 590.314600839445 813.680692820871 813.680692820871 813.680692820871 813.680692820871 813.680692820871 819.565161323363 590.314600839445 590.314600839445 590.314600839445 705.931117567781 705.931117567781 705.931117567781 705.931117567781 705.931117567781 517.07993348661 622.51967519036 622.51967519036 622.51967519036 590.683444417795 590.683444417795 590.683444417795 590.683444417795 590.683444417795 517.07993348661 622.51967519036 622.51967519036 622.51967519036 590.683444417795 590.683444417795 590.683444417795 590.683444417795 590.683444417795 613.430846422929 556.666101662526 590.683444417795 590.683444417795 590.683444417795 590.683444417795 613.430846422929 613.430846422929 556.666101662526 590.683444417795 590.683444417795 590.683444417795 590.683444417795 613.430846422929 613.430846422929 590.683444417795 590.683444417795 590.683444417795 613.430846422929
"X9" 850.779505249229 850.779505249229 850.779505249229 850.779505249229 850.779505249229 850.779505249229 720.528305151084 593.856119023391 850.779505249229 850.779505249229 850.779505249229 720.528305151084 593.856119023391 850.779505249229 850.779505249229 850.779505249229 720.528305151084 593.856119023391 1011.10473054165 1011.10473054165 1011.10473054165 879.779004250797 662.51405505038 662.51405505038 855.399896299078 855.399896299078 855.399896299078 855.399896299078 879.779004250797 662.51405505038 855.399896299078 855.399896299078 855.399896299078 855.399896299078 855.399896299078 859.773081361102 640.041017593334 855.399896299078 855.399896299078 855.399896299078 855.399896299078 855.399896299078 859.773081361102 640.041017593334 640.041017593334 640.041017593334 855.399896299078 855.399896299078 855.399896299078 855.399896299078 855.399896299078 859.773081361102 640.041017593334 640.041017593334 640.041017593334 855.399896299078 855.399896299078 855.399896299078 855.399896299078 855.399896299078 859.773081361102 640.041017593334 640.041017593334 640.041017593334 759.17332670252 759.17332670252 759.17332670252 759.17332670252 759.17332670252 595.831316654243 667.162610401371 667.162610401371 667.162610401371 635.17917887595 635.17917887595 635.17917887595 635.17917887595 635.17917887595 595.831316654243 667.162610401371 667.162610401371 667.162610401371 635.17917887595 635.17917887595 635.17917887595 635.17917887595 635.17917887595 655.324206582624 604.556766002341 635.17917887595 635.17917887595 635.17917887595 635.17917887595 655.324206582624 655.324206582624 604.556766002341 635.17917887595 635.17917887595 635.17917887595 635.17917887595 655.324206582624 655.324206582624 635.17917887595 635.17917887595 635.17917887595 655.324206582624
"X10" 944.464237553899 944.464237553899 944.464237553899 944.464237553899 944.464237553899 944.464237553899 786.758047650852 680.623831290245 944.464237553899 944.464237553899 944.464237553899 786.758047650852 680.623831290245 944.464237553899 944.464237553899 944.464237553899 786.758047650852 680.623831290245 1082.15230082676 1082.15230082676 1082.15230082676 917.386313431223 738.098537609886 738.098537609886 895.877558525203 895.877558525203 895.877558525203 895.877558525203 917.386313431223 738.098537609886 895.877558525203 895.877558525203 895.877558525203 895.877558525203 895.877558525203 893.535380658133 690.913775944885 895.877558525203 895.877558525203 895.877558525203 895.877558525203 895.877558525203 893.535380658133 690.913775944885 690.913775944885 690.913775944885 895.877558525203 895.877558525203 895.877558525203 895.877558525203 895.877558525203 893.535380658133 690.913775944885 690.913775944885 690.913775944885 895.877558525203 895.877558525203 895.877558525203 895.877558525203 895.877558525203 893.535380658133 690.913775944885 690.913775944885 690.913775944885 815.07738347315 815.07738347315 815.07738347315 815.07738347315 815.07738347315 686.300629726327 711.915146802955 711.915146802955 711.915146802955 673.957853862502 673.957853862502 673.957853862502 673.957853862502 673.957853862502 686.300629726327 711.915146802955 711.915146802955 711.915146802955 673.957853862502 673.957853862502 673.957853862502 673.957853862502 673.957853862502 691.520410627553 648.933609838001 673.957853862502 673.957853862502 673.957853862502 673.957853862502 691.520410627553 691.520410627553 648.933609838001 673.957853862502 673.957853862502 673.957853862502 673.957853862502 691.520410627553 691.520410627553 673.957853862502 673.957853862502 673.957853862502 691.520410627553
