"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X11" 2078.73090718723 2201.88748673214 2277.65414390184 2083.15189607441 2052.30920781362 2148.12774738937 2272.63798085227 2157.99302315538 1896.47338860372 1910.53072488317 2083.15189607441 2052.30920781362 2148.12774738937 2272.63798085227 2157.99302315538 2616.99499802481 2070.27820888129 2019.90225393032 2260.01728686053 2250.1415912298 2303.05496270709 2264.66879185659 2184.42313834558 2184.85725272445 2127.69033554486 2286.68637998689 1961.54994334187 2070.27820888129 2019.90225393032 2260.01728686053 2250.1415912298 2303.05496270709 2264.66879185659 2184.42313834558 2184.85725272445 2127.69033554486 2286.68637998689 2172.07737642397 2449.21725056459 2459.59543564899 2405.19326104207 2337.66372399787 2325.99401789381 2373.21315411934 2372.35314458254 2268.05304021342 2291.21707545167 2091.34020723936 2379.20141650021 2337.66372399787 2325.99401789381 2373.21315411934 2372.35314458254 2268.05304021342 2291.21707545167 2089.88214053288 2356.36517872199
"X12" 2106.09427053993 2207.79046575581 2328.87497770324 2157.45751548256 2132.87299973771 2229.02459118521 2333.61809467242 2252.40875883222 1963.68297389979 1974.64531208255 2157.45751548256 2132.87299973771 2229.02459118521 2333.61809467242 2252.40875883222 2566.21202655447 2156.7824441996 2120.12572139739 2360.39004061634 2354.0826174404 2396.88647867168 2368.41927499917 2287.57384018034 2287.87059499659 2228.71913480013 2325.28404711583 1993.80501608612 2156.7824441996 2120.12572139739 2360.39004061634 2354.0826174404 2396.88647867168 2368.41927499917 2287.57384018034 2287.87059499659 2228.71913480013 2325.28404711583 2260.14774568464 2525.88213456099 2520.08946157151 2483.19797593279 2404.31593534869 2396.36313221602 2461.57266860562 2460.98518528863 2368.91758358707 2384.74266213339 2205.2703827451 2408.54418986154 2404.31593534869 2396.36313221602 2461.57266860562 2460.98518528863 2368.91758358707 2384.74266213339 2200.91133674387 2380.19869043818
"X13" 2156.51307895543 2236.82339551075 2389.48001526204 2239.0101084879 2221.36997522905 2298.71530312542 2378.08316013052 2339.4890578504 2063.28700325635 2071.24795801836 2239.0101084879 2221.36997522905 2298.71530312542 2378.08316013052 2339.4890578504 2517.87204017163 2256.14266178108 2232.70101259842 2453.53171481606 2450.30869795959 2473.93320561764 2454.58006137706 2380.59801664368 2380.76927494942 2317.90348515831 2361.5499148431 2046.56477633881 2256.14266178108 2232.70101259842 2453.53171481606 2450.30869795959 2473.93320561764 2454.58006137706 2380.59801664368 2380.76927494942 2317.90348515831 2361.5499148431 2360.91252265888 2598.72548764368 2574.36919686739 2553.20978641438 2464.96805025876 2460.40237975283 2540.60583063492 2540.2667595413 2464.95670307296 2474.09551157325 2329.15188229838 2454.01025465391 2464.96805025876 2460.40237975283 2540.60583063492 2540.2667595413 2464.95670307296 2474.09551157325 2315.2911103816 2417.38997021525
"X14" 2228.38899863876 2289.28748326153 2453.25706204517 2321.96639383496 2311.62422934498 2348.84734740163 2398.41421573503 2408.67767841936 2192.29539970816 2197.63194171809 2321.96639383496 2311.62422934498 2348.84734740163 2398.41421573503 2408.67767841936 2477.33222824825 2361.78375432225 2349.84341307089 2530.60889412663 2529.58906184369 2524.50698216494 2512.43455162164 2454.72001114134 2454.79146143065 2384.86913606001 2392.29969723287 2117.63326478902 2361.78375432225 2349.84341307089 2530.60889412663 2529.58906184369 2524.50698216494 2512.43455162164 2454.72001114134 2454.79146143065 2384.86913606001 2392.29969723287 2465.88248588768 2661.05571036119 2617.60922786133 2608.5784089717 2514.12769762723 2512.24330098835 2602.80494252106 2602.66264575763 2548.23778212006 2552.08467284916 2451.76851165479 2512.59516441988 2514.12769762723 2512.24330098835 2602.80494252106 2602.66264575763 2548.23778212006 2552.08467284916 2422.41529198218 2466.67407618982
"X15" 2320.66519416387 2365.61921748524 2516.2114053794 2403.99170785007 2400.76198353879 2377.35576149273 2394.47803667491 2454.60022432642 2348.24341046933 2351.55486144247 2403.99170785007 2400.76198353879 2377.35576149273 2394.47803667491 2454.60022432642 2452.06214732733 2470.36241078781 2467.13618365564 2587.91186069653 2587.9505070568 2546.23659490175 2538.86089700198 2507.06099773617 2507.06897798342 2425.87443881789 2418.61247950085 2205.69435129683 2470.36241078781 2467.13618365564 2587.91186069653 2587.9505070568 2546.23659490175 2538.86089700198 2507.06099773617 2507.06897798342 2425.87443881789 2418.61247950085 2568.78431377331 2710.28121887084 2648.91698428636 2647.09146563156 2551.0446775759 2550.84809950584 2646.14349021089 2646.12533037351 2615.75837473276 2616.27216073747 2564.98045398022 2582.40563729744 2551.0446775759 2550.84809950584 2646.14349021089 2646.12533037351 2615.75837473276 2616.27216073747 2515.90492117471 2528.22409058647
"X16" 2434.3735537725 2466.71439271812 2583.20045921082 2496.77832604962 2499.10818557144 2407.39269637941 2396.19336587271 2492.66372331728 2530.66089234416 2532.52392568094 2496.77832604962 2499.10818557144 2407.39269637941 2396.19336587271 2492.66372331728 2457.92216216931 2591.43535487008 2593.61184489093 2642.27733221008 2642.50468499078 2566.10954161439 2561.21297933919 2558.39195147737 2558.37066735592 2463.78050346707 2458.63971791228 2312.88495611369 2591.43535487008 2593.61184489093 2642.27733221008 2642.50468499078 2566.10954161439 2561.21297933919 2558.39195147737 2558.37066735592 2463.78050346707 2458.63971791228 2672.18303276745 2760.24502121376 2683.16977319592 2684.33760166916 2593.97831133838 2594.54462207738 2690.57560203086 2690.61419584068 2684.27495511015 2683.26588860211 2672.94451618932 2665.94308052017 2593.97831133838 2594.54462207738 2690.57560203086 2690.61419584068 2684.27495511015 2683.26588860211 2606.30380221564 2607.92079224264
"X17" 2570.86634696325 2593.25856288192 2661.11411652149 2614.46364765196 2619.387721653 2466.3676459134 2438.40682568775 2542.69857332819 2739.13981965169 2740.02656144249 2614.46364765196 2619.387721653 2466.3676459134 2438.40682568775 2542.69857332819 2509.96087378795 2736.89440815201 2740.95325348912 2714.43976800376 2714.41491586771 2616.2383403452 2612.32496123845 2633.10699784885 2633.08391103573 2526.10596919949 2532.25589982096 2441.91910714887 2736.89440815201 2740.95325348912 2714.43976800376 2714.41491586771 2616.2383403452 2612.32496123845 2633.10699784885 2633.08391103573 2526.10596919949 2532.25589982096 2780.82602855103 2827.72268257969 2737.67801444154 2739.0208666421 2663.89350375096 2664.49284034325 2759.6234382188 2759.66590765568 2773.69368343253 2772.5738005339 2782.95651706816 2766.30480745049 2663.89350375096 2664.49284034325 2759.6234382188 2759.66590765568 2773.69368343253 2772.5738005339 2707.66762232968 2711.69955782422
"X18" 2730.06055745557 2744.04821723553 2755.02914886703 2764.41676459732 2768.4556655897 2569.04427964747 2540.1735573534 2618.70587273788 2970.57668955026 2970.77549040189 2764.41676459732 2768.4556655897 2569.04427964747 2540.1735573534 2618.70587273788 2608.19633308304 2912.75079203817 2915.80513826344 2817.02207636625 2816.77715305402 2714.90947661678 2711.47388178159 2742.04084706189 2742.03083777658 2627.94080284013 2645.10756463597 2593.5026322403 2912.75079203817 2915.80513826344 2817.02207636625 2816.77715305402 2714.90947661678 2711.47388178159 2742.04084706189 2742.03083777658 2627.94080284013 2645.10756463597 2898.47103476958 2922.10615324232 2820.8069053605 2821.56600740924 2769.77426682861 2770.02469889366 2865.14574512354 2865.16460482768 2893.19406317863 2892.68943336957 2901.44765431525 2883.61988103649 2769.77426682861 2770.02469889366 2865.14574512354 2865.16460482768 2893.19406317863 2892.68943336957 2828.88158413302 2838.16672104938
"X19" 2908.68174493298 2914.89988988844 2864.38177621775 2940.69151204619 2941.20076798561 2706.4946255145 2691.35719107697 2720.1914971917 3216.95889794342 3216.59348256593 2940.69151204619 2941.20076798561 2706.4946255145 2691.35719107697 2720.1914971917 2734.8397971147 3112.7413467292 3113.23213410846 2945.95959693775 2945.81741236238 2854.00482151579 2851.33421988671 2872.7688475808 2872.77342939116 2760.77316329232 2781.54794695614 2763.8245624556 3112.7413467292 3113.23213410846 2945.95959693775 2945.81741236238 2854.00482151579 2851.33421988671 2872.7688475808 2872.77342939116 2760.77316329232 2781.54794695614 3024.45172319194 3038.68380758377 2925.60634184478 2926.88507247535 2900.54277476692 2900.42157762375 2998.06187084154 2998.05548622173 3033.17218090832 3033.31866339806 3029.10202116708 3013.19565364954 2900.54277476692 2900.42157762375 2998.06187084154 2998.05548622173 3033.17218090832 3033.31866339806 2966.8467650142 2976.49092156552
"X20" 3099.67728301714 3098.62725610415 2982.62021354408 3125.29361722067 3121.53005491032 2849.60510587462 2856.33310393321 2832.50937266433 3465.18391870868 3464.32439714714 3125.29361722067 3121.53005491032 2849.60510587462 2856.33310393321 2832.50937266433 2863.13150434547 3318.70941845052 3316.54476724524 3082.50128219848 3082.74910533068 3002.70506989234 3001.2786669879 2995.50582330343 2995.51849590856 2896.40890041886 2912.06198042254 2943.77238022425 3318.70941845052 3316.54476724524 3082.50128219848 3082.74910533068 3002.70506989234 3001.2786669879 2995.50582330343 2995.51849590856 2896.40890041886 2912.06198042254 3153.6390501439 3161.19238313952 3033.70563439972 3037.35345931659 3030.01733148221 3029.70656655427 3132.49907474045 3132.48017607313 3169.80340959832 3170.261771788 3160.06998258932 3147.20960129753 3030.01733148221 3029.70656655427 3132.49907474045 3132.48017607313 3169.80340959832 3170.261771788 3107.7807918142 3111.53622280519
