"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63"
"X1" 358.571146058716 358.571146058716 250.782647477013 250.782647477013 358.571146058716 358.571146058716 293.51135833646 293.51135833646 250.782647477013 250.782647477013 250.782647477013 250.782647477013 358.571146058716 358.571146058716 358.571146058716 358.571146058716 293.51135833646 293.51135833646 293.51135833646 250.782647477013 250.782647477013 250.782647477013 250.782647477013 358.571146058716 358.571146058716 358.571146058716 358.571146058716 358.571146058716 358.571146058716 293.51135833646 293.51135833646 293.51135833646 304.506185621888 304.506185621888 304.506185621888 304.506185621888 358.571146058716 358.571146058716 358.571146058716 358.571146058716 358.571146058716 358.571146058716 293.51135833646 293.51135833646 430.228376877338 430.228376877338 430.228376877338 430.228376877338 430.228376877338 430.228376877338 251.957802896828 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466 376.819038235466
"X2" 345.793106519422 345.793106519422 229.196600005121 229.196600005121 345.793106519422 345.793106519422 264.505600386209 264.505600386209 229.196600005121 229.196600005121 229.196600005121 229.196600005121 345.793106519422 345.793106519422 345.793106519422 345.793106519422 264.505600386209 264.505600386209 264.505600386209 229.196600005121 229.196600005121 229.196600005121 229.196600005121 345.793106519422 345.793106519422 345.793106519422 345.793106519422 345.793106519422 345.793106519422 264.505600386209 264.505600386209 264.505600386209 268.574147291886 268.574147291886 268.574147291886 268.574147291886 345.793106519422 345.793106519422 345.793106519422 345.793106519422 345.793106519422 345.793106519422 264.505600386209 264.505600386209 392.274712266951 392.274712266951 392.274712266951 392.274712266951 392.274712266951 392.274712266951 248.715810639533 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688 453.209927328688
"X3" 341.8428591547 341.8428591547 217.32564681047 217.32564681047 341.8428591547 341.8428591547 246.450328575201 246.450328575201 217.32564681047 217.32564681047 217.32564681047 217.32564681047 341.8428591547 341.8428591547 341.8428591547 341.8428591547 246.450328575201 246.450328575201 246.450328575201 217.32564681047 217.32564681047 217.32564681047 217.32564681047 341.8428591547 341.8428591547 341.8428591547 341.8428591547 341.8428591547 341.8428591547 246.450328575201 246.450328575201 246.450328575201 241.815826045719 241.815826045719 241.815826045719 241.815826045719 341.8428591547 341.8428591547 341.8428591547 341.8428591547 341.8428591547 341.8428591547 246.450328575201 246.450328575201 364.9646276898 364.9646276898 364.9646276898 364.9646276898 364.9646276898 364.9646276898 218.98824480761 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023 399.861117109023
"X4" 356.60327190608 356.60327190608 226.447474133305 226.447474133305 356.60327190608 356.60327190608 252.147314285634 252.147314285634 226.447474133305 226.447474133305 226.447474133305 226.447474133305 356.60327190608 356.60327190608 356.60327190608 356.60327190608 252.147314285634 252.147314285634 252.147314285634 226.447474133305 226.447474133305 226.447474133305 226.447474133305 356.60327190608 356.60327190608 356.60327190608 356.60327190608 356.60327190608 356.60327190608 252.147314285634 252.147314285634 252.147314285634 238.037244990745 238.037244990745 238.037244990745 238.037244990745 356.60327190608 356.60327190608 356.60327190608 356.60327190608 356.60327190608 356.60327190608 252.147314285634 252.147314285634 362.616925928961 362.616925928961 362.616925928961 362.616925928961 362.616925928961 362.616925928961 199.830796405669 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829 298.992437169829
"X5" 395.323923073256 395.323923073256 262.563452034429 262.563452034429 395.323923073256 395.323923073256 288.648847762915 288.648847762915 262.563452034429 262.563452034429 262.563452034429 262.563452034429 395.323923073256 395.323923073256 395.323923073256 395.323923073256 288.648847762915 288.648847762915 288.648847762915 262.563452034429 262.563452034429 262.563452034429 262.563452034429 395.323923073256 395.323923073256 395.323923073256 395.323923073256 395.323923073256 395.323923073256 288.648847762915 288.648847762915 288.648847762915 265.437509723513 265.437509723513 265.437509723513 265.437509723513 395.323923073256 395.323923073256 395.323923073256 395.323923073256 395.323923073256 395.323923073256 288.648847762915 288.648847762915 393.805667280834 393.805667280834 393.805667280834 393.805667280834 393.805667280834 393.805667280834 218.817112801251 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508 220.87061004508
"X6" 459.864920479409 459.864920479409 327.841271437743 327.841271437743 459.864920479409 459.864920479409 358.70567986905 358.70567986905 327.841271437743 327.841271437743 327.841271437743 327.841271437743 459.864920479409 459.864920479409 459.864920479409 459.864920479409 358.70567986905 358.70567986905 358.70567986905 327.841271437743 327.841271437743 327.841271437743 327.841271437743 459.864920479409 459.864920479409 459.864920479409 459.864920479409 459.864920479409 459.864920479409 358.70567986905 358.70567986905 358.70567986905 327.76760266741 327.76760266741 327.76760266741 327.76760266741 459.864920479409 459.864920479409 459.864920479409 459.864920479409 459.864920479409 459.864920479409 358.70567986905 358.70567986905 462.464405162189 462.464405162189 462.464405162189 462.464405162189 462.464405162189 462.464405162189 293.763011965451 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512 217.469886335512
"X7" 543.2551024894 543.2551024894 414.497449518558 414.497449518558 543.2551024894 543.2551024894 453.75591743821 453.75591743821 414.497449518558 414.497449518558 414.497449518558 414.497449518558 543.2551024894 543.2551024894 543.2551024894 543.2551024894 453.75591743821 453.75591743821 453.75591743821 414.497449518558 414.497449518558 414.497449518558 414.497449518558 543.2551024894 543.2551024894 543.2551024894 543.2551024894 543.2551024894 543.2551024894 453.75591743821 453.75591743821 453.75591743821 416.811698778834 416.811698778834 416.811698778834 416.811698778834 543.2551024894 543.2551024894 543.2551024894 543.2551024894 543.2551024894 543.2551024894 453.75591743821 453.75591743821 559.939869652208 559.939869652208 559.939869652208 559.939869652208 559.939869652208 559.939869652208 414.226958106286 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611 283.615994377611
"X8" 636.329478350392 636.329478350392 512.276585798752 512.276585798752 636.329478350392 636.329478350392 562.428310899059 562.428310899059 512.276585798752 512.276585798752 512.276585798752 512.276585798752 636.329478350392 636.329478350392 636.329478350392 636.329478350392 562.428310899059 562.428310899059 562.428310899059 512.276585798752 512.276585798752 512.276585798752 512.276585798752 636.329478350392 636.329478350392 636.329478350392 636.329478350392 636.329478350392 636.329478350392 562.428310899059 562.428310899059 562.428310899059 521.382300986019 521.382300986019 521.382300986019 521.382300986019 636.329478350392 636.329478350392 636.329478350392 636.329478350392 636.329478350392 636.329478350392 562.428310899059 562.428310899059 674.453868458992 674.453868458992 674.453868458992 674.453868458992 674.453868458992 674.453868458992 562.730659362702 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861 399.852210732861
"X9" 729.933766665374 729.933766665374 610.935554512793 610.935554512793 729.933766665374 729.933766665374 673.366791476507 673.366791476507 610.935554512793 610.935554512793 610.935554512793 610.935554512793 729.933766665374 729.933766665374 729.933766665374 729.933766665374 673.366791476507 673.366791476507 673.366791476507 610.935554512793 610.935554512793 610.935554512793 610.935554512793 729.933766665374 729.933766665374 729.933766665374 729.933766665374 729.933766665374 729.933766665374 673.366791476507 673.366791476507 673.366791476507 630.308798660996 630.308798660996 630.308798660996 630.308798660996 729.933766665374 729.933766665374 729.933766665374 729.933766665374 729.933766665374 729.933766665374 673.366791476507 673.366791476507 794.246911793389 794.246911793389 794.246911793389 794.246911793389 794.246911793389 794.246911793389 721.816340105881 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156 546.707187622156
"X10" 814.913989858005 814.913989858005 700.231863255661 700.231863255661 814.913989858005 814.913989858005 775.21756443584 775.21756443584 700.231863255661 700.231863255661 700.231863255661 700.231863255661 814.913989858005 814.913989858005 814.913989858005 814.913989858005 775.21756443584 775.21756443584 775.21756443584 700.231863255661 700.231863255661 700.231863255661 700.231863255661 814.913989858005 814.913989858005 814.913989858005 814.913989858005 814.913989858005 814.913989858005 775.21756443584 775.21756443584 775.21756443584 732.424781051429 732.424781051429 732.424781051429 732.424781051429 814.913989858005 814.913989858005 814.913989858005 814.913989858005 814.913989858005 814.913989858005 775.21756443584 775.21756443584 907.56484908999 907.56484908999 907.56484908999 907.56484908999 907.56484908999 907.56484908999 874.027163786992 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594 704.67335451594
