"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106"
"X1" 3386.44195415457 3386.44195415457 3386.44195415457 3386.44195415457 3386.44195415457 3386.44195415457 3795.19330456479 3854.91615271028 3386.44195415457 3386.44195415457 3386.44195415457 3795.19330456479 3854.91615271028 3386.44195415457 3386.44195415457 3386.44195415457 3795.19330456479 3854.91615271028 3418.51427111857 3418.51427111857 3418.51427111857 3794.8782727629 3875.64311101966 3875.64311101966 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 3794.8782727629 3875.64311101966 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 3466.07751037833 3360.46989664248 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 3466.07751037833 3360.46989664248 3360.46989664248 3360.46989664248 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 3466.07751037833 3360.46989664248 3360.46989664248 3360.46989664248 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 2962.80731495667 3466.07751037833 3360.46989664248 3360.46989664248 3360.46989664248 2991.6669790266 2991.6669790266 2991.6669790266 2991.6669790266 2991.6669790266 3477.15213229008 3396.42488870239 3396.42488870239 3396.42488870239 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 3477.15213229008 3396.42488870239 3396.42488870239 3396.42488870239 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 3273.39684536454 3277.4868967746 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 3273.39684536454 3273.39684536454 3277.4868967746 2819.31500377138 2819.31500377138 2819.31500377138 2819.31500377138 3273.39684536454 3273.39684536454 2819.31500377138 2819.31500377138 2819.31500377138 3273.39684536454
"X2" 3259.84268927438 3259.84268927438 3259.84268927438 3259.84268927438 3259.84268927438 3259.84268927438 3794.12850101255 3719.38775995896 3259.84268927438 3259.84268927438 3259.84268927438 3794.12850101255 3719.38775995896 3259.84268927438 3259.84268927438 3259.84268927438 3794.12850101255 3719.38775995896 3219.4281505704 3219.4281505704 3219.4281505704 3812.85931254302 3710.34297599196 3710.34297599196 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 3812.85931254302 3710.34297599196 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 3263.61505679961 3308.86593666701 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 3263.61505679961 3308.86593666701 3308.86593666701 3308.86593666701 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 3263.61505679961 3308.86593666701 3308.86593666701 3308.86593666701 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 2861.83080996257 3263.61505679961 3308.86593666701 3308.86593666701 3308.86593666701 2845.06700921163 2845.06700921163 2845.06700921163 2845.06700921163 2845.06700921163 3233.70396215963 3297.34043995306 3297.34043995306 3297.34043995306 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 3233.70396215963 3297.34043995306 3297.34043995306 3297.34043995306 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 3232.43283109442 3193.00376079719 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 3232.43283109442 3232.43283109442 3193.00376079719 2715.51088049029 2715.51088049029 2715.51088049029 2715.51088049029 3232.43283109442 3232.43283109442 2715.51088049029 2715.51088049029 2715.51088049029 3232.43283109442
"X3" 3143.43858688956 3143.43858688956 3143.43858688956 3143.43858688956 3143.43858688956 3143.43858688956 3555.21944654339 3588.02652119318 3143.43858688956 3143.43858688956 3143.43858688956 3555.21944654339 3588.02652119318 3143.43858688956 3143.43858688956 3143.43858688956 3555.21944654339 3588.02652119318 3035.05849190722 3035.05849190722 3035.05849190722 3524.27070650719 3550.54378798258 3550.54378798258 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 3524.27070650719 3550.54378798258 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 3068.2374944032 3269.21876253305 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 3068.2374944032 3269.21876253305 3269.21876253305 3269.21876253305 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 3068.2374944032 3269.21876253305 3269.21876253305 3269.21876253305 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 2768.03037540873 3068.2374944032 3269.21876253305 3269.21876253305 3269.21876253305 2708.26333928183 2708.26333928183 2708.26333928183 2708.26333928183 2708.26333928183 2999.77801681558 3201.33834553345 3201.33834553345 3201.33834553345 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 2999.77801681558 3201.33834553345 3201.33834553345 3201.33834553345 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 3016.01720050795 3111.43316611442 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 3016.01720050795 3016.01720050795 3111.43316611442 2615.39042698773 2615.39042698773 2615.39042698773 2615.39042698773 3016.01720050795 3016.01720050795 2615.39042698773 2615.39042698773 2615.39042698773 3016.01720050795
"X4" 3050.16183893235 3050.16183893235 3050.16183893235 3050.16183893235 3050.16183893235 3050.16183893235 3211.41925641851 3468.70051796985 3050.16183893235 3050.16183893235 3050.16183893235 3211.41925641851 3468.70051796985 3050.16183893235 3050.16183893235 3050.16183893235 3211.41925641851 3468.70051796985 2885.65636878771 2885.65636878771 2885.65636878771 3100.15686339121 3407.13651023777 3407.13651023777 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 3100.15686339121 3407.13651023777 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2894.84662614239 3234.44789783781 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2894.84662614239 3234.44789783781 3234.44789783781 3234.44789783781 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2894.84662614239 3234.44789783781 3234.44789783781 3234.44789783781 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2690.14668089192 2894.84662614239 3234.44789783781 3234.44789783781 3234.44789783781 2594.30982376709 2594.30982376709 2594.30982376709 2594.30982376709 2594.30982376709 2794.26350522456 3112.7687139648 3112.7687139648 3112.7687139648 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2794.26350522456 3112.7687139648 3112.7687139648 3112.7687139648 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2725.82493497051 3034.19529296697 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2725.82493497051 2725.82493497051 3034.19529296697 2526.7251832006 2526.7251832006 2526.7251832006 2526.7251832006 2725.82493497051 2725.82493497051 2526.7251832006 2526.7251832006 2526.7251832006 2725.82493497051
"X5" 2987.06279673316 2987.06279673316 2987.06279673316 2987.06279673316 2987.06279673316 2987.06279673316 2880.01040154357 3365.93918801391 2987.06279673316 2987.06279673316 2987.06279673316 2880.01040154357 3365.93918801391 2987.06279673316 2987.06279673316 2987.06279673316 2880.01040154357 3365.93918801391 2783.76300331242 2783.76300331242 2783.76300331242 2691.83825460419 3287.03051056965 3287.03051056965 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2691.83825460419 3287.03051056965 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2754.06522210623 3197.27377709524 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2754.06522210623 3197.27377709524 3197.27377709524 3197.27377709524 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2754.06522210623 3197.27377709524 3197.27377709524 3197.27377709524 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2633.14712480538 2754.06522210623 3197.27377709524 3197.27377709524 3197.27377709524 2511.49699186213 2511.49699186213 2511.49699186213 2511.49699186213 2511.49699186213 2630.9379653591 3033.7504133753 3033.7504133753 3033.7504133753 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2630.9379653591 3033.7504133753 3033.7504133753 3033.7504133753 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2450.43689261659 2960.79123860825 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2450.43689261659 2450.43689261659 2960.79123860825 2453.74257110034 2453.74257110034 2453.74257110034 2453.74257110034 2450.43689261659 2450.43689261659 2453.74257110034 2453.74257110034 2453.74257110034 2450.43689261659
"X6" 2957.31488003848 2957.31488003848 2957.31488003848 2957.31488003848 2957.31488003848 2957.31488003848 2650.70253978112 3282.22594015362 2957.31488003848 2957.31488003848 2957.31488003848 2650.70253978112 3282.22594015362 2957.31488003848 2957.31488003848 2957.31488003848 2650.70253978112 3282.22594015362 2736.06886336961 2736.06886336961 2736.06886336961 2415.16008039423 3194.29895651761 3194.29895651761 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2415.16008039423 3194.29895651761 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2652.7548224054 3152.01347422106 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2652.7548224054 3152.01347422106 3152.01347422106 3152.01347422106 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2652.7548224054 3152.01347422106 3152.01347422106 3152.01347422106 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2599.54557635127 2652.7548224054 3152.01347422106 3152.01347422106 3152.01347422106 2464.51859428177 2464.51859428177 2464.51859428177 2464.51859428177 2464.51859428177 2518.75394987404 2965.3684915779 2965.3684915779 2965.3684915779 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2518.75394987404 2965.3684915779 2965.3684915779 2965.3684915779 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2257.17710947637 2890.33491437241 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2257.17710947637 2257.17710947637 2890.33491437241 2398.55587161006 2398.55587161006 2398.55587161006 2398.55587161006 2257.17710947637 2257.17710947637 2398.55587161006 2398.55587161006 2398.55587161006 2257.17710947637
"X7" 2954.5795269301 2954.5795269301 2954.5795269301 2954.5795269301 2954.5795269301 2954.5795269301 2525.65996432391 3215.28524819802 2954.5795269301 2954.5795269301 2954.5795269301 2525.65996432391 3215.28524819802 2954.5795269301 2954.5795269301 2954.5795269301 2525.65996432391 3215.28524819802 2733.89872018569 2733.89872018569 2733.89872018569 2272.94797022614 3125.8393404694 3125.8393404694 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2272.94797022614 3125.8393404694 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2587.38299118387 3099.23488443027 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2587.38299118387 3099.23488443027 3099.23488443027 3099.23488443027 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2587.38299118387 3099.23488443027 3099.23488443027 3099.23488443027 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2585.90149356596 2587.38299118387 3099.23488443027 3099.23488443027 3099.23488443027 2448.6651753127 2448.6651753127 2448.6651753127 2448.6651753127 2448.6651753127 2452.98008595837 2906.80276283762 2906.80276283762 2906.80276283762 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2452.98008595837 2906.80276283762 2906.80276283762 2906.80276283762 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2146.65864072739 2822.18182769994 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2146.65864072739 2146.65864072739 2822.18182769994 2358.4339643219 2358.4339643219 2358.4339643219 2358.4339643219 2146.65864072739 2146.65864072739 2358.4339643219 2358.4339643219 2358.4339643219 2146.65864072739
"X8" 2970.16169846873 2970.16169846873 2970.16169846873 2970.16169846873 2970.16169846873 2970.16169846873 2485.13682222433 3161.66494079831 2970.16169846873 2970.16169846873 2970.16169846873 2485.13682222433 3161.66494079831 2970.16169846873 2970.16169846873 2970.16169846873 2485.13682222433 3161.66494079831 2764.77274466328 2764.77274466328 2764.77274466328 2239.74066148713 3076.77452369244 3076.77452369244 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2239.74066148713 3076.77452369244 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2551.84850512717 3041.02968806626 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2551.84850512717 3041.02968806626 3041.02968806626 3041.02968806626 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2551.84850512717 3041.02968806626 3041.02968806626 3041.02968806626 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2587.30209059521 2551.84850512717 3041.02968806626 3041.02968806626 3041.02968806626 2456.90207673165 2456.90207673165 2456.90207673165 2456.90207673165 2456.90207673165 2425.50255140575 2856.76453897205 2856.76453897205 2856.76453897205 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2425.50255140575 2856.76453897205 2856.76453897205 2856.76453897205 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2102.81459963791 2755.74924558753 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2102.81459963791 2102.81459963791 2755.74924558753 2329.44607610829 2329.44607610829 2329.44607610829 2329.44607610829 2102.81459963791 2102.81459963791 2329.44607610829 2329.44607610829 2329.44607610829 2102.81459963791
"X9" 2995.38739120058 2995.38739120058 2995.38739120058 2995.38739120058 2995.38739120058 2995.38739120058 2509.33104528477 3117.92714875237 2995.38739120058 2995.38739120058 2995.38739120058 2509.33104528477 3117.92714875237 2995.38739120058 2995.38739120058 2995.38739120058 2509.33104528477 3117.92714875237 2816.24902497858 2816.24902497858 2816.24902497858 2290.00263400302 3042.24858554103 3042.24858554103 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2290.00263400302 3042.24858554103 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2540.08396765003 2979.4395497107 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2540.08396765003 2979.4395497107 2979.4395497107 2979.4395497107 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2540.08396765003 2979.4395497107 2979.4395497107 2979.4395497107 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2598.85200106448 2540.08396765003 2979.4395497107 2979.4395497107 2979.4395497107 2482.22238424561 2482.22238424561 2482.22238424561 2482.22238424561 2482.22238424561 2428.25122416993 2813.97434681226 2813.97434681226 2813.97434681226 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2428.25122416993 2813.97434681226 2813.97434681226 2813.97434681226 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2109.55586218971 2690.45582617507 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2109.55586218971 2109.55586218971 2690.45582617507 2307.6731788018 2307.6731788018 2307.6731788018 2307.6731788018 2109.55586218971 2109.55586218971 2307.6731788018 2307.6731788018 2307.6731788018 2109.55586218971
"X10" 3021.59378252832 3021.59378252832 3021.59378252832 3021.59378252832 3021.59378252832 3021.59378252832 2578.36246461163 3080.64439821605 3021.59378252832 3021.59378252832 3021.59378252832 2578.36246461163 3080.64439821605 3021.59378252832 3021.59378252832 3021.59378252832 2578.36246461163 3080.64439821605 2875.90942868868 2875.90942868868 2875.90942868868 2398.09586325639 3017.42130730919 3017.42130730919 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2398.09586325639 3017.42130730919 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2546.04892264481 2916.45783624738 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2546.04892264481 2916.45783624738 2916.45783624738 2916.45783624738 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2546.04892264481 2916.45783624738 2916.45783624738 2916.45783624738 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2615.66771180501 2546.04892264481 2916.45783624738 2916.45783624738 2916.45783624738 2517.63895980954 2517.63895980954 2517.63895980954 2517.63895980954 2517.63895980954 2453.19052045672 2777.16046807299 2777.16046807299 2777.16046807299 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2453.19052045672 2777.16046807299 2777.16046807299 2777.16046807299 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2150.75341808604 2625.72094401278 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2150.75341808604 2150.75341808604 2625.72094401278 2289.20354154065 2289.20354154065 2289.20354154065 2289.20354154065 2150.75341808604 2150.75341808604 2289.20354154065 2289.20354154065 2289.20354154065 2150.75341808604
