"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X18" 2435.93182756489 2976.09956056581 2573.06773689868 2588.56719086532 2869.90911537184 2873.51904385445 2531.83611630571 2573.06773689868 2588.56719086532 2869.90911537184 2873.51904385445 2866.98168032372 2803.84651809767 2815.9508321866 2784.49242399908 2762.12037763821 3014.67257191791 2866.98168032372 2803.84651809767 2815.9508321866 2784.49242399908 2762.12037763821 3014.67257191791 2753.01799835245 2644.90238960921 2644.90238960921 2647.84119601268 2647.84119601268 3253.90467024797
"X19" 2446.01499740289 3034.38229065551 2618.85247837069 2624.86921334182 2940.66428072283 2941.45384821782 2559.63177471726 2618.85247837069 2624.86921334182 2940.66428072283 2941.45384821782 2889.28733355908 2869.81566156548 2879.27964582647 2863.72025691467 2842.85889782013 3087.38879582059 2889.28733355908 2869.81566156548 2879.27964582647 2863.72025691467 2842.85889782013 3087.38879582059 2830.55311045503 2753.45550571849 2753.45550571849 2748.2732052685 2748.2732052685 3329.93650156645
"X20" 2485.58965438312 3105.00487417951 2677.13802604568 2674.37813417412 3031.13283656978 3032.91086088896 2587.80174082946 2677.13802604568 2674.37813417412 3031.13283656978 3032.91086088896 2916.95590874836 2950.51439282075 2954.82867486735 2961.37572264668 2945.86934419005 3185.85152908589 2916.95590874836 2950.51439282075 2954.82867486735 2961.37572264668 2945.86934419005 3185.85152908589 2921.48019694124 2885.97534224163 2885.97534224163 2877.60174058262 2877.60174058262 3426.23215005832
"X21" 2537.67815230566 3182.89318491139 2746.01688322865 2740.2577587958 3142.83099621922 3145.70027157297 2617.64256924762 2746.01688322865 2740.2577587958 3142.83099621922 3145.70027157297 2944.40995439992 3043.77122664456 3044.2667426573 3077.35397141902 3068.24323079522 3304.53936919548 2944.40995439992 3043.77122664456 3044.2667426573 3077.35397141902 3068.24323079522 3304.53936919548 3025.00344773922 3039.44466643617 3039.44466643617 3033.32643954043 3033.32643954043 3533.47314389112
"X22" 2587.61431369476 3264.28129929362 2826.10918304258 2826.62949681513 3276.92235736572 3278.03568642298 2653.57344493114 2826.10918304258 2826.62949681513 3276.92235736572 3278.03568642298 2968.62628808808 3148.26231909317 3149.56253718487 3211.45525535538 3207.91211330657 3437.90569142199 2968.62628808808 3148.26231909317 3149.56253718487 3211.45525535538 3207.91211330657 3437.90569142199 3140.88916513756 3210.72770416138 3210.72770416138 3212.70451623753 3212.70451623753 3643.77126244731
"X23" 2640.55954148506 3352.23370921387 2925.58109605975 2940.08062579474 3433.25870836188 3429.45026661981 2709.91172461996 2925.58109605975 2940.08062579474 3433.25870836188 3429.45026661981 2999.46250696609 3266.82941277419 3274.20691444353 3364.49571117457 3365.5408652443 3582.98192002106 2999.46250696609 3266.82941277419 3274.20691444353 3364.49571117457 3365.5408652443 3582.98192002106 3271.97942327558 3398.60317913054 3398.60317913054 3414.56697503016 3414.56697503016 3755.5648086095
"X24" 2725.29441811616 3457.10390804403 3057.92457245528 3087.82797077764 3609.44123904078 3599.80819413243 2808.93574838448 3057.92457245528 3087.82797077764 3609.44123904078 3599.80819413243 3059.92993892026 3405.97196966656 3422.35034879921 3538.00510221079 3543.4133994318 3740.08822485463 3059.92993892026 3405.97196966656 3422.35034879921 3538.00510221079 3543.4133994318 3740.08822485463 3423.6859737085 3603.82241126814 3603.82241126814 3639.21966575205 3639.21966575205 3873.38388320677
"X25" 2882.1883659889 3591.91027290607 3234.70436910879 3273.48958250388 3799.8748951992 3786.99781999426 2972.1803777466 3234.70436910879 3273.48958250388 3799.8748951992 3786.99781999426 3176.90399093557 3571.83903336888 3595.96060883433 3732.15511322082 3742.1873118565 3911.05220333522 3176.90399093557 3571.83903336888 3595.96060883433 3732.15511322082 3742.1873118565 3911.05220333522 3600.58024969051 3826.66120200626 3826.66120200626 3885.84674395024 3885.84674395024 4003.45114300431
"X26" 3141.18495048677 3764.81207929064 3457.47209328359 3492.63375761629 3995.09556095527 3984.53910931455 3209.57017716099 3457.47209328359 3492.63375761629 3995.09556095527 3984.53910931455 3367.20873147127 3764.7525788571 3791.26999662972 3942.67801604315 3957.28429630884 4095.64948881092 3367.20873147127 3764.7525788571 3791.26999662972 3942.67801604315 3957.28429630884 4095.64948881092 3801.72598007438 4062.96157745186 4062.96157745186 4148.44548677544 4148.44548677544 4147.82932812443
"X27" 3500.34771372172 3971.85570308728 3712.44785307013 3730.26748151621 4181.94689600154 4180.32649614684 3510.84257211173 3712.44785307013 3730.26748151621 4181.94689600154 4180.32649614684 3625.5135979371 3974.87073592223 3996.3207841691 4158.37546118423 4176.56894516 4288.0055374998 3625.5135979371 3974.87073592223 3996.3207841691 4158.37546118423 4176.56894516 4288.0055374998 4017.05195293991 4300.79026276595 4300.79026276595 4412.55132834808 4412.55132834808 4299.90671395199
"X28" 3916.46054619859 4193.61221448257 3970.85463431137 3961.99064699222 4345.01708991175 4357.45007403424 3843.50455235378 3970.85463431137 3961.99064699222 4345.01708991175 4357.45007403424 3920.40293876007 4181.48257185421 4191.29311493789 4360.87605091733 4380.68167471582 4474.93219365871 3920.40293876007 4181.48257185421 4191.29311493789 4360.87605091733 4380.68167471582 4474.93219365871 4226.96599197578 4519.90684013197 4519.90684013197 4655.03383179245 4655.03383179245 4443.65413633789
"X29" 4314.26003382904 4398.11197986305 4195.65366868502 4159.19123492023 4469.31874067039 4497.29734163013 4159.37186930466 4195.65366868502 4159.19123492023 4469.31874067039 4497.29734163013 4201.7038633656 4357.0700078485 4352.29385698938 4527.52251288145 4546.47766792288 4637.47229948303 4201.7038633656 4357.0700078485 4352.29385698938 4527.52251288145 4546.47766792288 4637.47229948303 4406.18540124204 4695.17517595391 4695.17517595391 4848.073871561 4848.073871561 4557.52372715546
"X30" 4612.31045837438 4550.04294278935 4352.75262984326 4296.94456312995 4543.67152606246 4584.22458690361 4408.40262116896 4352.75262984326 4296.94456312995 4543.67152606246 4584.22458690361 4417.13012245581 4475.24543270203 4457.81244490093 4636.97138684149 4652.83419616062 4755.58753758944 4417.13012245581 4475.24543270203 4457.81244490093 4636.97138684149 4652.83419616062 4755.58753758944 4530.9249309765 4803.31984075251 4803.31984075251 4966.57233660713 4966.57233660713 4621.77075724259
"X31" 4755.48491718871 4623.5608642402 4422.73795350036 4361.98536486429 4563.86027276365 4610.38849869952 4555.49282142768 4422.73795350036 4361.98536486429 4563.86027276365 4610.38849869952 4531.90879601352 4519.90246805066 4495.7874582184 4675.85923688803 4687.11530105468 4814.55705504086 4531.90879601352 4519.90246805066 4495.7874582184 4675.85923688803 4687.11530105468 4814.55705504086 4586.99587848754 4830.83528239687 4830.83528239687 4996.56733128349 4996.56733128349 4626.33627257074
