"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131"
"X1" 2294.77528383536 2294.77528383536 2294.77528383536 2294.77528383536 2294.77528383536 2294.77528383536 2303.40294897451 2303.40294897451 2303.40294897451 2303.40294897451 2253.09155574582 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2021.84244812522 2253.09155574582 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2021.84244812522 2021.84244812522 2253.09155574582 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2021.84244812522 2021.84244812522 2253.09155574582 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2021.84244812522 2021.84244812522 2021.84244812522 2253.09155574582 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2241.49351864864 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2386.22338306728 2241.49719111752 2241.49719111752 2241.49719111752 2241.49719111752 2241.49719111752 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2386.22338306728 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2320.40533646884 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2386.22338306728 2386.22338306728 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2430.25099768933 2320.40533646884 2320.40533646884 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2386.22338306728 2386.22338306728 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2430.25099768933 2304.20671664907 2304.20671664907 2304.20671664907 2304.20671664907 2386.22338306728 2386.22338306728 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2430.25099768933 2304.20671664907 2304.20671664907 2386.22338306728 2386.22338306728 2385.47326677905 2385.47326677905 2385.47326677905 2385.47326677905 2430.25099768933 2268.160583964 2268.160583964 2384.3233736728 2384.3233736728 2384.3233736728 2384.3233736728 2409.88949140891 2231.9733953096 2231.9733953096 2231.9733953096 2231.9733953096 3428.09004626303 3428.09004626303 2231.9733953096 2231.9733953096 3428.09004626303 3428.09004626303
"X2" 2113.00668235187 2113.00668235187 2113.00668235187 2113.00668235187 2113.00668235187 2113.00668235187 2107.13620627336 2107.13620627336 2107.13620627336 2107.13620627336 2051.02357923652 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 1874.39644689872 2051.02357923652 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 1874.39644689872 1874.39644689872 2051.02357923652 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 1874.39644689872 1874.39644689872 2051.02357923652 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 1874.39644689872 1874.39644689872 1874.39644689872 2051.02357923652 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2068.35286463529 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2030.70838001331 2055.69116550918 2055.69116550918 2055.69116550918 2055.69116550918 2055.69116550918 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2030.70838001331 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2047.10528527063 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2030.70838001331 2030.70838001331 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2194.47899761977 2047.10528527063 2047.10528527063 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2030.70838001331 2030.70838001331 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2194.47899761977 2054.23999184869 2054.23999184869 2054.23999184869 2054.23999184869 2030.70838001331 2030.70838001331 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2194.47899761977 2054.23999184869 2054.23999184869 2030.70838001331 2030.70838001331 2030.58592889551 2030.58592889551 2030.58592889551 2030.58592889551 2194.47899761977 2073.09929334931 2073.09929334931 2021.98179124187 2021.98179124187 2021.98179124187 2021.98179124187 2203.53722159152 2093.74301001003 2093.74301001003 2093.74301001003 2093.74301001003 3034.4075013068 3034.4075013068 2093.74301001003 2093.74301001003 3034.4075013068 3034.4075013068
"X3" 1946.4333369822 1946.4333369822 1946.4333369822 1946.4333369822 1946.4333369822 1946.4333369822 1926.44608326549 1926.44608326549 1926.44608326549 1926.44608326549 1859.87239139276 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1735.4133152747 1859.87239139276 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1735.4133152747 1735.4133152747 1859.87239139276 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1735.4133152747 1735.4133152747 1859.87239139276 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1735.4133152747 1735.4133152747 1735.4133152747 1859.87239139276 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1905.7381441798 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1796.9210605673 1879.5056892973 1879.5056892973 1879.5056892973 1879.5056892973 1879.5056892973 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1796.9210605673 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1797.47464656901 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1796.9210605673 1796.9210605673 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1972.21913932534 1797.47464656901 1797.47464656901 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1796.9210605673 1796.9210605673 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1972.21913932534 1826.98264196477 1826.98264196477 1826.98264196477 1826.98264196477 1796.9210605673 1796.9210605673 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1972.21913932534 1826.98264196477 1826.98264196477 1796.9210605673 1796.9210605673 1798.878697197 1798.878697197 1798.878697197 1798.878697197 1972.21913932534 1888.91955005845 1888.91955005845 1816.54085414358 1816.54085414358 1816.54085414358 1816.54085414358 2009.3818455721 1963.02257422329 1963.02257422329 1963.02257422329 1963.02257422329 2656.59676192904 2656.59676192904 1963.02257422329 1963.02257422329 2656.59676192904 2656.59676192904
"X4" 1812.03887383567 1812.03887383567 1812.03887383567 1812.03887383567 1812.03887383567 1812.03887383567 1779.85625439441 1779.85625439441 1779.85625439441 1779.85625439441 1695.23491260686 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1616.71069491765 1695.23491260686 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1616.71069491765 1616.71069491765 1695.23491260686 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1616.71069491765 1616.71069491765 1695.23491260686 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1616.71069491765 1616.71069491765 1616.71069491765 1695.23491260686 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1766.47312432937 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1660.96152345512 1726.84104891318 1726.84104891318 1726.84104891318 1726.84104891318 1726.84104891318 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1660.96152345512 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1594.34386910984 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1660.96152345512 1660.96152345512 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1783.51955337275 1594.34386910984 1594.34386910984 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1660.96152345512 1660.96152345512 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1783.51955337275 1642.76585924766 1642.76585924766 1642.76585924766 1642.76585924766 1660.96152345512 1660.96152345512 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1783.51955337275 1642.76585924766 1642.76585924766 1660.96152345512 1660.96152345512 1665.50606043093 1665.50606043093 1665.50606043093 1665.50606043093 1783.51955337275 1730.85728413474 1730.85728413474 1724.17210916035 1724.17210916035 1724.17210916035 1724.17210916035 1844.42412716188 1849.60127463169 1849.60127463169 1849.60127463169 1849.60127463169 2325.23194077351 2325.23194077351 1849.60127463169 1849.60127463169 2325.23194077351 2325.23194077351
"X5" 1720.81121592664 1720.81121592664 1720.81121592664 1720.81121592664 1720.81121592664 1720.81121592664 1679.60106483766 1679.60106483766 1679.60106483766 1679.60106483766 1568.17599828226 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1526.47006617896 1568.17599828226 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1526.47006617896 1526.47006617896 1568.17599828226 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1526.47006617896 1526.47006617896 1568.17599828226 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1526.47006617896 1526.47006617896 1526.47006617896 1568.17599828226 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1659.10424961851 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1594.87198596442 1607.62585564465 1607.62585564465 1607.62585564465 1607.62585564465 1607.62585564465 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1594.87198596442 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1451.76344535921 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1594.87198596442 1594.87198596442 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1642.86681495434 1451.76344535921 1451.76344535921 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1594.87198596442 1594.87198596442 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1642.86681495434 1513.69949070716 1513.69949070716 1513.69949070716 1513.69949070716 1594.87198596442 1594.87198596442 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1642.86681495434 1513.69949070716 1513.69949070716 1594.87198596442 1594.87198596442 1601.68191833392 1601.68191833392 1601.68191833392 1601.68191833392 1642.86681495434 1609.84440458248 1609.84440458248 1699.33038200393 1699.33038200393 1699.33038200393 1699.33038200393 1720.7642672375 1760.27506698283 1760.27506698283 1760.27506698283 1760.27506698283 2064.23574829614 2064.23574829614 1760.27506698283 1760.27506698283 2064.23574829614 2064.23574829614
"X6" 1678.99081904377 1678.99081904377 1678.99081904377 1678.99081904377 1678.99081904377 1678.99081904377 1632.77824792992 1632.77824792992 1632.77824792992 1632.77824792992 1485.75453078788 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1469.80279206272 1485.75453078788 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1469.80279206272 1469.80279206272 1485.75453078788 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1469.80279206272 1469.80279206272 1485.75453078788 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1469.80279206272 1469.80279206272 1469.80279206272 1485.75453078788 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1588.83802359102 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1573.54853034703 1528.26015192777 1528.26015192777 1528.26015192777 1528.26015192777 1528.26015192777 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1573.54853034703 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1377.31000739067 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1573.54853034703 1573.54853034703 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1559.40662456208 1377.31000739067 1377.31000739067 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1573.54853034703 1573.54853034703 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1559.40662456208 1446.07367051458 1446.07367051458 1446.07367051458 1446.07367051458 1573.54853034703 1573.54853034703 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1559.40662456208 1446.07367051458 1446.07367051458 1573.54853034703 1573.54853034703 1581.6765501445 1581.6765501445 1581.6765501445 1581.6765501445 1559.40662456208 1532.83019156578 1532.83019156578 1703.4704470157 1703.4704470157 1703.4704470157 1703.4704470157 1645.95856318841 1699.30971538882 1699.30971538882 1699.30971538882 1699.30971538882 1889.78034273478 1889.78034273478 1699.30971538882 1699.30971538882 1889.78034273478 1889.78034273478
"X7" 1680.1260952484 1680.1260952484 1680.1260952484 1680.1260952484 1680.1260952484 1680.1260952484 1632.58590465509 1632.58590465509 1632.58590465509 1632.58590465509 1443.90885867115 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1443.43802514598 1443.90885867115 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1443.43802514598 1443.43802514598 1443.90885867115 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1443.43802514598 1443.43802514598 1443.90885867115 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1443.43802514598 1443.43802514598 1443.43802514598 1443.90885867115 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1552.04200790814 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1585.3127880978 1485.33727764086 1485.33727764086 1485.33727764086 1485.33727764086 1485.33727764086 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1585.3127880978 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1361.76484806939 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1585.3127880978 1585.3127880978 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1527.0006621953 1361.76484806939 1361.76484806939 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1585.3127880978 1585.3127880978 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1527.0006621953 1431.35972156112 1431.35972156112 1431.35972156112 1431.35972156112 1585.3127880978 1585.3127880978 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1527.0006621953 1431.35972156112 1431.35972156112 1585.3127880978 1585.3127880978 1593.83108196358 1593.83108196358 1593.83108196358 1593.83108196358 1527.0006621953 1495.51665329727 1495.51665329727 1724.73863988261 1724.73863988261 1724.73863988261 1724.73863988261 1614.70568617169 1664.05952537912 1664.05952537912 1664.05952537912 1664.05952537912 1794.6670588599 1794.6670588599 1664.05952537912 1664.05952537912 1794.6670588599 1794.6670588599
"X8" 1714.62781489671 1714.62781489671 1714.62781489671 1714.62781489671 1714.62781489671 1714.62781489671 1668.78568286365 1668.78568286365 1668.78568286365 1668.78568286365 1435.83150829428 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1442.0349829564 1435.83150829428 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1442.0349829564 1442.0349829564 1435.83150829428 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1442.0349829564 1442.0349829564 1435.83150829428 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1442.0349829564 1442.0349829564 1442.0349829564 1435.83150829428 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1542.90231272644 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1621.84820648603 1473.02982508925 1473.02982508925 1473.02982508925 1473.02982508925 1473.02982508925 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1621.84820648603 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1391.75922430475 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1621.84820648603 1621.84820648603 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1535.73210021076 1391.75922430475 1391.75922430475 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1621.84820648603 1621.84820648603 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1535.73210021076 1457.36814623621 1457.36814623621 1457.36814623621 1457.36814623621 1621.84820648603 1621.84820648603 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1535.73210021076 1457.36814623621 1457.36814623621 1621.84820648603 1621.84820648603 1630.0094015746 1630.0094015746 1630.0094015746 1630.0094015746 1535.73210021076 1490.82713101558 1490.82713101558 1757.9421749911 1757.9421749911 1757.9421749911 1757.9421749911 1618.52618437769 1650.17250361396 1650.17250361396 1650.17250361396 1650.17250361396 1765.9211628509 1765.9211628509 1650.17250361396 1650.17250361396 1765.9211628509 1765.9211628509
"X9" 1772.94520101448 1772.94520101448 1772.94520101448 1772.94520101448 1772.94520101448 1772.94520101448 1731.18117239836 1731.18117239836 1731.18117239836 1731.18117239836 1454.75434684971 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1460.28205178142 1454.75434684971 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1460.28205178142 1460.28205178142 1454.75434684971 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1460.28205178142 1460.28205178142 1454.75434684971 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1460.28205178142 1460.28205178142 1460.28205178142 1454.75434684971 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1555.63735708271 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1674.83984245862 1485.54610727027 1485.54610727027 1485.54610727027 1485.54610727027 1485.54610727027 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1674.83984245862 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1453.97741321896 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1674.83984245862 1674.83984245862 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1575.73154126744 1453.97741321896 1453.97741321896 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1674.83984245862 1674.83984245862 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1575.73154126744 1511.95702540794 1511.95702540794 1511.95702540794 1511.95702540794 1674.83984245862 1674.83984245862 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1575.73154126744 1511.95702540794 1511.95702540794 1674.83984245862 1674.83984245862 1682.07670576043 1682.07670576043 1682.07670576043 1682.07670576043 1575.73154126744 1511.72253690696 1511.72253690696 1797.87022002073 1797.87022002073 1797.87022002073 1797.87022002073 1648.98111070442 1653.32133278724 1653.32133278724 1653.32133278724 1653.32133278724 1790.64432520316 1790.64432520316 1653.32133278724 1653.32133278724 1790.64432520316 1790.64432520316
"X10" 1845.55504977889 1845.55504977889 1845.55504977889 1845.55504977889 1845.55504977889 1845.55504977889 1809.6062954405 1809.6062954405 1809.6062954405 1809.6062954405 1493.94088467242 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1492.89074679415 1493.94088467242 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1492.89074679415 1492.89074679415 1493.94088467242 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1492.89074679415 1492.89074679415 1493.94088467242 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1492.89074679415 1492.89074679415 1492.89074679415 1493.94088467242 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1584.49128587258 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1735.96363374696 1517.12357094365 1517.12357094365 1517.12357094365 1517.12357094365 1517.12357094365 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1735.96363374696 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1535.14153075557 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1735.96363374696 1735.96363374696 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1637.16579477454 1535.14153075557 1535.14153075557 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1735.96363374696 1735.96363374696 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1637.16579477454 1583.01816831796 1583.01816831796 1583.01816831796 1583.01816831796 1735.96363374696 1735.96363374696 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1637.16579477454 1583.01816831796 1583.01816831796 1735.96363374696 1735.96363374696 1741.88896758694 1741.88896758694 1741.88896758694 1741.88896758694 1637.16579477454 1551.19334250831 1551.19334250831 1839.28629499512 1839.28629499512 1839.28629499512 1839.28629499512 1697.66242206975 1669.19844353502 1669.19844353502 1669.19844353502 1669.19844353502 1855.99997051462 1855.99997051462 1669.19844353502 1669.19844353502 1855.99997051462 1855.99997051462
