"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57"
"X11" 1903.91830645511 2055.63940188201 2156.18770317435 1936.38800014368 1930.86736208242 2068.9852194772 2177.71021354007 2011.68541594512 1744.95945793761 1785.37509068542 1936.38800014368 1930.86736208242 2068.9852194772 2177.71021354007 2011.68541594512 2387.14523521329 1846.44390154315 1842.46633511856 2094.84400746721 2098.28055672654 2204.93061315393 2190.06400396677 2137.7153510189 2129.01537201408 2033.52764229475 2284.97629564358 1744.01720447556 1846.44390154315 1842.46633511856 2094.84400746721 2098.28055672654 2204.93061315393 2190.06400396677 2137.7153510189 2129.01537201408 2033.52764229475 2284.97629564358 2123.55283454964 2324.50721141945 2352.62236270557 2270.04797247769 2197.96487336664 2188.48454140703 2210.92356680074 2185.13010308781 2091.60311535213 2105.75059041751 1977.67434999975 2243.78269151505 2197.96487336664 2188.48454140703 2210.92356680074 2185.13010308781 2091.60311535213 2105.75059041751 1900.87211836848 2166.87402886861
"X12" 1934.05089493847 2059.81761309431 2207.04456411451 2009.45557491337 2005.50085641135 2153.99004233265 2240.08082518163 2121.95174574354 1819.12251112041 1850.71174464846 2009.45557491337 2005.50085641135 2153.99004233265 2240.08082518163 2121.95174574354 2382.24294871489 1935.22736173295 1933.18430221075 2198.06325554366 2200.42831524849 2305.66000950193 2295.51620926864 2233.95365189294 2227.99657855114 2137.90358726153 2305.09583433986 1791.69981375146 1935.22736173295 1933.18430221075 2198.06325554366 2200.42831524849 2305.66000950193 2295.51620926864 2233.95365189294 2227.99657855114 2137.90358726153 2305.09583433986 2187.21059990601 2382.52136868808 2405.07813313685 2343.30843327457 2263.18522495948 2256.71687745164 2297.68929206903 2280.07185306338 2198.90908375178 2208.59121708119 2082.04134412613 2275.12470847764 2263.18522495948 2256.71687745164 2297.68929206903 2280.07185306338 2198.90908375178 2208.59121708119 2027.63458402102 2212.01067246041
"X13" 1988.70925747888 2088.22005436383 2264.93324392708 2090.64375284949 2088.15390553869 2227.00402157119 2288.37571749307 2220.275188703 1924.74739548998 1947.73720060516 2090.64375284949 2088.15390553869 2227.00402157119 2288.37571749307 2220.275188703 2373.74404614777 2044.76052645618 2044.19916680803 2299.16990366287 2300.55453804132 2393.15365116139 2387.32491102734 2319.33794315235 2315.89003984521 2233.22215242542 2322.04363991534 1859.07111214641 2044.76052645618 2044.19916680803 2299.16990366287 2300.55453804132 2393.15365116139 2387.32491102734 2319.33794315235 2315.89003984521 2233.22215242542 2322.04363991534 2266.53649307812 2441.8763778912 2452.38368544663 2409.24129215793 2326.4013000405 2322.6778681681 2381.19790774382 2371.03178885638 2305.8390612881 2311.45026589614 2199.43533110302 2323.45482862936 2326.4013000405 2322.6778681681 2381.19790774382 2371.03178885638 2305.8390612881 2311.45026589614 2162.07224268794 2271.7255993598
"X14" 2066.2202404145 2141.33197562136 2324.23064938258 2174.33312562709 2173.05839678941 2279.43472803856 2316.13864454959 2293.5226061821 2058.26308094189 2073.67903155339 2174.33312562709 2173.05839678941 2279.43472803856 2316.13864454959 2293.5226061821 2361.51299306095 2170.32617174135 2170.55901406576 2390.20974110098 2390.81220851274 2458.3148043112 2455.91697662227 2385.48338347924 2384.03558450236 2309.46460052842 2334.41195646297 1942.00485784113 2170.32617174135 2170.55901406576 2390.20974110098 2390.81220851274 2458.3148043112 2455.91697662227 2385.48338347924 2384.03558450236 2309.46460052842 2334.41195646297 2355.6648647463 2498.63372878884 2490.17802165199 2461.19287424913 2382.99741579878 2381.44733653451 2455.20130213177 2450.93575659435 2404.57555070617 2406.96070031756 2320.10147153987 2385.77516491935 2382.99741579878 2381.44733653451 2455.20130213177 2450.93575659435 2404.57555070617 2406.96070031756 2293.11139471484 2343.09231165375
"X15" 2165.32034132723 2219.68572976589 2381.69388291611 2257.98435092921 2257.5568873769 2308.5113779591 2323.084401242 2334.84819081874 2216.55883579317 2226.06832049129 2257.98435092921 2257.5568873769 2308.5113779591 2323.084401242 2334.84819081874 2348.82666493121 2308.10894660429 2308.28327633915 2467.27569000537 2467.37652865789 2498.1182839906 2497.89936413573 2429.77694688062 2429.60743330899 2362.4130714568 2345.13814048717 2037.64415133207 2308.10894660429 2308.28327633915 2467.27569000537 2467.37652865789 2498.1182839906 2497.89936413573 2429.77694688062 2429.60743330899 2362.4130714568 2345.13814048717 2449.95752103037 2551.54766520437 2517.82351847132 2497.0658290874 2432.2774555585 2432.09664580969 2517.64369746063 2517.09814965674 2491.10017666288 2491.44699638455 2436.36131463488 2459.83979826156 2432.2774555585 2432.09664580969 2517.64369746063 2517.09814965674 2491.10017666288 2491.44699638455 2412.62928367826 2424.14857647447
"X16" 2286.30235943733 2323.9160877168 2443.59014845288 2351.36586512799 2351.42283008945 2334.81809958639 2333.80520974281 2362.63202091525 2398.26276875643 2403.54523033526 2351.36586512799 2351.42283008945 2334.81809958639 2333.80520974281 2362.63202091525 2352.60393199014 2457.83910559889 2457.21702429346 2542.67964435453 2542.54142577257 2533.90052215721 2534.67752509054 2472.75747816704 2473.18352211086 2411.11406745599 2374.55338474269 2148.15058199165 2457.83910559889 2457.21702429346 2542.67964435453 2542.54142577257 2533.90052215721 2534.67752509054 2472.75747816704 2473.18352211086 2411.11406745599 2374.55338474269 2549.64401553445 2610.15168302767 2549.60912986566 2533.03519615012 2489.24728764876 2489.68877639666 2583.26875795181 2584.4223450777 2576.61220055654 2576.01829543924 2548.81818608036 2546.35752125272 2489.24728764876 2489.68877639666 2583.26875795181 2584.4223450777 2576.61220055654 2576.01829543924 2524.30453645019 2516.74314119839
"X17" 2429.66363300641 2454.3307466599 2518.16233974186 2466.58293529947 2466.81206561098 2383.19926147966 2376.88793987803 2400.88925970416 2602.23199525417 2604.75311880222 2466.58293529947 2466.81206561098 2383.19926147966 2376.88793987803 2400.88925970416 2390.98903708159 2619.88002386249 2617.9640171281 2631.67893968055 2631.51070767765 2591.19708350923 2592.01506287432 2538.73745011374 2539.20686324542 2478.63534367213 2444.28859335519 2276.90868536044 2619.88002386249 2617.9640171281 2631.67893968055 2631.51070767765 2591.19708350923 2592.01506287432 2538.73745011374 2539.20686324542 2478.63534367213 2444.28859335519 2656.14526780687 2685.58058007683 2602.0973022696 2588.45476628085 2570.94326140141 2571.41961207203 2669.15354349941 2670.42290705747 2674.7089487423 2674.03054971451 2660.48435521776 2646.45519398453 2570.94326140141 2571.41961207203 2669.15354349941 2670.42290705747 2674.7089487423 2674.03054971451 2634.67370041586 2622.89941562841
"X18" 2594.5950900154 2609.23141282769 2610.67335497003 2610.73958508954 2610.94142597244 2468.40751122643 2467.64429995955 2467.87883680058 2825.80994511154 2826.54137551601 2610.73958508954 2610.94142597244 2468.40751122643 2467.64429995955 2467.87883680058 2470.20555329999 2792.86539891304 2789.64054000277 2742.52012111902 2742.43459113916 2683.89110562236 2684.22946914802 2639.86059414681 2640.06967447382 2576.98292903032 2559.2884025531 2426.4010270693 2792.86539891304 2789.64054000277 2742.52012111902 2742.43459113916 2683.89110562236 2684.22946914802 2639.86059414681 2640.06967447382 2576.98292903032 2559.2884025531 2770.28256345786 2782.57079787856 2683.24090888787 2674.06205779948 2683.50868049532 2683.71388702369 2781.57618473073 2782.14077520424 2790.67123497788 2790.35013251638 2775.27005392172 2759.35464213889 2683.50868049532 2683.71388702369 2781.57618473073 2782.14077520424 2790.67123497788 2790.35013251638 2748.7910153169 2740.49297535241
"X19" 2777.41718358505 2783.90097163302 2719.21546620831 2780.18790098881 2780.29154913921 2585.14771980997 2597.55295310068 2565.56997944074 3062.79104508394 3062.1772189351 2780.18790098881 2780.29154913921 2585.14771980997 2597.55295310068 2565.56997944074 2579.69268432362 2971.80513440766 2967.83147131518 2869.93860832742 2869.94886501044 2804.23937817553 2804.04510976686 2766.52136330994 2766.43358450712 2697.68353751851 2700.82368220919 2595.0390576799 2971.80513440766 2967.83147131518 2869.93860832742 2869.94886501044 2804.23937817553 2804.04510976686 2766.52136330994 2766.43358450712 2697.68353751851 2700.82368220919 2890.51464902508 2895.31506375851 2786.38897084986 2784.44473710116 2815.63029868316 2815.54656711194 2909.29747448562 2909.11107618285 2915.74321244086 2915.80560716135 2894.92269928538 2881.25049475293 2815.63029868316 2815.54656711194 2909.29747448562 2909.11107618285 2915.74321244086 2915.80560716135 2866.1093729423 2862.27067179392
"X20" 2970.99910747684 2970.63383017525 2834.90028998501 2960.9184752022 2960.9383834763 2710.55653121721 2737.93368338381 2678.92789022191 3302.51836337074 3300.72396636373 2960.9184752022 2960.9383834763 2710.55653121721 2737.93368338381 2678.92789022191 2697.89040592836 3148.49698132647 3144.69271730361 2997.85863181442 2997.9207350877 2927.04436937844 2926.55060675214 2892.04047720766 2891.78270596174 2816.11120858588 2835.44062606806 2775.2403476257 3148.49698132647 3144.69271730361 2997.85863181442 2997.9207350877 2927.04436937844 2926.55060675214 2892.04047720766 2891.78270596174 2816.11120858588 2835.44062606806 3013.3963041406 3010.8350578795 2894.1245971072 2900.99063275338 2943.67436256823 2943.44581840445 3029.02211167813 3028.46645235977 3031.77878391431 3032.02643927307 3017.98924306725 3006.75308057132 2943.67436256823 2943.44581840445 3029.02211167813 3028.46645235977 3031.77878391431 3032.02643927307 2981.22307145189 2979.69382148874
