"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99"
"X1" 1536.1932909099 1787.90745712662 1437.21836764793 1417.12907119851 1663.7160778503 1662.29053167029 1206.26175930868 1008.70423348568 1731.09653325822 1728.59522303241 2289.13942451906 2277.3413819588 2440.23229838654 2439.37441629076 1856.34811584446 1921.48539704831 1056.11105186751 1016.20349522157 1741.9705879286 1733.6853600252 2293.71093862833 2270.42200155655 2425.4186463721 2432.5046975965 1849.61835938617 1901.79751532457 1177.68598543315 867.006929776191 1666.54485726826 1620.68376157154 2309.36102730726 2291.57241148287 2102.00511927177 2104.72816823585 1700.15749475527 1732.36141160354 1652.49769103082 1436.12467560662 1768.2597348782 1780.92300871206 1555.01293835343 2289.30655841243 2304.7953885923 2142.24039721253 2145.42283310919 1759.33683356861 1752.20294162419 1693.41044826352 1628.64990615866 1829.91164271153 1966.134942646 2243.36062496988 2248.08453840719 2652.63294293632 2649.91018034049 3037.76191039213 3035.62227868096 2481.83837096739 2425.27289282198 1092.55834608986 1092.59333654785 924.552011059675 926.498540162551 794.325366119996 784.799358582564 1181.09817585517 1136.56935334282 1802.09696004575 1753.65413595107 1966.34505525757 1966.134942646 2243.36062496988 2248.08453840719 2652.63294293632 2649.91018034049 3037.76191039213 3035.62227868096 2481.83837096739 2425.27289282198 810.815489324176 1205.76309212898 1181.51195973106 1823.97857586143 1804.96042805699 2123.39715813238 2203.15283139738 2402.83480410171 2405.31892808293 2554.58613652228 2605.31109212853 2563.59952800217 2520.85706430543 1870.78258541086 2123.39715813238 2203.15283139738 2402.83480410171 2405.31892808293 2554.58613652228 2605.31109212853
"X2" 1386.5802900166 1591.43449029017 1453.72885845533 1462.41038596118 1659.45681855597 1660.06156051558 1298.13643463273 1013.80578105186 1641.25185611111 1715.91759582312 2182.37994789075 2192.91997656177 2340.92861574517 2341.59223021979 1860.52294380777 1765.56782657697 953.619354089952 1008.16053855113 1638.39638438989 1711.80839025461 2178.62288386886 2204.03258725766 2350.72987493845 2347.053086576 1865.72638584851 1775.43364407569 1184.93588498594 885.880947569413 1592.43345612328 1618.1046936179 2183.36323497285 2214.65578193851 2054.78305252166 2049.92576063975 1726.54377889443 1660.17260031791 1586.41516850663 1424.50096677217 1709.07811039833 1703.19586109176 1541.71055694025 2072.39443584317 2118.93015311177 1925.68532129576 1919.89475324489 1612.17878733062 1627.07710913356 1546.49189327101 1652.41305452701 1792.97850378606 2065.08848207139 2270.56928319585 2322.3944720615 2706.80171497024 2743.33426324159 3131.35349588639 3127.55487623406 2620.40976907283 2504.22060042622 1026.28278626515 1044.94697685604 903.059793272819 896.387335518567 788.987286533596 810.14684963229 1168.61389755609 1254.25182873393 1822.6169992179 1843.57693600958 2063.68921852031 2065.08848207139 2270.56928319585 2322.3944720615 2706.80171497024 2743.33426324159 3131.35349588639 3127.55487623406 2620.40976907283 2504.22060042622 746.182475827543 1097.15457736558 1166.55488065941 1740.06967315214 1792.36704952135 2092.1610776471 2172.2789450033 2362.01540989602 2399.84294058858 2585.6476562918 2658.49705145289 2635.43547446263 2577.91666296551 1943.52900197057 2092.1610776471 2172.2789450033 2362.01540989602 2399.84294058858 2585.6476562918 2658.49705145289
"X3" 1252.72261057676 1416.54223191957 1476.74985390252 1512.61163457914 1666.07432212473 1668.42659111655 1397.10423330808 1018.28632757251 1551.92414612316 1699.02128725964 2080.08845201171 2111.89073987191 2251.05995176609 2253.16080577714 1872.42814129125 1627.5647541318 856.474809520589 1000.16192860286 1535.66990785682 1686.27801886326 2068.40609311456 2140.17244648126 2284.12770274186 2270.26900221365 1888.85524147762 1665.31689129775 1196.96993035545 902.004692057695 1514.71604871667 1607.49912962594 2052.00230554659 2128.69295098124 1999.99851763798 1988.06131517789 1745.37055464751 1586.17679636475 1526.99607325127 1425.31119861807 1664.15059092677 1640.82188809289 1537.90618881357 1855.98760597862 1931.90955673969 1711.14591966777 1696.84019011453 1467.2312766423 1503.00875863209 1410.90361581176 1677.71640359638 1773.48669968594 2169.30985744159 2307.03903782478 2402.5739996119 2768.19266191121 2841.46249426467 3228.40993685176 3223.03047598155 2761.35168171734 2588.78988764639 959.53950838079 995.83508901129 878.916918145085 864.160190826297 781.958358753427 832.08738443308 1155.7973349526 1364.62813242138 1843.51722227765 1944.10529963086 2166.41179663316 2169.30985744159 2307.03903782478 2402.5739996119 2768.19266191121 2841.46249426467 3228.40993685176 3223.03047598155 2761.35168171734 2588.78988764639 682.789639278676 993.450360065659 1151.42092041308 1661.95631983236 1781.61547850909 2063.50012495451 2143.52618083833 2323.80547787279 2395.1137102158 2617.39467414128 2711.05164071198 2707.23882252423 2635.76799528472 2015.22262343777 2063.50012495451 2143.52618083833 2323.80547787279 2395.1137102158 2617.39467414128 2711.05164071198
"X4" 1157.53788513967 1294.40025554994 1512.07445951977 1570.84843211578 1695.44592116123 1699.08430945532 1507.34077221636 1021.91064161455 1470.20203225658 1676.89211030782 1994.12496835247 2044.11778627388 2186.93136710498 2190.24011666368 1902.47006526107 1534.21779365295 774.779923813941 993.15891579164 1441.98519742638 1657.02416503137 1975.66885877686 2087.09632664173 2239.61731006339 2217.1378193975 1928.24222696199 1595.25006206991 1219.23072950423 912.932948652347 1434.98587938704 1583.62368070203 1918.05571645879 2031.31055988755 1935.64361410571 1917.93365723654 1752.25466914912 1515.30431837029 1486.36774765935 1451.02908025085 1650.79086524965 1612.97951976804 1554.63651081888 1652.45647171972 1753.00035095069 1512.6014773184 1491.05157969097 1336.2479812642 1389.73911610207 1306.77119157022 1708.05543847639 1792.65061806365 2282.26939600613 2363.10638284023 2493.59508190569 2844.11569698064 2947.66105676516 3330.99356275224 3324.2518794984 2904.55424467806 2684.49922053126 895.274263267773 946.512200384709 851.99843508766 830.36300365153 773.571726186763 848.225029263058 1145.20550820706 1458.60738400304 1866.58175100124 2064.46191406807 2278.15263194957 2282.26939600613 2363.10638284023 2493.59508190569 2844.11569698064 2947.66105676516 3330.99356275224 3324.2518794984 2904.55424467806 2684.49922053126 626.550568928184 906.3548236162 1138.86237688468 1601.35771411138 1777.67436757285 2044.38406774245 2123.26440646524 2295.68547294 2395.39913260105 2651.46405902674 2762.47076710262 2777.93983435894 2694.69902923831 2083.84304430471 2044.38406774245 2123.26440646524 2295.68547294 2395.39913260105 2651.46405902674 2762.47076710262
"X5" 1117.50504841014 1247.27712750852 1563.14912951466 1638.44505779181 1755.08636036127 1759.45783858054 1630.48453290671 1024.87070805491 1403.67863599844 1650.65051950651 1934.88858547646 1998.3681298564 2161.0845454522 2165.25815707246 1957.7225077539 1504.95485134278 716.811772917368 988.288458673528 1366.15995672598 1625.86637814621 1911.42033774366 2052.21393607571 2227.89277414691 2199.16668333488 1990.06244764861 1582.40774080655 1255.39739154308 916.970516263156 1355.89074839133 1544.0770987831 1786.64304417284 1923.95351646142 1862.35804194865 1840.85113514545 1745.00159679411 1452.62756811687 1473.7409143087 1509.64719207023 1680.91421645908 1633.00884457637 1599.50433692777 1474.66645823241 1592.39121413556 1343.24862864696 1316.37528543356 1229.66172413668 1296.1038453401 1249.48371817568 1745.91793238383 1863.89292570808 2405.40056470888 2445.52957106831 2598.19262701781 2938.86254269381 3063.17443313306 3439.53236277847 3431.76338754015 3048.61419724044 2794.46149484823 836.306906723861 898.445506983969 822.474369333119 795.740579219844 764.141695269673 856.711446522768 1138.96614753526 1529.06549898958 1892.92854699879 2209.16678970888 2400.47379928069 2405.40056470888 2445.52957106831 2598.19262701781 2938.86254269381 3063.17443313306 3439.53236277847 3431.76338754015 3048.61419724044 2794.46149484823 582.21633945993 845.252908372944 1131.16721044369 1567.12566721301 1784.17830107524 2040.2771983989 2116.45884061635 2283.41049942333 2403.89690004639 2688.79821550508 2811.96464801738 2846.1714086487 2754.45266296097 2147.47740760452 2040.2771983989 2116.45884061635 2283.41049942333 2403.89690004639 2688.79821550508 2811.96464801738
"X6" 1142.38274828561 1288.3141553723 1631.29349109714 1715.30498933027 1848.54085861741 1853.05658105454 1766.22362749558 1027.50196963383 1357.26928470389 1622.12884915316 1909.84349831147 1980.98597211755 2181.52501985345 2186.14511126557 2041.97931178561 1551.49657712753 688.259270455829 986.521126495222 1313.89987818729 1595.08075194424 1883.54242582007 2040.91610112244 2255.714341509 2223.67527091635 2077.52422781084 1637.04206722887 1307.40757666865 913.212495728197 1280.54094220771 1488.47519934832 1663.17145966791 1809.78477566035 1782.1989700979 1759.32308997733 1723.0818116479 1402.42266875645 1494.9335328371 1605.05004949539 1761.074300508 1708.38603033113 1676.66558515045 1331.12960651475 1457.52288109138 1213.50259223045 1183.66631098059 1155.33590672343 1228.89098422865 1248.90093863714 1792.67960473853 1993.81148348551 2538.52267792487 2557.61505822178 2717.12802845436 3054.05527515455 3187.63919172712 3553.26328865372 3544.88365287356 3191.43696353949 2919.6469943811 785.049428290433 853.130614604507 790.850305268012 761.204743940188 754.05282959795 856.477391509278 1138.62585754237 1571.30646330253 1923.11193445681 2379.10288460707 2533.27689398458 2538.52267792487 2557.61505822178 2717.12802845436 3054.05527515455 3187.63919172712 3553.26328865372 3544.88365287356 3191.43696353949 2919.6469943811 553.163074155683 816.551074067604 1129.99154554993 1564.9527047089 1803.3837708681 2054.77930104096 2126.38994339887 2290.72050348027 2422.61713053099 2729.71567873431 2858.66645713821 2910.5361822098 2814.40136860417 2204.52094041106 2054.77930104096 2126.38994339887 2290.72050348027 2422.61713053099 2729.71567873431 2858.66645713821
"X7" 1222.10536938169 1403.86875577877 1711.76067970698 1797.44485308798 1968.06809208101 1972.23909810271 1908.97495139837 1030.31590002082 1331.07064141378 1594.03007538544 1916.67425239278 1990.14893276345 2242.39486966522 2247.08496007842 2149.49492812202 1662.78400616283 686.648059100768 988.045701428193 1285.23842063981 1567.06433763034 1889.53270274299 2051.72938546429 2317.85669689709 2285.18646264021 2185.24251017073 1748.98825978061 1372.12230672287 903.106912596476 1211.632729764 1421.65390848106 1552.22600248264 1695.26048238947 1700.38873168194 1678.32622343592 1690.41695539134 1365.91585268894 1545.48512716158 1729.41419667896 1882.19355228729 1829.44408009257 1780.18881345678 1223.21257268951 1350.64536911128 1124.09770431051 1093.44991886216 1112.6754590436 1188.03503127873 1298.12963643297 1846.37608127381 2169.90072822764 2677.03904442073 2692.66226054507 2845.5699829838 3183.77186054046 3316.37438917134 3668.26291339425 3659.66174801477 3329.34488679764 3054.9415898723 742.546422592422 812.045217246038 758.697718481788 728.180750908739 744.005572244314 848.948570405638 1143.93476038684 1588.09253746295 1956.13479627055 2565.37141638933 2671.90820630024 2677.03904442073 2692.66226054507 2845.5699829838 3183.77186054046 3316.37438917134 3668.26291339425 3659.66174801477 3329.34488679764 3054.9415898723 538.633030916352 817.465640510632 1135.03410887306 1591.11558833662 1833.51147567876 2085.77111147744 2151.21415671883 2315.26083966599 2450.02326382988 2772.76309834199 2901.64226296565 2969.73797231661 2872.95349775374 2254.40543881303 2085.77111147744 2151.21415671883 2315.26083966599 2450.02326382988 2772.76309834199 2901.64226296565
"X8" 1341.69564840818 1573.66270125494 1798.2964955264 1879.91294155012 2103.1252881609 2106.59604760428 2051.84180567754 1033.86825523987 1324.09838306451 1569.27586300848 1950.64753662373 2022.01556087923 2334.40358686336 2338.85809557083 2272.15726938428 1822.11593319889 707.485544843892 992.858384190509 1278.93409480185 1544.24741192345 1924.32139846845 2081.48311403628 2406.12630940005 2375.05435783843 2305.69970580385 1903.02380880259 1445.14348755102 888.685023605606 1151.74073885897 1349.74602586897 1458.19862683772 1587.66182618237 1622.9413149818 1603.45626928808 1652.03350110869 1343.58340316186 1618.38976911608 1872.01179574502 2031.31922316861 1982.26674633999 1901.64162845325 1150.70632517954 1272.84564354412 1073.38365729601 1043.70632048044 1098.99829046874 1171.78024161829 1386.12951423507 1904.21336627219 2374.91509473358 2815.25195116308 2841.48647415476 2977.29550301806 3320.21474980132 3443.62169441236 3779.81734344273 3771.3293094776 3458.25884033698 3193.71700381524 709.508717266128 776.6668014215 727.854757809226 698.224138723229 734.779740013836 836.168673457269 1154.19879712301 1584.0292739776 1990.61430944389 2756.63926493785 2810.57853968613 2815.25195116308 2841.48647415476 2977.29550301806 3320.21474980132 3443.62169441236 3779.81734344273 3771.3293094776 3458.25884033698 3193.71700381524 536.847597530431 842.940400280643 1145.50969259788 1639.56068459147 1871.78216125888 2129.71735068281 2187.8193661137 2353.16756489723 2483.69922898756 2816.04550473514 2939.93776714985 3022.50085946699 2928.27453211231 2296.81535773021 2129.71735068281 2187.8193661137 2353.16756489723 2483.69922898756 2816.04550473514 2939.93776714985
"X9" 1486.2219668826 1777.479823126 1884.65369313793 1957.75785481125 2243.18732364296 2245.73534736082 2187.92727069837 1038.71559863929 1335.39031802961 1550.79156695733 2007.06143837918 2072.77068614197 2448.29643752749 2452.28033217233 2401.87144012843 2012.84615371197 746.304922031212 1000.95910556337 1293.7710696395 1529.06609604142 1982.87205005057 2127.02854956938 2512.35966280206 2484.66562726903 2431.39264617682 2083.97437594774 1522.08250895605 871.973228086819 1103.45034879913 1278.87872945864 1385.50114167125 1494.27823602754 1555.87612886283 1540.31642352107 1612.951636584 1335.91834001315 1706.6672815746 2022.13569576411 2195.53047744415 2152.97401998591 2032.61195508224 1113.4431381429 1225.24465281333 1059.75526520304 1032.46290598296 1111.65614506472 1178.39964599917 1501.90491214674 1963.40217845179 2591.64159803993 2947.46283260164 2994.91842074293 3106.08489959022 3455.59364499291 3563.62057297703 3883.20825506014 3875.11393134609 3574.08882106226 3329.34851865982 686.658310379565 748.479674764917 700.161364644155 672.894266004419 727.156324893325 820.175558912832 1168.7297767937 1563.69819287019 2025.16930619854 2941.5784053487 2943.49823996269 2947.46283260164 2994.91842074293 3106.08489959022 3455.59364499291 3563.62057297703 3883.20825506014 3875.11393134609 3574.08882106226 3329.34851865982 546.043157472204 887.947636997289 1160.6395034467 1704.26011808931 1915.42601529765 2183.09775698145 2233.10713041915 2400.59226839622 2521.23628170186 2857.66809909615 2972.59315633217 3067.54125785691 2978.52600020514 2331.42638500119 2183.09775698145 2233.10713041915 2400.59226839622 2521.23628170186 2857.66809909615 2972.59315633217
"X10" 1640.78137877753 1995.14303126567 1964.5848727084 2026.02286457447 2377.73475327253 2379.27035611725 2310.3263507835 1045.41593323632 1364.00530151053 1541.50956552042 2081.24011082278 2138.6210938742 2574.84394841603 2578.19247343936 2530.55053623184 2218.3645425641 798.66009664611 1012.35152599408 1328.55779808733 1523.96513330082 2060.17578877092 2185.2353253212 2628.41398295175 2605.42972869228 2554.82405513339 2276.69654522737 1598.55525179857 854.995379105981 1069.36065071836 1215.18056069857 1338.57024975751 1422.41569104003 1505.22487119649 1494.52373943396 1578.19099735364 1343.43100613418 1803.35531354653 2169.08724343404 2361.92369356492 2327.70634171005 2164.6984631385 1111.2964233331 1208.99862566309 1081.65066537855 1057.79202840906 1148.03161732824 1206.19311363322 1634.49231960391 2021.15478909353 2802.8802614405 3067.96578235458 3143.79381610175 3225.71470278723 3582.11663756814 3670.60173343943 3973.70752699711 3966.23373645245 3672.72929636229 3455.20744260415 674.729201865692 728.976664091282 677.4613809613 653.756098957235 721.918396205809 803.003584907424 1186.84460829644 1531.66200432954 2058.41871256468 3108.85302094698 3064.87060343224 3067.96578235458 3143.79381610175 3225.71470278723 3582.11663756814 3670.60173343943 3973.70752699711 3966.23373645245 3672.72929636229 3455.20744260415 564.469102632949 947.48242544171 1179.65029113488 1779.20493298629 1961.67953125902 2242.40309857694 2283.98917441622 2453.69771474584 2560.23028382562 2895.73410637991 2998.64201874729 3103.56645776728 3021.86338844297 2357.90507608017 2242.40309857694 2283.98917441622 2453.69771474584 2560.23028382562 2895.73410637991 2998.64201874729
